File,Total Genes,Annotated,Predominant GO Biological Process,Predominant Gene Function,Physiological Summary
rank_08_comp1.csv,120,44,"translation [GO:0006412], actin cytoskeleton organization [GO:0030036], spermatogenesis [GO:0007283]","Hemicentin-1, Nucleoside diphosphate kinase homolog 5, Cathepsin Z",Genes involved in metabolic processes and intracellular transport
rank_08_comp1_top100.csv,100,39,"negative regulation of transcription by RNA polymerase II [GO:0000122], Wnt signaling pathway [GO:0016055], negative regulation of cell population proliferation [GO:0008285]","Reversion-inducing cysteine-rich protein with Kazal motifs, E3 ubiquitin-protein ligase rnf213-alpha, Krueppel-like factor 5",Genes involved in development and differentiation and signal transduction
rank_08_comp2.csv,2,0,N/A,N/A,Unannotated genes
rank_08_comp2_top100.csv,100,44,"negative regulation of transcription by RNA polymerase II [GO:0000122], regulation of transcription by RNA polymerase II [GO:0006357], nervous system development [GO:0007399]","Protocadherin Fat 4, Reversion-inducing cysteine-rich protein with Kazal motifs, Krueppel-like factor 5",Genes involved in development and differentiation and gene expression regulation
rank_08_comp3.csv,4467,1976,"positive regulation of transcription by RNA polymerase II [GO:0045944], regulation of transcription by RNA polymerase II [GO:0006357], negative regulation of transcription by RNA polymerase II [GO:0000122]","Hemicentin-1, Protocadherin Fat 4, tRNA",Genes involved in development and differentiation and metabolic processes
rank_08_comp3_top100.csv,100,49,"homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156], negative regulation of transcription by RNA polymerase II [GO:0000122], regulation of transcription by RNA polymerase II [GO:0006357]","Protocadherin Fat 4, Reversion-inducing cysteine-rich protein with Kazal motifs, E3 ubiquitin-protein ligase rnf213-alpha",Genes involved in development and differentiation and signal transduction
rank_08_comp4.csv,63,29,"gene expression [GO:0010467], sensory perception of sound [GO:0007605], angiogenesis [GO:0001525]","Low-density lipoprotein receptor-related protein 2, Fibroblast growth factor receptor 1, Ankyrin repeat domain-containing protein 13C",Genes involved in development and differentiation and signal transduction
rank_08_comp4_top100.csv,100,53,"homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156], positive regulation of gene expression [GO:0010628], negative regulation of transcription by RNA polymerase II [GO:0000122]","Protocadherin Fat 4, Reversion-inducing cysteine-rich protein with Kazal motifs, E3 ubiquitin-protein ligase rnf213-alpha",Genes involved in development and differentiation and signal transduction
rank_08_comp5.csv,2,0,N/A,N/A,Unannotated genes
rank_08_comp5_top100.csv,100,55,"homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156], nervous system development [GO:0007399], negative regulation of transcription by RNA polymerase II [GO:0000122]","Protocadherin Fat 4, Hemicentin-1, Reversion-inducing cysteine-rich protein with Kazal motifs",Genes involved in development and differentiation and signal transduction
rank_08_comp6.csv,83,26,"flagellated sperm motility [GO:0030317], homologous chromosome pairing at meiosis [GO:0007129], epithelial cilium movement involved in extracellular fluid movement [GO:0003351]","Telomere repeats-binding bouquet formation protein 1, Protein O-mannose kinase, Serine/threonine-protein kinase Nek2",Genes involved in development and differentiation and signal transduction
rank_08_comp6_top100.csv,100,46,"regulation of transcription by RNA polymerase II [GO:0006357], negative regulation of transcription by RNA polymerase II [GO:0000122], positive regulation of transcription by RNA polymerase II [GO:0045944]","Reversion-inducing cysteine-rich protein with Kazal motifs, Inactive tyrosine-protein kinase transmembrane receptor ROR1, G1/S-specific cyclin-E1",Genes involved in development and differentiation and gene expression regulation
rank_08_comp7.csv,189,77,"negative regulation of transcription by RNA polymerase II [GO:0000122], mRNA splicing, via spliceosome [GO:0000398], positive regulation of DNA-templated transcription [GO:0045893]","Protein phosphatase 1 regulatory subunit 12A, Msx2-interacting protein, Protein AF-10",Genes involved in gene expression regulation and development and differentiation
rank_08_comp7_top100.csv,100,48,"regulation of transcription by RNA polymerase II [GO:0006357], negative regulation of transcription by RNA polymerase II [GO:0000122], positive regulation of transcription by RNA polymerase II [GO:0045944]","Reversion-inducing cysteine-rich protein with Kazal motifs, E3 ubiquitin-protein ligase rnf213-alpha, Stearoyl-CoA desaturase 5",Genes involved in development and differentiation and gene expression regulation
rank_08_comp8.csv,190,78,"cilium assembly [GO:0060271], negative regulation of transcription by RNA polymerase II [GO:0000122], flagellated sperm motility [GO:0030317]","Mitochondrial coenzyme A transporter SLC25A42, Cytoplasmic aconitate hydratase, Trace amine-associated receptor 13c",Genes involved in development and differentiation and signal transduction
rank_08_comp8_top100.csv,100,49,"homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156], positive regulation of gene expression [GO:0010628], nervous system development [GO:0007399]","Protocadherin Fat 4, Reversion-inducing cysteine-rich protein with Kazal motifs, E3 ubiquitin-protein ligase rnf213-alpha",Genes involved in development and differentiation and signal transduction
rank_10_comp1.csv,1708,738,"positive regulation of transcription by RNA polymerase II [GO:0045944], apoptotic process [GO:0006915], cell division [GO:0051301]","SH3 and multiple ankyrin repeat domains protein 2, Carnitine O-palmitoyltransferase 1, liver isoform, Leucine-rich repeat serine/threonine-protein kinase 2",Genes involved in development and differentiation and intracellular transport
rank_10_comp10.csv,1,0,N/A,N/A,Unannotated genes
rank_10_comp10_top100.csv,100,43,"regulation of transcription by RNA polymerase II [GO:0006357], negative regulation of transcription by RNA polymerase II [GO:0000122], positive regulation of gene expression [GO:0010628]","Apolipoprotein B-100, Reversion-inducing cysteine-rich protein with Kazal motifs, Dynein axonemal heavy chain 6",Genes involved in development and differentiation and gene expression regulation
rank_10_comp1_top100.csv,100,40,"nervous system development [GO:0007399], cell population proliferation [GO:0008283], negative regulation of transcription by RNA polymerase II [GO:0000122]","Reversion-inducing cysteine-rich protein with Kazal motifs, Krueppel-like factor 5, E3 ubiquitin-protein ligase rnf213-alpha",Genes involved in development and differentiation and signal transduction
rank_10_comp2.csv,1,1,"cellular response to actinomycin D [GO:0072717], G1 to G0 transition [GO:0070314], negative regulation of transcription by RNA polymerase II [GO:0000122]",Large ribosomal subunit protein uL14,Genes involved in gene expression regulation and metabolic processes
rank_10_comp2_top100.csv,100,38,"regulation of transcription by RNA polymerase II [GO:0006357], positive regulation of DNA-templated transcription [GO:0045893], Wnt signaling pathway [GO:0016055]","Dynein axonemal heavy chain 6, Reversion-inducing cysteine-rich protein with Kazal motifs, G1/S-specific cyclin-E1",Genes involved in development and differentiation and gene expression regulation
rank_10_comp3.csv,385,150,"positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of DNA-templated transcription [GO:0045893], signal transduction [GO:0007165]","Low-density lipoprotein receptor-related protein 2, Scavenger receptor cysteine-rich domain-containing protein DMBT1, Hemicentin-1",Genes involved in development and differentiation and signal transduction
rank_10_comp3_top100.csv,100,39,"positive regulation of transcription by RNA polymerase II [GO:0045944], negative regulation of apoptotic process [GO:0043066], negative regulation of transcription by RNA polymerase II [GO:0000122]","Hemicentin-1, Four and a half LIM domains protein 2, Apolipoprotein B-100",Genes involved in development and differentiation and signal transduction
rank_10_comp4.csv,2,2,"intracellular signal transduction [GO:0035556], protein autophosphorylation [GO:0046777], protein phosphorylation [GO:0006468]","Serine/threonine-protein kinase SIK2, Transcriptional coactivator YAP1-A",Genes involved in signal transduction and gene expression regulation
rank_10_comp4_top100.csv,100,39,"regulation of transcription by RNA polymerase II [GO:0006357], nervous system development [GO:0007399], negative regulation of transcription by RNA polymerase II [GO:0000122]","Reversion-inducing cysteine-rich protein with Kazal motifs, Stearoyl-CoA desaturase 5, E3 ubiquitin-protein ligase rnf213-alpha",Genes involved in development and differentiation and gene expression regulation
rank_10_comp5.csv,56,30,"negative regulation of transcription by RNA polymerase II [GO:0000122], regulation of cell shape [GO:0008360], signal transduction [GO:0007165]","Protein phosphatase 1 regulatory subunit 12A, Msx2-interacting protein, Ninein-like protein",Genes involved in development and differentiation and intracellular transport
rank_10_comp5_top100.csv,100,36,"regulation of transcription by RNA polymerase II [GO:0006357], positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of DNA-templated transcription [GO:0045893]","Reversion-inducing cysteine-rich protein with Kazal motifs, Stearoyl-CoA desaturase 5, Krueppel-like factor 5",Genes involved in development and differentiation and gene expression regulation
rank_10_comp6.csv,4241,1731,"positive regulation of transcription by RNA polymerase II [GO:0045944], regulation of transcription by RNA polymerase II [GO:0006357], negative regulation of transcription by RNA polymerase II [GO:0000122]","Hemicentin-1, Glutamate carboxypeptidase 2, Potassium voltage-gated channel protein Shal",Genes involved in development and differentiation and metabolic processes
rank_10_comp6_top100.csv,100,36,"regulation of transcription by RNA polymerase II [GO:0006357], nervous system development [GO:0007399], positive regulation of DNA-templated transcription [GO:0045893]","Reversion-inducing cysteine-rich protein with Kazal motifs, Stearoyl-CoA desaturase 5, G1/S-specific cyclin-E1",Genes involved in development and differentiation and gene expression regulation
rank_10_comp7.csv,9,2,"regulation of transcription by RNA polymerase II [GO:0006357], autophagic cell death [GO:0048102], autophagy [GO:0006914]","Ecdysone-induced protein 74EF isoform A, Kruppel-like factor 1",Genes involved in development and differentiation and gene expression regulation
rank_10_comp7_top100.csv,100,36,"regulation of transcription by RNA polymerase II [GO:0006357], positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of DNA-templated transcription [GO:0045893]","Reversion-inducing cysteine-rich protein with Kazal motifs, Krueppel-like factor 5, Stearoyl-CoA desaturase 5",Genes involved in development and differentiation and gene expression regulation
rank_10_comp8.csv,4,1,"cilium assembly [GO:0060271], intraciliary transport [GO:0042073], photoreceptor cell maintenance [GO:0045494]",Intraflagellar transport protein 172 homolog,Genes involved in development and differentiation and cilium assembly and function
rank_10_comp8_top100.csv,100,49,"regulation of transcription by RNA polymerase II [GO:0006357], homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156], negative regulation of transcription by RNA polymerase II [GO:0000122]","Protocadherin Fat 4, Reversion-inducing cysteine-rich protein with Kazal motifs, E3 ubiquitin-protein ligase rnf213-alpha",Genes involved in development and differentiation and signal transduction
rank_10_comp9.csv,4,1,"positive regulation of collagen biosynthetic process [GO:0032967], regulation of translation [GO:0006417], RNA processing [GO:0006396]",La-related protein 6,Genes primarily involved in metabolic processes
rank_10_comp9_top100.csv,100,40,"regulation of transcription by RNA polymerase II [GO:0006357], positive regulation of DNA-templated transcription [GO:0045893], nervous system development [GO:0007399]","Reversion-inducing cysteine-rich protein with Kazal motifs, Stearoyl-CoA desaturase 5, Inactive tyrosine-protein kinase transmembrane receptor ROR1",Genes involved in development and differentiation and gene expression regulation
rank_12_comp1.csv,3860,1705,"positive regulation of transcription by RNA polymerase II [GO:0045944], regulation of transcription by RNA polymerase II [GO:0006357], negative regulation of transcription by RNA polymerase II [GO:0000122]","tRNA, Protocadherin Fat 4, Hemicentin-1",Genes involved in development and differentiation and signal transduction
rank_12_comp10.csv,39,11,"amino acid metabolic process [GO:0006520], spermatogenesis [GO:0007283], adaptive immune response [GO:0002250]","Protein disulfide-isomerase A3, Glutathione hydrolase 1 proenzyme, Peptidyl-prolyl cis-trans isomerase FKBP14",Genes involved in metabolic processes and intracellular transport
rank_12_comp10_top100.csv,100,56,"homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156], positive regulation of DNA-templated transcription [GO:0045893], regulation of transcription by RNA polymerase II [GO:0006357]","Protocadherin Fat 4, Fibrocystin-L, Lutropin-choriogonadotropic hormone receptor",Genes involved in development and differentiation and signal transduction
rank_12_comp11.csv,37,8,"DNA protection [GO:0042262], centrosome cycle [GO:0007098], DNA damage response [GO:0006974]","PCNA-associated factor, Corrinoid adenosyltransferase MMAB, Biotin--protein ligase",Genes involved in metabolic processes and intracellular transport
rank_12_comp11_top100.csv,100,53,"positive regulation of transcription by RNA polymerase II [GO:0045944], regulation of transcription by RNA polymerase II [GO:0006357], positive regulation of DNA-templated transcription [GO:0045893]","Protocadherin Fat 4, Fibrocystin-L, Inactive tyrosine-protein kinase transmembrane receptor ROR1",Genes involved in development and differentiation and signal transduction
rank_12_comp12.csv,99,35,"flagellated sperm motility [GO:0030317], spermatid development [GO:0007286], spermatogenesis [GO:0007283]","Heat shock factor 2-binding protein, Plasma kallikrein, Small nuclear ribonucleoprotein E",Genes involved in development and differentiation and intracellular transport
rank_12_comp12_top100.csv,100,52,"regulation of transcription by RNA polymerase II [GO:0006357], negative regulation of transcription by RNA polymerase II [GO:0000122], homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]","Protocadherin Fat 4, Fibrocystin-L, Lutropin-choriogonadotropic hormone receptor",Genes involved in development and differentiation and signal transduction
rank_12_comp1_top100.csv,100,54,"regulation of transcription by RNA polymerase II [GO:0006357], negative regulation of transcription by RNA polymerase II [GO:0000122], positive regulation of transcription by RNA polymerase II [GO:0045944]","Protocadherin Fat 4, Fibrocystin-L, Lutropin-choriogonadotropic hormone receptor",Genes involved in development and differentiation and signal transduction
rank_12_comp2.csv,60,13,"positive regulation of mRNA splicing, via spliceosome [GO:0048026], regulation of alternative mRNA splicing, via spliceosome [GO:0000381], cellular response to oxidative stress [GO:0034599]","CUGBP Elav-like family member 4, Glutathione peroxidase 7, Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5",Genes involved in metabolic processes and signal transduction
rank_12_comp2_top100.csv,100,53,"positive regulation of transcription by RNA polymerase II [GO:0045944], homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156], positive regulation of DNA-templated transcription [GO:0045893]","Protocadherin Fat 4, Lutropin-choriogonadotropic hormone receptor, Inactive tyrosine-protein kinase transmembrane receptor ROR1",Genes involved in development and differentiation and signal transduction
rank_12_comp3.csv,72,34,"proteolysis [GO:0006508], regulation of transcription by RNA polymerase II [GO:0006357], endocytosis [GO:0006897]","Glutamyl aminopeptidase, Glutamate carboxypeptidase 2, Leucine-rich repeat serine/threonine-protein kinase 2",Genes involved in development and differentiation and metabolic processes
rank_12_comp3_top100.csv,100,55,"homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156], regulation of transcription by RNA polymerase II [GO:0006357], positive regulation of transcription by RNA polymerase II [GO:0045944]","Protocadherin Fat 4, Reversion-inducing cysteine-rich protein with Kazal motifs, E3 ubiquitin-protein ligase rnf213-alpha",Genes involved in development and differentiation and signal transduction
rank_12_comp4.csv,246,107,"positive regulation of transcription by RNA polymerase II [GO:0045944], regulation of gene expression [GO:0010468], negative regulation of transcription by RNA polymerase II [GO:0000122]","Adhesion G-protein coupled receptor D1, Proto-oncogene tyrosine-protein kinase receptor Ret, GPI ethanolamine phosphate transferase 1",Genes involved in development and differentiation and intracellular transport
rank_12_comp4_top100.csv,100,52,"regulation of transcription by RNA polymerase II [GO:0006357], positive regulation of DNA-templated transcription [GO:0045893], negative regulation of transcription by RNA polymerase II [GO:0000122]","Protocadherin Fat 4, Fibrocystin-L, Lutropin-choriogonadotropic hormone receptor",Genes involved in development and differentiation and signal transduction
rank_12_comp5.csv,3,1,"positive regulation of exosomal secretion [GO:1903543], protein transport [GO:0015031], regulation of extracellular exosome assembly [GO:1903551]",Signal transducing adapter molecule 1,Genes primarily involved in intracellular transport
rank_12_comp5_top100.csv,100,50,"regulation of transcription by RNA polymerase II [GO:0006357], homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156], negative regulation of transcription by RNA polymerase II [GO:0000122]","Protocadherin Fat 4, Fibrocystin-L, Lutropin-choriogonadotropic hormone receptor",Genes involved in development and differentiation and signal transduction
rank_12_comp6.csv,12,4,"deoxyribonucleotide biosynthetic process [GO:0009263], DNA-templated transcription initiation [GO:0006352], mRNA transcription by RNA polymerase II [GO:0042789]","Ribonucleoside-diphosphate reductase subunit M2, Transcription initiation factor TFIID subunit 5, Hyaluronan mediated motility receptor",Genes involved in gene expression regulation and metabolic processes
rank_12_comp6_top100.csv,100,54,"regulation of transcription by RNA polymerase II [GO:0006357], homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156], positive regulation of transcription by RNA polymerase II [GO:0045944]","Protocadherin Fat 4, Reversion-inducing cysteine-rich protein with Kazal motifs, E3 ubiquitin-protein ligase rnf213-alpha",Genes involved in development and differentiation and signal transduction
rank_12_comp7.csv,21,7,"fatty acid beta-oxidation [GO:0006635], proteolysis [GO:0006508], respiratory gaseous exchange by respiratory system [GO:0007585]","Transmembrane protease serine 11D, Serine/threonine-protein kinase Nek6, Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",Genes involved in metabolic processes and development and differentiation
rank_12_comp7_top100.csv,100,49,"regulation of transcription by RNA polymerase II [GO:0006357], negative regulation of transcription by RNA polymerase II [GO:0000122], positive regulation of gene expression [GO:0010628]","Protocadherin Fat 4, Inactive tyrosine-protein kinase transmembrane receptor ROR1, Fibrocystin-L",Genes involved in development and differentiation and gene expression regulation
rank_12_comp8.csv,4,1,N/A,Malectin,Unannotated genes
rank_12_comp8_top100.csv,100,48,"homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156], positive regulation of transcription by RNA polymerase II [GO:0045944], nervous system development [GO:0007399]","Protocadherin Fat 4, Fibrocystin-L, Lutropin-choriogonadotropic hormone receptor",Genes involved in development and differentiation and signal transduction
rank_12_comp9.csv,170,81,"positive regulation of transcription by RNA polymerase II [GO:0045944], protein transport [GO:0015031], intracellular signal transduction [GO:0035556]","Low-density lipoprotein receptor-related protein 2, Transcriptional enhancer factor TEF-1, LHFPL tetraspan subfamily member 2 protein",Genes involved in development and differentiation and signal transduction
rank_12_comp9_top100.csv,100,50,"positive regulation of transcription by RNA polymerase II [GO:0045944], regulation of transcription by RNA polymerase II [GO:0006357], positive regulation of DNA-templated transcription [GO:0045893]","Protocadherin Fat 4, Fibrocystin-L, Lutropin-choriogonadotropic hormone receptor",Genes involved in development and differentiation and signal transduction
rank_15_comp10.csv,11,6,"positive regulation of transcription by RNA polymerase II [GO:0045944], cytoskeleton organization [GO:0007010], regulation of cell morphogenesis [GO:0022604]","Transcription initiation factor IIA subunit 2, F-actin-capping protein subunit beta, Krueppel-like factor 5",Genes involved in development and differentiation and gene expression regulation
rank_15_comp10_top100.csv,100,43,"positive regulation of DNA-templated transcription [GO:0045893], nervous system development [GO:0007399], Wnt signaling pathway [GO:0016055]","E3 ubiquitin-protein ligase rnf213-alpha, Reversion-inducing cysteine-rich protein with Kazal motifs, Stearoyl-CoA desaturase 5",Genes involved in development and differentiation and signal transduction
rank_15_comp11.csv,3435,1547,"positive regulation of transcription by RNA polymerase II [GO:0045944], regulation of transcription by RNA polymerase II [GO:0006357], negative regulation of transcription by RNA polymerase II [GO:0000122]","Hemicentin-1, Protocadherin Fat 4, E3 ubiquitin-protein ligase TRIM71",Genes involved in development and differentiation and signal transduction
rank_15_comp11_top100.csv,100,48,"positive regulation of DNA-templated transcription [GO:0045893], nervous system development [GO:0007399], regulation of transcription by RNA polymerase II [GO:0006357]","E3 ubiquitin-protein ligase rnf213-alpha, Reversion-inducing cysteine-rich protein with Kazal motifs, Zinc finger protein ZIC 1",Genes involved in development and differentiation and signal transduction
rank_15_comp12.csv,9,3,"cuticle pattern formation [GO:0035017], dorsal appendage formation [GO:0046843], germ cell development [GO:0007281]","Protein gustavus, Scavenger receptor cysteine-rich domain-containing protein DMBT1, Kruppel-like factor 1",Genes involved in development and differentiation and metabolic processes
rank_15_comp12_top100.csv,100,50,"nervous system development [GO:0007399], homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156], signal transduction [GO:0007165]","E3 ubiquitin-protein ligase rnf213-alpha, Reversion-inducing cysteine-rich protein with Kazal motifs, Stearoyl-CoA desaturase 5",Genes involved in development and differentiation and signal transduction
rank_15_comp13.csv,80,27,"cilium assembly [GO:0060271], sodium ion transmembrane transport [GO:0035725], methylation [GO:0032259]","Degenerin unc-8, Putative histone-lysine N-methyltransferase PRDM6, Methylmalonic aciduria type A protein, mitochondrial",Genes involved in development and differentiation and metabolic processes
rank_15_comp13_top100.csv,100,47,"positive regulation of DNA-templated transcription [GO:0045893], signal transduction [GO:0007165], canonical Wnt signaling pathway [GO:0060070]","E3 ubiquitin-protein ligase rnf213-alpha, Fibrocystin-L, Reversion-inducing cysteine-rich protein with Kazal motifs",Genes involved in development and differentiation and signal transduction
rank_15_comp14.csv,1,0,N/A,N/A,Unannotated genes
rank_15_comp14_top100.csv,100,43,"regulation of transcription by RNA polymerase II [GO:0006357], positive regulation of DNA-templated transcription [GO:0045893], nervous system development [GO:0007399]","E3 ubiquitin-protein ligase rnf213-alpha, Reversion-inducing cysteine-rich protein with Kazal motifs, A disintegrin and metalloproteinase with thrombospondin motifs 16",Genes involved in development and differentiation and signal transduction
rank_15_comp15.csv,75,26,"negative regulation of apoptotic process [GO:0043066], positive regulation of protein ubiquitination [GO:0031398], behavioral fear response [GO:0001662]","GPI ethanolamine phosphate transferase 1, Adhesion G-protein coupled receptor D1, Radial spoke head 1 homolog",Genes involved in metabolic processes and signal transduction
rank_15_comp15_top100.csv,100,51,"signal transduction [GO:0007165], positive regulation of DNA-templated transcription [GO:0045893], regulation of transcription by RNA polymerase II [GO:0006357]","Fibrocystin-L, E3 ubiquitin-protein ligase rnf213-alpha, Reversion-inducing cysteine-rich protein with Kazal motifs",Genes involved in development and differentiation and signal transduction
rank_15_comp1_top100.csv,100,39,"regulation of transcription by RNA polymerase II [GO:0006357], positive regulation of DNA-templated transcription [GO:0045893], Wnt signaling pathway [GO:0016055]","E3 ubiquitin-protein ligase rnf213-alpha, Reversion-inducing cysteine-rich protein with Kazal motifs, Stearoyl-CoA desaturase 5",Genes involved in development and differentiation and signal transduction
rank_15_comp2.csv,1,0,N/A,N/A,Unannotated genes
rank_15_comp2_top100.csv,100,39,"positive regulation of DNA-templated transcription [GO:0045893], regulation of transcription by RNA polymerase II [GO:0006357], Wnt signaling pathway [GO:0016055]","E3 ubiquitin-protein ligase rnf213-alpha, Reversion-inducing cysteine-rich protein with Kazal motifs, A disintegrin and metalloproteinase with thrombospondin motifs 16",Genes involved in development and differentiation and signal transduction
rank_15_comp3.csv,13,6,"camera-type eye development [GO:0043010], embryonic eye morphogenesis [GO:0048048], epidermal growth factor receptor signaling pathway [GO:0007173]","EGF-containing fibulin-like extracellular matrix protein 1, Cytochrome P450 3A24, Mitochondrial import inner membrane translocase subunit Tim17-B",Genes involved in development and differentiation and metabolic processes
rank_15_comp3_top100.csv,100,49,"regulation of transcription by RNA polymerase II [GO:0006357], positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of DNA-templated transcription [GO:0045893]","E3 ubiquitin-protein ligase rnf213-alpha, Reversion-inducing cysteine-rich protein with Kazal motifs, A disintegrin and metalloproteinase with thrombospondin motifs 16",Genes involved in development and differentiation and signal transduction
rank_15_comp4.csv,51,16,"positive regulation of transcription by RNA polymerase II [GO:0045944], regulation of transcription by RNA polymerase II [GO:0006357], mRNA processing [GO:0006397]","Protein AF-10, Eukaryotic translation initiation factor 5B, TOG array regulator of axonemal microtubules protein 1",Genes involved in development and differentiation and gene expression regulation
rank_15_comp4_top100.csv,100,40,"regulation of transcription by RNA polymerase II [GO:0006357], positive regulation of DNA-templated transcription [GO:0045893], nervous system development [GO:0007399]","E3 ubiquitin-protein ligase rnf213-alpha, Reversion-inducing cysteine-rich protein with Kazal motifs, Zinc finger protein ZIC 1",Genes involved in development and differentiation and signal transduction
rank_15_comp5.csv,3,3,"chaperone cofactor-dependent protein refolding [GO:0051085], clathrin coat disassembly [GO:0072318], mRNA processing [GO:0006397]","Heat shock cognate 71 kDa protein, Heat shock protein HSP 90-beta, Enkurin",Genes involved in development and differentiation and protein processing and degradation
rank_15_comp5_top100.csv,100,42,"positive regulation of DNA-templated transcription [GO:0045893], regulation of transcription by RNA polymerase II [GO:0006357], nervous system development [GO:0007399]","E3 ubiquitin-protein ligase rnf213-alpha, Reversion-inducing cysteine-rich protein with Kazal motifs, A disintegrin and metalloproteinase with thrombospondin motifs 16",Genes involved in development and differentiation and signal transduction
rank_15_comp6.csv,12,5,"positive regulation of transcription by RNA polymerase II [GO:0045944], negative regulation of transcription by RNA polymerase II [GO:0000122], response to lipopolysaccharide [GO:0032496]","Hemicentin-1, Runt-related transcription factor 1, Ribosomal protein S6 kinase alpha-3",Genes involved in development and differentiation and gene expression regulation
rank_15_comp6_top100.csv,100,48,"signal transduction [GO:0007165], nervous system development [GO:0007399], canonical Wnt signaling pathway [GO:0060070]","E3 ubiquitin-protein ligase rnf213-alpha, Reversion-inducing cysteine-rich protein with Kazal motifs, Fibrocystin-L",Genes involved in development and differentiation and signal transduction
rank_15_comp7.csv,226,89,"flagellated sperm motility [GO:0030317], establishment of localization in cell [GO:0051649], cilium assembly [GO:0060271]","Radial spoke head protein 4 homolog A, EF-hand calcium-binding domain-containing protein 6, Nucleotide exchange factor SIL1",Genes involved in development and differentiation and intracellular transport
