Coords	Name	MIRNA	1A10-fastp-adapters-polyG-31bp-merged_condensed	1A11-fastp-adapters-polyG-31bp-merged_condensed	1A12-fastp-adapters-polyG-31bp-merged_condensed	1A1-fastp-adapters-polyG-31bp-merged_condensed	1A2-fastp-adapters-polyG-31bp-merged_condensed	1A8-fastp-adapters-polyG-31bp-merged_condensed	1A9-fastp-adapters-polyG-31bp-merged_condensed	1B10-fastp-adapters-polyG-31bp-merged_condensed	1B11-fastp-adapters-polyG-31bp-merged_condensed	1B12-fastp-adapters-polyG-31bp-merged_condensed	1B1-fastp-adapters-polyG-31bp-merged_condensed	1B2-fastp-adapters-polyG-31bp-merged_condensed	1B5-fastp-adapters-polyG-31bp-merged_condensed	1B9-fastp-adapters-polyG-31bp-merged_condensed	1C10-fastp-adapters-polyG-31bp-merged_condensed	1C4-fastp-adapters-polyG-31bp-merged_condensed	1D10-fastp-adapters-polyG-31bp-merged_condensed	1D3-fastp-adapters-polyG-31bp-merged_condensed	1D4-fastp-adapters-polyG-31bp-merged_condensed	1D6-fastp-adapters-polyG-31bp-merged_condensed	1D8-fastp-adapters-polyG-31bp-merged_condensed	1D9-fastp-adapters-polyG-31bp-merged_condensed	1E10-fastp-adapters-polyG-31bp-merged_condensed	1E11-fastp-adapters-polyG-31bp-merged_condensed	1E12-fastp-adapters-polyG-31bp-merged_condensed	1E1-fastp-adapters-polyG-31bp-merged_condensed	1E3-fastp-adapters-polyG-31bp-merged_condensed	1E5-fastp-adapters-polyG-31bp-merged_condensed	1E9-fastp-adapters-polyG-31bp-merged_condensed	1F11-fastp-adapters-polyG-31bp-merged_condensed	1F4-fastp-adapters-polyG-31bp-merged_condensed	1F8-fastp-adapters-polyG-31bp-merged_condensed	1G5-fastp-adapters-polyG-31bp-merged_condensed	1H12-fastp-adapters-polyG-31bp-merged_condensed	1H7-fastp-adapters-polyG-31bp-merged_condensed	1H8-fastp-adapters-polyG-31bp-merged_condensed	2B2-fastp-adapters-polyG-31bp-merged_condensed	2B3-fastp-adapters-polyG-31bp-merged_condensed	2C1-fastp-adapters-polyG-31bp-merged_condensed	2C2-fastp-adapters-polyG-31bp-merged_condensed	2D2-fastp-adapters-polyG-31bp-merged_condensed	2E2-fastp-adapters-polyG-31bp-merged_condensed	2F1-fastp-adapters-polyG-31bp-merged_condensed	2G1-fastp-adapters-polyG-31bp-merged_condensed
ntLink_7:139588-140005	Cluster_16	N	18	0	18	23	7	1	4	18	0	0	9	29	10	3	5	2	30	109	35	5	13	4	0	0	0	5	49	0	10	15	37	3	2	5	5	7	23	8	0	54	27	4	3	26
ntLink_7:146287-146840	Cluster_17	N	16	0	207	69	18	8	56	47	0	0	62	77	10	7	28	24	45	210	254	18	313	1	0	0	0	11	117	8	41	81	273	15	54	2	7	11	6	43	26	128	78	5	10	79
ntLink_7:159092-159509	Cluster_18	N	15	0	32	46	5	8	2	12	0	0	7	36	14	5	4	3	25	22	32	6	27	2	0	0	0	3	45	0	14	9	29	3	5	9	5	7	28	22	3	33	28	2	3	51
ntLink_7:165797-166350	Cluster_19	N	9	1	187	143	19	11	100	70	0	0	41	88	10	8	33	14	50	361	159	27	224	3	0	0	0	9	75	7	52	130	302	13	57	8	8	10	17	48	40	111	88	4	7	401
ntLink_7:178602-179017	Cluster_20	N	4	0	17	41	3	4	8	21	0	0	11	13	7	4	2	3	30	79	47	9	24	2	0	0	0	2	24	2	8	17	28	3	2	3	4	8	7	28	1	35	8	1	4	46
ntLink_8:276281-276816	Cluster_21	N	48	0	20	278	19	1	317	7	0	0	8	309	0	0	29	1	1	46	34	1	23	66	0	0	0	46	7	2	5	23	77	62	210	5	48	0	0	62	316	55	16	0	35	14
ntLink_8:277469-277874	Cluster_22	N	8	0	4	48	13	4	23	5	0	0	1	9	502	33	3	0	38	2	11	51	4	11	0	0	0	19	4	1	2	28	5	13	16	2	47	2	50	5	10	6	6	0	12	5
ntLink_8:295293-295712	Cluster_23	N	0	0	0	53	13	0	33	0	0	0	32	37	100	1	17	0	0	69	0	184	0	30	0	0	0	0	11	0	0	42	0	0	11	0	22	0	0	0	5	0	0	0	0	0
ntLink_8:322888-323314	Cluster_24	N	0	0	0	22	6	8	21	0	25	60	0	55	2	2	3	47	7	10	0	9	0	8	1	1	30	0	0	13	0	46	4	0	7	0	0	8	0	133	9	128	0	8	1	0
ntLink_8:338360-339372	Cluster_25	N	175	0	21	7	25	10	48	13	0	0	25	0	809	76	3	102	696	47	59	552	13	490	1	0	0	125	854	16	24	7	40	65	51	2	238	11	219	631	22	478	25	1	87	39
ntLink_8:339595-340007	Cluster_26	N	17	0	7	1	1	10	0	5	0	2	10	1	122	16	1	22	15	51	13	120	10	73	0	0	0	28	12	5	11	1	9	17	3	4	60	4	27	82	1	193	9	3	10	10
ntLink_8:340123-340657	Cluster_27	N	34	0	45	3	32	112	119	19	0	0	45	4	90	32	4	22	134	184	51	316	47	45	0	0	0	83	215	4	27	11	44	30	78	57	39	114	16	111	57	122	20	12	28	75
ntLink_8:341041-342095	Cluster_28	N	70	0	16	6	28	36	39	18	0	0	52	3	259	62	4	11	259	205	37	124	53	158	0	0	0	112	759	7	33	4	40	66	61	30	137	41	135	84	39	87	23	12	33	32
ntLink_8:343969-344460	Cluster_29	N	382	0	492	3092	6	147	10	246	0	0	1200	1924	2532	267	875	4342	745	5338	615	4368	664	1509	0	0	1	430	1946	838	180	3609	629	268	14	80	1388	156	441	32673	6	28558	226	56	143	743
ntLink_8:349999-350428	Cluster_30	N	0	0	9	3	1	12	1	4	0	0	3	1	153	0	0	1	2	2	41	747	8	184	0	0	0	2	2	0	3	0	1	0	1	3	566	5	0	1	1	42	9	0	0	12
ntLink_8:574098-574524	Cluster_31	N	0	0	1	2	21	1	47	2	0	0	151	0	105	3	0	0	7	77	0	150	4	40	0	0	0	0	6	0	0	0	5	0	35	0	51	0	0	1	20	5	4	2	0	2
ntLink_8:592997-593420	Cluster_32	N	0	0	9	1	0	0	14	3	0	0	68	1	0	1	0	4	0	182	0	0	35	1	0	0	0	0	0	0	3	0	6	0	12	0	0	0	0	25	4	130	9	0	0	55
ntLink_8:604142-604578	Cluster_33	N	4	112	73	1	10	11	16	66	0	0	675	0	0	5	0	1	14	3807	101	0	60	0	0	0	1	4	21	0	68	0	122	3	38	2	0	8	5	2	27	0	140	2	5	121
ntLink_8:665664-666259	Cluster_34	N	3	0	43	70	33	8	15	16	0	0	8	32	24	13	10	6	28	78	67	89	25	1051	0	0	0	9	58	4	21	16	60	1	87	15	28	23	5	29	41	82	40	13	2	22
ntLink_8:680043-680476	Cluster_35	N	303	0	12	8	0	3	94	7	0	0	5	8	36	289	1	8	703	0	6	37	8	23	0	0	0	437	1262	3	9	4	2	200	81	1	20	0	344	72	1	108	1	2	119	11
ntLink_8:680591-681043	Cluster_36	N	183	0	1	28	23	3	25	4	0	0	2	11	57	177	4	7	213	3	6	93	1	18	0	0	0	315	372	7	1	26	0	116	77	1	54	0	115	117	10	133	2	1	88	0
ntLink_8:749291-749719	Cluster_37	N	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	325	0	0	1	0	0	1	0	0	0	0	6619	0	9	1	0	0	0	4	4	0	8	5	0	5	0	0	177	0
ntLink_8:754351-754781	Cluster_38	N	0	0	0	1	0	157	1	0	0	0	89	1	9	1	0	125	199	368	0	0	0	1	0	0	0	36	96	17	0	3	0	9	0	38	21	57	2	404	1	687	0	17	54	0
ntLink_8:836441-836865	Cluster_39	N	24	0	18	32	304	10	3	59	0	0	53	33	53	33	14	37	21	33	107	62	9	71	0	0	0	157	52	6	86	5	77	45	105	93	40	88	49	39	60	87	70	105	15	21
ntLink_8:927520-928968	Cluster_40	N	0	0	0	0	0	0	0	0	2	0	0	0	3018	0	0	813	0	3	2	3133	4	1616	2	0	0	1	0	175	3	1	1	0	0	1	1346	1	0	3572	0	3706	1	0	2	1
ntLink_8:954422-954846	Cluster_41	N	0	0	1	18	0	0	0	0	0	0	31	19	132	0	6	13	1	138	0	56	0	89	0	0	0	0	0	1	0	7	0	0	0	0	30	0	0	68	1	87	1	1	0	0
ntLink_8:956699-957146	Cluster_42	N	0	0	0	17	0	0	5	0	0	0	36	25	439	0	18	7	0	161	0	973	0	164	0	0	0	0	1	1	0	27	0	0	0	2	231	2	0	57	1	121	0	0	0	1
ntLink_8:988371-988799	Cluster_43	N	7	0	12	0	36	93	28	9	0	0	23	0	27	6	0	11	11	67	16	21	24	1	0	0	0	5	62	0	7	0	19	19	20	39	12	119	7	70	6	79	12	22	2	24
ntLink_8:1052686-1053086	Cluster_44	N	19	0	8	12	11	5	8	4	0	0	17	7	0	3	4	10	96	11	12	6	15	13	0	0	0	2	8	2	56	18	3	13	5	19	1	8	33	14	8	32	6	6	10	24
ntLink_8:1177007-1177432	Cluster_45	N	7	0	18	98	29	1	2	14	0	0	7	27	5	2	10	11	0	12	53	4	4	3	0	1	0	37	4	3	0	9	62	1	21	2	1	2	7	22	7	7	47	21	1	30
ntLink_8:1191356-1191837	Cluster_46	N	0	0	300	237	145	313	182	208	0	0	0	135	0	0	77	74	5	2	439	0	590	2	0	0	0	1	4	26	242	111	638	2	231	126	0	272	1	342	132	360	166	103	3	464
ntLink_8:1202257-1202685	Cluster_47	N	20	28	4	15	10	13	28	2	0	0	36	12	220	33	4	7	49	161	6	350	2	190	1	0	0	35	105	7	1	10	4	20	21	5	219	7	49	54	15	105	2	4	21	6
ntLink_8:1251731-1252155	Cluster_48	N	26	0	14	22	34	60	9	89	0	0	80	35	53	24	23	32	19	47	34	0	8	68	0	0	0	19	94	13	37	0	56	20	41	9	85	16	27	216	65	0	33	17	20	69
ntLink_8:1269185-1269835	Cluster_49	N	71	0	9	132	144	0	208	7	0	1	11	85	48	15	26	6	198	6	3	53	0	28	0	1	0	49	374	0	11	123	18	37	100	0	17	0	115	35	178	47	7	2	51	4
ntLink_8:1269851-1270278	Cluster_50	N	37	0	103	20	30	8	45	23	0	0	39	56	50	27	7	12	13	26	32	59	114	37	0	0	0	102	8	2	8	57	55	24	63	1	9	0	35	14	51	36	5	0	25	99
ntLink_8:1271285-1271768	Cluster_51	N	49	0	36	98	47	24	68	2	0	0	19	45	142	32	46	15	143	117	97	29	17	155	0	0	0	24	110	1	37	86	82	15	47	12	6	66	60	55	33	67	19	2	48	21
ntLink_8:1292364-1292794	Cluster_52	N	0	0	233	0	0	1	0	79	0	0	0	0	0	0	0	460	0	0	127	1	207	0	0	0	0	0	0	60	132	1	228	0	0	0	0	0	1	2126	1	1787	76	1	0	245
ntLink_8:1317290-1317719	Cluster_53	N	0	0	8	0	28	0	52	2	0	0	202	0	3	8	0	2	21	1281	10	5	18	0	0	0	0	6	11	0	0	0	16	0	63	0	4	0	3	0	31	0	19	1	1	29
ntLink_8:1325571-1325988	Cluster_54	N	0	0	0	0	0	0	0	0	2	122	0	0	0	0	0	0	1	0	0	0	1	0	1	579	269	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ntLink_8:1346458-1346882	Cluster_55	N	23	0	14	21	32	59	9	96	0	0	78	31	54	24	25	32	21	47	32	221	6	64	0	0	0	15	89	0	36	48	58	22	40	5	87	13	26	0	64	62	38	15	14	71
ntLink_8:1391726-1392153	Cluster_56	N	0	0	4	279	59	0	0	1	1	0	0	13	7	8	202	29	12	1	3	67	6	1	0	0	0	2	0	0	4	0	4	0	2	0	23	1	9	62	0	37	4	1	3	1
ntLink_8:1439351-1439768	Cluster_57	N	0	0	0	0	1	0	0	0	10	0	0	0	0	0	0	1409	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
ntLink_8:1470315-1470925	Cluster_58	N	3	480	10	32	10	0	10	34	0	0	7	12	72	0	3	8	38	5	216	132	78	98	0	0	0	13	18	8	45	16	58	3	26	0	3	0	19	32	13	58	55	0	3	46
ntLink_8:1519287-1520140	Cluster_59	N	11	0	167	11	85	14	113	37	0	1	97	4	79	18	1	22	18	474	150	17	59	12	0	0	0	12	16	9	21	2	106	12	143	5	17	5	13	102	65	252	40	4	6	107
ntLink_8:1521031-1521535	Cluster_60	N	22	0	83	10	185	27	195	59	0	0	72	5	164	43	1	51	54	74	111	161	92	117	0	0	0	36	145	9	64	5	122	12	276	9	77	20	55	75	116	182	50	6	13	105
ntLink_8:1665622-1666047	Cluster_61	N	6	0	25	13	26	5	72	14	0	0	8	12	10	16	4	8	14	34	35	7	48	3	0	0	0	1	42	2	11	9	31	7	35	3	2	6	10	23	34	31	36	5	4	41
ntLink_8:1668107-1668595	Cluster_62	N	25	0	42	83	88	0	265	4	0	0	1	100	0	79	34	3	15	4	57	0	37	0	0	0	0	6	259	0	13	113	52	3	251	0	0	0	26	30	106	25	48	0	15	59
ntLink_8:1681895-1682316	Cluster_63	N	2	0	9	56	91	1	2	5	0	0	65	7	111	0	15	20	4	41	47	2	4	6	0	0	0	8	19	0	21	10	0	2	9	1	22	5	3	10	2	9	7	4	16	16
ntLink_8:1711600-1712045	Cluster_64	N	2	0	0	32	10	2	0	7	1	0	12	12	39	15	0	9	45	64	77	151	102	2	0	1	0	0	382	0	1	28	2	3	20	1	12	3	1	1	4	68	0	3	1	3
ntLink_8:1809181-1810565	Cluster_65	N	131	0	48	816	561	287	626	21	0	0	0	657	778	115	215	120	324	1	46	818	53	349	1	0	0	97	585	31	24	590	66	105	911	231	266	410	257	523	551	739	31	176	72	25
ntLink_8:1810731-1811159	Cluster_66	N	0	0	10	77	109	40	129	0	0	0	0	60	47	5	28	16	12	0	26	39	12	43	0	0	0	1	9	3	8	36	15	3	179	33	28	49	16	49	91	71	19	22	3	10
ntLink_8:1811307-1812099	Cluster_67	N	0	0	47	173	227	121	319	16	9	5	0	109	281	1	50	45	1	0	80	242	58	142	2	3	0	0	4	3	13	117	36	0	371	80	81	151	1	125	207	209	33	41	2	54
ntLink_8:1812740-1813146	Cluster_68	N	3	0	11	115	62	29	23	3	0	0	0	11	94	5	0	20	2	0	17	127	5	43	0	0	0	3	12	1	8	14	15	2	83	20	39	18	4	16	4	27	7	19	1	2
ntLink_8:1813716-1814143	Cluster_69	N	4	0	20	68	121	45	262	0	0	0	0	41	270	6	16	31	3	2	33	241	10	108	0	0	0	0	9	7	12	51	10	0	216	36	76	61	1	63	105	120	15	10	3	26
ntLink_8:1817852-1818274	Cluster_70	N	8	0	3	29	10	0	19	1	0	0	28	8	65	9	4	2	7	272	22	33	7	27	0	0	0	2	12	1	4	10	8	2	19	7	12	10	10	23	29	21	4	8	3	5
ntLink_8:1821365-1822645	Cluster_71	N	1	3	384	1	295	277	601	586	0	2	130	0	287	0	1	109	1	471	964	500	578	192	0	0	1	1	7	14	516	3	1132	1	468	160	496	287	4	381	449	472	219	103	3	1104
ntLink_8:1822651-1823124	Cluster_72	N	0	0	28	2	135	81	221	37	0	0	106	1	253	1	0	20	2	691	221	329	54	187	0	1	0	0	2	13	108	1	250	2	227	35	132	120	0	133	135	205	72	36	0	246
ntLink_8:1826789-1827219	Cluster_73	N	0	0	2	177	28	6	119	2	0	0	1	113	155	0	31	1	0	2	6	281	3	37	0	0	0	0	1	0	1	147	1	0	42	1	31	9	0	1	17	3	3	1	0	10
ntLink_8:1842969-1843397	Cluster_74	N	5	0	1	11	7	4	62	4	0	0	182	15	7	2	0	10	19	391	0	8	3	5	0	0	0	4	40	0	3	4	7	3	192	0	1	1	3	45	46	55	0	0	2	3
ntLink_8:1947100-1947642	Cluster_75	N	681	0	248	909	474	531	317	818	45	231	864	1340	91	218	542	322	519	627	458	124	263	158	62	221	730	309	1232	112	612	665	1429	588	420	604	175	950	1291	1288	2160	813	2688	2032	648	867
ntLink_8:1953231-1953771	Cluster_76	N	1176	0	304	1012	1346	873	80	1074	47	236	2015	1245	485	1274	1952	557	1060	1026	1246	485	125	1330	57	226	735	713	2898	216	1356	488	1908	1691	393	1052	558	641	3456	1636	1518	327	2990	1539	1921	1133
ntLink_8:1954788-1955331	Cluster_77	N	732	0	250	5017	696	2916	178	1075	0	6	7499	7289	1028	386	4535	2550	654	3579	591	2044	77	2986	0	2	7	691	3136	1672	730	3803	1560	1042	449	3973	1819	2504	1242	11431	1680	3554	1429	3236	547	1855
ntLink_8:2025990-2026418	Cluster_78	N	14	0	21	0	205	1	288	11	0	0	33	0	4	31	0	0	82	176	38	4	32	0	0	0	0	2	200	0	25	0	63	16	526	0	6	18	65	1	238	2	38	6	17	61
ntLink_8:2029485-2030300	Cluster_79	N	52	0	0	3	66	72	97	2	0	0	2	0	324	33	0	0	112	1	2	335	5	132	0	0	0	40	271	0	1	1	0	41	106	53	214	94	64	27	46	29	0	33	30	1
ntLink_8:2030501-2031207	Cluster_80	N	3	0	1	2	16	110	17	1	0	3	3	3	557	2	0	4	4	0	3	534	2	231	0	1	2	1	15	0	1	4	0	1	29	58	198	118	4	26	6	29	0	52	2	0
ntLink_8:2040768-2041261	Cluster_81	N	40	0	21	142	35	69	68	9	1	0	125	87	90	43	40	42	87	569	41	60	25	48	0	0	0	75	185	8	24	38	54	28	134	28	57	81	65	184	143	207	26	35	29	18
ntLink_8:2064842-2065281	Cluster_82	N	0	0	95	0	0	0	3	123	0	0	1	1	0	0	0	0	0	5	335	1	214	0	0	0	0	0	1	6	179	0	304	0	1	0	4	0	0	300	0	52	58	0	0	289
ntLink_8:2071534-2072028	Cluster_83	N	99	0	11	213	44	59	20	13	0	0	129	173	0	117	51	68	104	845	49	0	17	0	0	0	0	64	222	30	13	52	47	53	38	33	4	79	126	423	52	486	13	27	56	17
ntLink_8:2090224-2091501	Cluster_84	N	28	0	232	2251	518	14	1175	129	0	0	18	1449	445	47	469	635	117	53	266	741	276	219	0	0	0	34	259	148	126	1479	287	27	1110	12	195	12	72	3188	464	3598	161	7	25	345
ntLink_8:2091888-2092311	Cluster_85	N	0	0	2	6	11	22	15	1	0	0	4	5	138	0	3	3	1	14	1	124	2	59	0	0	0	0	0	0	0	4	0	0	4	6	43	27	0	11	0	21	1	4	0	0
ntLink_8:2102577-2103004	Cluster_86	N	3	0	4	1	148	1	112	18	0	0	1	0	2	106	0	0	160	1	2	0	7	0	0	0	0	6	2	0	4	1	42	1	29	1	0	34	7	4	9	60	6	0	2	1
ntLink_8:2124795-2125223	Cluster_87	N	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	83	1	3	0	9	0	1	0	0	0	0	1	35	0	1	0	0	1	0	1	0	0	708	0	2122	0	0	1	0
ntLink_8:2151349-2151775	Cluster_88	N	0	0	0	17	0	0	3	0	58	12	0	8	0	0	1	0	0	0	0	0	0	0	419	4	91	0	0	0	0	8	0	0	8	1	0	0	0	0	3	0	0	1	1	0
ntLink_8:2152213-2152640	Cluster_89	N	0	0	4	3	3	0	9	0	209	40	0	2	3	1	3	0	0	1	8	1	0	0	506	1	17	3	1	0	0	17	4	2	27	0	1	2	2	1	6	6	1	1	0	0
ntLink_8:2153958-2154549	Cluster_90	N	0	0	6	50	32	165	99	11	3	8	5	109	12	1	27	0	0	0	29	56	72	11	7	1	1	0	1	1	28	95	49	0	84	54	16	65	0	3	13	3	37	11	0	55
ntLink_8:2154834-2155401	Cluster_91	N	0	0	56	287	32	57	63	38	11	7	0	164	272	0	60	4	1	0	151	133	133	200	74	0	12	0	1	0	23	227	171	0	77	69	59	62	0	23	52	17	52	45	0	149
ntLink_8:2162969-2163723	Cluster_92	N	0	0	33	266	107	36	34	13	0	0	240	163	1196	45	114	223	1	832	184	708	175	1208	0	0	0	0	3	73	74	116	123	0	111	111	253	24	1	1143	15	1244	87	36	33	13
ntLink_8:2164918-2165346	Cluster_93	N	0	0	0	1	0	0	0	1	0	0	0	0	95	0	0	0	14	0	0	1	0	0	0	0	0	0	43	0	1	0	0	2	0	1	35	115	0	0	0	307	0	0	0	3
ntLink_8:2189110-2189602	Cluster_94	N	67	0	61	105	51	33	14	40	0	0	39	101	79	97	19	45	113	327	130	31	65	38	1	0	0	108	155	9	61	30	83	45	13	30	23	42	69	232	0	250	31	21	23	46
ntLink_8:2209678-2210600	Cluster_95	N	14	0	10	37	298	228	972	1	0	0	422	8	33	4	9	19	17	1412	5	20	13	28	0	0	0	7	34	1	6	2	3	0	1023	61	17	220	7	6	476	264	7	32	1	3
ntLink_8:2231021-2231815	Cluster_96	N	236	0	8	1	5	0	93	2	2	0	4	3	695	72	0	2	635	16	4	882	5	250	0	0	0	101	709	0	5	1	4	139	146	0	208	0	162	1	11	0	1	0	84	6
ntLink_8:2282151-2282566	Cluster_97	N	17	0	3	0	244	0	0	0	0	0	0	0	5	0	0	1	0	0	0	81	0	0	0	0	0	38	78	0	0	83	0	0	3	0	0	0	81	0	0	2	0	0	0	24
ntLink_8:2307827-2308270	Cluster_98	N	33	1	158	64	254	209	34	170	1	0	40	67	0	38	24	25	70	298	318	1	47	421	0	0	0	0	54	5	42	0	310	19	343	34	278	76	35	157	320	162	193	18	16	215
ntLink_8:2393659-2394088	Cluster_99	N	3	0	48	20	16	1	7	9	0	0	41	10	34	23	8	10	3	168	132	4	37	13	0	0	0	5	8	4	21	26	43	2	32	0	2	2	17	66	21	72	22	3	3	55
ntLink_8:2430331-2430768	Cluster_100	N	1	0	89	271	9	39	31	1	0	0	1	93	0	1	0	3	50	1	1	12	8	3	0	0	0	3	91	2	1	2	1	1	148	4	0	3	3	15	8	421	7	2	17	12
ntLink_8:2440715-2441142	Cluster_101	N	1	0	5	3	48	2	6	3	0	0	2	10	104	1	2	1	0	140	0	2	2	1	0	0	0	2	533	1	5	6	2	2	31	0	4	1	1	1	9	1	3	4	5	3
ntLink_8:2450009-2450484	Cluster_102	N	158	0	18	578	85	343	51	11	0	5	244	547	74	51	160	238	398	1172	98	23	23	47	1	0	0	193	654	21	38	335	49	36	67	290	45	2428	201	1308	58	1785	25	138	74	14
ntLink_8:2481321-2481816	Cluster_103	N	22	0	108	170	72	176	63	89	0	0	56	190	3	13	79	83	16	184	255	6	140	10	0	0	0	9	29	15	90	92	242	14	155	118	5	279	33	316	90	340	125	135	10	148
