1A10_ACR-145_TP4	1A12_ACR-237_TP3	1A1_ACR-173_TP1	1A2_ACR-244_TP4	1A8_ACR-186_TP2	1A9_ACR-244_TP2	1B10_ACR-150_TP4	1B1_ACR-225_TP3	1B2_ACR-173_TP3	1B5_ACR-229_TP1	1B9_ACR-265_TP4	1C10_ACR-173_TP4	1C4_ACR-139_TP4	1D10_ACR-265_TP2	1D3_ACR-225_TP4	1D4_ACR-237_TP4	1D6_ACR-229_TP2	1D8_ACR-237_TP2	1D9_ACR-229_TP4	1E3_ACR-150_TP2	1E5_ACR-139_TP3	1E9_ACR-237_TP1	1F11_ACR-173_TP2	1F4_ACR-150_TP3	1F8_ACR-145_TP3	1G5_ACR-244_TP3	1H11_ACR-225_TP1	1H12_ACR-186_TP3	1H6_ACR-225_TP2	1H7_ACR-229_TP3	1H8_ACR-186_TP4	2B2_ACR-145_TP1	2B3_ACR-139_TP2	2C1_ACR-244_TP1	2C2_ACR-139_TP1	2D2_ACR-150_TP1	2E2_ACR-186_TP1	2F1_ACR-265_TP1	2G1_ACR-145_TP2
Cluster_3109	6	9	16	14	11	123	7	1	13	48	5	3	1	10	22	9	29	18	17	23	0	8	10	13	4	20	9	4	23	12	10	11	12	12	11	9	5	6	15
Cluster_3226	299	520	539	583	491	1372	393	905	343	71	220	115	77	664	1584	609	182	693	50	1050	58	301	378	897	264	738	365	116	1007	40	177	499	347	427	306	239	100	126	952
Cluster_3227	0	477	807	849	302	1075	948	762	521	1394	0	219	157	1	1492	1008	1154	491	654	6	130	504	615	1076	2	983	429	168	732	432	208	8	1125	776	596	391	60	0	1099
Cluster_3301	215	574	367	198	472	1266	177	127	208	1646	173	82	47	1541	623	694	1601	1069	375	2334	8	300	512	990	160	505	173	199	537	251	361	494	495	162	435	163	77	151	1436
Cluster_4026	3	1	5	1	0	7	3	0	3	9	0	2	2	7	4	12	15	8	4	10	0	4	3	3	2	11	0	2	2	5	1	2	10	8	6	7	1	1	3
Cluster_4034	564	968	1929	2014	2524	5905	753	742	881	7904	533	402	187	2459	4900	2053	4929	2602	2228	3294	63	1410	2158	2006	343	2107	1171	487	2295	1068	1163	1177	3538	1596	1484	460	391	397	3073
Cluster_4036	5	13	24	13	38	39	14	7	16	60	5	4	10	47	56	24	25	30	24	51	4	15	50	44	9	17	15	1	82	32	5	29	50	19	41	12	3	11	56
Cluster_4752	3318	6611	13842	11708	2692	5491	2325	1796	5072	15766	5974	4378	2742	6645	25984	15971	9824	2941	13094	10915	932	8470	5310	8614	2474	15438	5626	2432	6514	4668	4988	9889	8945	7897	13094	10263	3332	2308	3933
Cluster_4754	67	115	76	139	112	101	132	131	116	127	89	73	48	74	110	116	126	45	115	197	12	99	78	329	87	190	37	65	48	163	69	82	65	135	54	76	35	51	242
Cluster_5516	119	211	308	263	416	961	108	134	284	649	70	81	88	237	538	282	760	270	276	709	47	130	487	371	122	445	112	122	488	218	174	171	437	257	335	89	27	43	397
Cluster_5517	3105	7704	10168	6653	6241	9903	3932	3376	5750	14359	2685	1904	1511	9652	14753	9853	10826	6278	5922	12338	442	5052	5917	10910	2080	16659	4098	2942	5225	4270	5718	4599	9305	6144	6960	2530	947	1147	6826
Cluster_5603	229	773	1341	1393	686	1665	358	238	523	2001	347	229	374	1002	1950	1392	2132	746	1695	1711	82	758	983	1126	175	2958	558	224	1661	973	611	584	1197	1200	1847	555	278	161	777
Cluster_5685	0	0	1	1	0	3	0	0	0	10	0	0	0	1	1	2	2	0	1	3	2	2	0	0	0	4	0	0	4	0	0	3	0	0	0	1	0	0	1
Cluster_9366	216	477	328	275	154	907	205	112	208	1257	197	95	67	614	868	717	523	427	306	589	27	264	222	434	173	678	214	59	320	172	179	344	365	347	308	167	33	108	319
Cluster_9380	361	962	866	1207	1314	2665	551	779	721	3474	318	252	219	676	3668	1338	3056	1140	2155	1458	95	790	789	1204	267	1992	1141	388	1945	1059	964	508	1908	1133	1178	373	208	202	1590
Cluster_9420	343	751	955	627	681	1313	549	349	486	1473	298	212	121	789	1268	1027	2088	725	888	1324	100	477	678	1045	287	1223	295	243	1043	587	452	527	1041	455	756	252	157	171	864
Cluster_9512	1206	2354	1697	4601	2940	4733	1768	2837	1627	5377	1416	724	650	4668	9763	5795	4583	2742	5346	5352	459	2725	2854	4677	1035	2762	2664	1433	3866	2240	1383	2824	5745	1941	3620	1356	1464	1130	7085
Cluster_9532	46	72	150	70	50	153	37	28	95	238	57	50	11	104	203	123	126	50	108	259	0	53	103	118	34	186	63	46	52	62	84	57	130	99	94	60	27	15	107
Cluster_9706	68	270	231	189	364	182	163	82	154	649	61	60	36	88	605	468	270	229	228	187	15	280	160	399	54	308	190	168	93	147	355	108	334	253	196	159	82	31	467
Cluster_9786	352	1033	1074	1177	1602	2746	816	836	818	4438	336	359	170	1027	2271	1529	3587	1441	1650	1685	84	802	1000	1890	289	1234	650	642	1546	1102	907	728	1061	957	672	436	307	192	2228
Cluster_10452	44	25	37	50	74	154	63	29	39	93	32	9	14	63	136	46	79	43	82	137	1	47	30	48	14	89	31	9	120	24	33	31	71	32	52	34	10	12	57
Cluster_11565	1	3	2	0	0	1	0	0	1	7	0	2	1	3	5	5	0	2	0	2	0	4	0	3	0	0	0	2	0	1	0	1	0	1	1	0	1	9	4
Cluster_12081	0	0	17	6	7	8	0	0	10	4	0	3	0	0	1	1	5	3	2	0	0	1	21	1	0	3	0	2	1	0	1	0	1	3	0	0	2	0	1
Cluster_12083	0	1	20	4	7	12	0	0	7	4	0	3	2	0	1	1	4	2	4	0	0	1	25	3	0	3	0	3	0	1	2	0	1	3	0	0	1	0	1
Cluster_12087	0	1	17	5	9	10	1	0	5	3	0	3	1	0	2	1	5	2	2	0	0	1	23	1	0	3	1	3	1	0	1	0	2	4	0	0	2	0	1
Cluster_13327	12	11	56	23	82	69	1	7	21	105	13	9	4	23	18	23	126	20	33	65	1	6	68	10	9	132	9	17	16	31	54	38	51	28	36	4	14	8	15
Cluster_13647	0	0	0	1	5	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	3	0	1	2	0	0	1	2	0	1	0	0	0	0
Cluster_14146	286	521	961	532	377	1669	259	291	531	1595	229	188	209	720	1753	956	1403	688	611	989	63	505	558	893	195	952	361	122	1199	228	506	352	847	550	1328	425	74	78	611
Cluster_14165	126	915	552	657	145	1131	37	990	685	2056	155	132	94	363	2743	951	476	259	288	343	64	92	580	665	330	1261	704	404	1604	1050	673	414	503	1104	294	135	226	107	186
Cluster_14532	1262	6989	5622	4974	5116	26847	1358	1128	2005	7528	1358	829	1893	12518	7057	5288	22789	11388	2963	20120	408	2039	6760	7324	932	12319	1767	1231	18193	3943	2665	3337	6141	3576	9025	2295	500	673	8795
Cluster_14605	14	30	94	42	62	208	16	19	53	204	12	26	13	98	85	62	179	85	44	120	1	25	104	97	20	98	23	20	69	44	33	29	48	24	47	26	11	14	91
Cluster_14610	15	46	74	58	22	154	16	18	28	198	17	10	14	149	91	70	117	103	74	142	0	28	93	170	12	118	26	9	70	63	9	37	30	36	46	28	17	17	136
Cluster_14633	0	0	2	1	0	1	1	3	0	1	0	1	0	0	0	1	3	3	3	0	0	1	2	2	0	1	1	0	1	0	0	1	0	0	0	0	0	3	2
Cluster_14692	26	52	86	91	111	424	31	32	41	433	29	15	19	166	245	70	278	106	155	260	9	44	106	61	29	149	59	29	121	66	53	53	118	74	68	17	21	20	110
Cluster_15097	97	282	568	170	293	1338	115	231	103	857	57	56	58	2273	939	338	743	1199	232	1188	9	170	479	1004	34	1031	156	46	1072	325	92	166	276	95	341	138	57	76	1393
Cluster_16354	5943	33376	26405	12478	27975	135924	4917	6824	7126	31042	3312	3373	6183	45431	23614	15172	112301	48565	7570	127140	1150	5718	61561	40538	3799	54158	5750	4403	125932	20005	9554	18795	57639	9073	47323	8762	4033	2904	152297
Cluster_17173	2228	1887	3825	4687	3529	5289	2498	1964	2786	9965	1640	1135	718	4268	8078	4416	7588	2456	5743	7562	339	2904	3028	3299	2013	3038	3155	2451	5035	2566	3227	3698	4958	3558	3298	1953	1179	1533	4489
Cluster_17186	63	103	151	206	181	497	55	45	73	685	59	38	28	288	651	227	402	255	448	283	8	145	129	196	22	147	153	38	182	115	95	89	170	102	98	63	56	67	288
Cluster_17192	36976	100036	118262	108037	64153	74334	53912	48564	61754	359136	34578	25021	9257	61065	233755	232360	182935	82672	168774	165545	2962	92904	63118	131025	35183	117468	87930	37844	57779	82366	57267	86493	130173	80675	71400	77310	21304	27426	119998
Cluster_17245	101	299	409	279	507	1408	566	240	125	864	48	58	223	848	805	282	882	1284	603	939	48	235	515	893	76	273	210	70	522	388	138	278	714	249	538	204	113	86	1193
Cluster_17623	3	23	18	33	13	83	9	6	15	36	9	5	2	20	31	30	56	31	33	39	1	11	20	44	3	42	7	5	11	11	10	5	19	19	27	5	3	2	28
