"Name"	"ACR.145.TP4"	"ACR.237.TP3"	"ACR.173.TP1"	"ACR.244.TP4"	"ACR.186.TP2"	"ACR.244.TP2"	"ACR.150.TP4"	"ACR.225.TP3"	"ACR.173.TP3"	"ACR.229.TP1"	"ACR.265.TP4"	"ACR.173.TP4"	"ACR.139.TP4"	"ACR.265.TP2"	"ACR.225.TP4"	"ACR.237.TP4"	"ACR.229.TP2"	"ACR.237.TP2"	"ACR.229.TP4"	"ACR.265.TP3"	"ACR.150.TP2"	"ACR.139.TP3"	"ACR.237.TP1"	"ACR.173.TP2"	"ACR.150.TP3"	"ACR.145.TP3"	"ACR.244.TP3"	"ACR.225.TP1"	"ACR.186.TP3"	"ACR.225.TP2"	"ACR.229.TP3"	"ACR.186.TP4"	"ACR.145.TP1"	"ACR.139.TP2"	"ACR.244.TP1"	"ACR.139.TP1"	"ACR.150.TP1"	"ACR.186.TP1"	"ACR.265.TP1"	"ACR.145.TP2"
"Cluster_3109"	"    3"	"   751"	"     5"	"     1"	"    9"	" 74334"	"    6"	"   18"	" 7126"	"  1473"	"    0"	"  200"	"  51"	"    0"	"   136"	"   123"	"  6298"	"  103"	"  4571"	"    0"	"     2"	"   0"	"   15"	" 5310"	"  2006"	"    2"	"     0"	"   15"	" 4403"	"   121"	"  218"	"    8"	"    5"	"     1"	"  370"	"13094"	"  125"	"  101"	"   34"	"119998"
"Cluster_3226"	"   44"	"  2419"	"    20"	"   263"	" 1602"	"  1075"	"   37"	"  291"	"  116"	"   433"	"  155"	"    3"	" 209"	" 9652"	"   538"	"     5"	"  2088"	"   20"	"  5346"	"   54"	"  2927"	"   0"	"    8"	"  558"	"   454"	" 3799"	"   445"	"  210"	" 1231"	"     1"	"   66"	" 1163"	"   37"	"     0"	"    0"	"   52"	"    1"	"   27"	"    6"	"  1099"
"Cluster_3227"	" 5943"	"  2419"	"  2334"	"  6653"	" 1238"	"  1075"	"    1"	"  742"	"  547"	"  5523"	"  220"	"    5"	"   0"	" 6645"	"  1950"	"  1392"	"     2"	"  229"	"    74"	" 1261"	"   177"	" 932"	"   19"	"    2"	"   329"	"   22"	"    77"	"  610"	"   33"	"     1"	"    0"	"   42"	"    3"	"  9305"	"    3"	" 1784"	"    7"	"   11"	"  171"	"  2228"
"Cluster_3301"	"  564"	"  1887"	"  1826"	"     1"	"   38"	"  5898"	"    1"	" 1796"	"   95"	"  5377"	" 5974"	"    3"	"  13"	"   20"	"     4"	"     1"	" 22789"	"48565"	"  7570"	"16937"	"    10"	"  27"	" 5718"	"  106"	"  3174"	"   23"	"   658"	"  610"	"   20"	"   121"	"  217"	" 1163"	"  171"	"  3538"	"    8"	"  380"	"   26"	"  226"	"   11"	"  1193"
"Cluster_4026"	"  168"	"     1"	"     2"	"    14"	"  293"	"     0"	"  566"	"48564"	"  531"	"   204"	"    5"	"    3"	"   0"	"   88"	"    56"	"     0"	"     4"	"   57"	"   276"	"  265"	"  1711"	"  47"	"  170"	"   93"	"    48"	"    0"	"    17"	"  190"	" 1231"	"   120"	"    1"	"   95"	"  344"	"  8945"	"    3"	"   47"	"    0"	"   21"	"    0"	"    62"
"Cluster_4034"	"  325"	"     0"	"   203"	"108037"	" 8001"	"    10"	"  393"	"  291"	"  137"	" 14359"	"   13"	"  252"	" 170"	"  618"	"     4"	"     1"	"182935"	"   20"	"168774"	"    0"	"  7562"	"   1"	"   99"	"  515"	"     3"	"  289"	"     0"	"  214"	"  243"	"  1546"	"    1"	"   33"	"  414"	"   847"	"   19"	"    7"	"  127"	"    0"	" 1130"	"   288"
"Cluster_4036"	"    0"	"    46"	"118262"	"   263"	"    7"	"  1669"	" 1768"	"   82"	" 1577"	" 15766"	"    0"	" 4378"	"   1"	"  720"	"  2897"	"    62"	"    47"	"    2"	"  1695"	"    1"	"  1324"	"   0"	"   99"	" 5310"	"   757"	"    9"	"   118"	"   18"	"    9"	"   537"	"   31"	" 1163"	"    1"	"     2"	" 3558"	"   52"	"   89"	"   21"	"   78"	"  3073"
"Cluster_4752"	"  168"	"   477"	"   367"	"     4"	"    9"	" 26847"	"    1"	"    0"	"61754"	"  1595"	"   12"	"   60"	"   0"	"  848"	"  1492"	"    23"	"   402"	"82672"	"    50"	"    1"	"    65"	"  45"	"  790"	"  106"	"    13"	"  101"	"    20"	"  295"	"  116"	"    70"	"  163"	"  452"	"  494"	" 57639"	"  249"	"  335"	" 2295"	"   82"	"    0"	"    27"
"Cluster_4754"	" 3105"	"   520"	"   150"	"   532"	"  407"	"   639"	"   14"	" 1964"	" 5072"	"  5377"	"  114"	"    4"	"  51"	" 2737"	"    10"	"   337"	"  9824"	"   20"	"    24"	"    0"	" 12338"	"   9"	" 8470"	"   88"	"   990"	"  173"	"   738"	"  173"	"    3"	"  2295"	"    0"	"    5"	"  617"	"   118"	" 3558"	"  450"	"  127"	"   21"	"    0"	"  4379"
"Cluster_5516"	"   67"	"    52"	"  3825"	"    13"	" 1602"	"   340"	" 3932"	"   82"	"   41"	"   685"	"  155"	"  115"	"  11"	" 4268"	"  7057"	"  1027"	"  3587"	"  688"	"  1650"	"    0"	"  1070"	"  16"	"   28"	"  983"	"  3174"	"    0"	"  1261"	"  190"	"    4"	"    20"	"82366"	"  177"	"   37"	"  3801"	"80675"	"   50"	"    4"	"  307"	"  171"	"   324"
"Cluster_5517"	"   16"	"   282"	"  3825"	"     1"	" 6241"	"  4733"	"53912"	"   29"	"   21"	" 14359"	"    5"	"  136"	" 718"	"    7"	"     5"	"    46"	" 22789"	"    8"	"    82"	"  325"	"    39"	"  64"	"    1"	" 2158"	"  3537"	"  264"	" 16659"	"    9"	" 2451"	"     1"	"    0"	"  421"	"   29"	"    51"	" 9073"	" 1784"	"   89"	"  500"	"   43"	"     1"
"Cluster_5603"	"  101"	"   179"	"   150"	"     0"	" 6241"	"   246"	"   35"	"    0"	"  388"	"   649"	"   57"	" 4378"	"  28"	"   98"	"   136"	"   116"	"  2088"	"    3"	"  2188"	" 3569"	"   343"	"1150"	"  300"	"  515"	"     0"	"    2"	"     4"	"    3"	"   29"	"  1546"	"  147"	"    0"	"    3"	"  3801"	"    3"	"  672"	"   17"	"    7"	"   78"	"     3"
"Cluster_5685"	"   36"	"    46"	" 13842"	"   198"	" 8001"	"     0"	"  201"	"    7"	"   39"	"   145"	"    0"	"  115"	"   0"	"  716"	"     0"	"   956"	"   179"	"   50"	" 13094"	"   27"	" 12338"	"   0"	" 1410"	"   50"	"   893"	"  173"	"  1031"	"    0"	"    3"	"    38"	" 4668"	"  174"	"  139"	"   204"	"    3"	" 2926"	"    0"	"  157"	"    6"	"     1"
"Cluster_9366"	"  299"	"   751"	"   328"	" 12478"	" 6241"	"  5289"	"   31"	"  238"	"  249"	"     1"	"    0"	"    0"	"  28"	"    7"	"  4900"	"   227"	"  1403"	"48565"	"   108"	"    9"	"   142"	" 151"	"   15"	"    3"	"   454"	" 1026"	"  1031"	"    1"	"    4"	"   182"	"    0"	"  964"	"  278"	"     1"	"  427"	"    0"	"  159"	"    7"	"   14"	"     1"
"Cluster_9380"	"  121"	"    11"	"  2334"	"   491"	" 2940"	"   182"	"  753"	"    3"	"   30"	"   145"	"  130"	"   73"	" 650"	"  618"	"     1"	"   978"	"   760"	"  725"	"   253"	"   21"	"  1685"	"  15"	"  264"	"   23"	"    61"	" 1035"	"    42"	"    0"	"    4"	"     0"	"  217"	"   28"	"  100"	"    71"	"   19"	"  596"	"  135"	"  226"	" 2904"	"    57"
"Cluster_9420"	"  216"	"   278"	"    17"	"   198"	"  224"	"     1"	"    0"	"   82"	"  541"	"   204"	"34578"	"   15"	" 650"	"  237"	"   110"	"   269"	"  8094"	" 4832"	"     0"	"   33"	"    51"	"  47"	"    4"	"  580"	"   399"	"    0"	"   952"	"  558"	"   38"	"  1945"	"  805"	"    1"	" 4599"	"  1908"	"  256"	"    0"	"   94"	"   82"	" 1130"	"   110"
"Cluster_9512"	"  103"	"     0"	"   807"	" 11708"	" 1602"	"    39"	"    0"	"    0"	"  116"	"    93"	"    0"	"   15"	"   0"	"  789"	"  9763"	"232360"	"  2132"	"    2"	"    74"	"    9"	"     0"	"   2"	"   92"	"   50"	"   990"	"    0"	"     1"	"    0"	"   65"	"  2125"	"    0"	"  915"	"   53"	"     2"	"  455"	"   94"	"    4"	"   10"	" 1533"	"  4489"
"Cluster_9532"	" 3105"	"     0"	" 10168"	"     5"	"  145"	"135924"	"  358"	"    0"	" 1577"	"  4438"	"   17"	"25021"	"  48"	"    3"	"    18"	"   609"	"   402"	"    2"	"     1"	"  325"	"     0"	"   9"	"   47"	"   21"	"     0"	"   14"	"     3"	" 1141"	" 2451"	"   732"	"  432"	"   33"	"    0"	"   130"	"  957"	" 3298"	"  555"	"  150"	"  236"	"   467"
"Cluster_9706"	" 3318"	"   521"	" 10168"	"   139"	"  112"	"  2665"	"    1"	"  112"	"  249"	"  7528"	"   70"	"   95"	"  13"	"  275"	"  3668"	"    41"	"    15"	" 4832"	"    74"	"    1"	"    39"	"  95"	"    6"	"  615"	"   371"	"    2"	"    95"	"87930"	"  388"	"     1"	"  388"	"  177"	"   89"	"    48"	"   57"	"  505"	"  344"	"    2"	"  171"	"  3073"
"Cluster_9786"	"  216"	"  7704"	"    37"	"  2014"	"  681"	" 26847"	"  566"	"    0"	"   36"	"   204"	"  148"	"  252"	" 219"	" 2459"	"   605"	"    30"	"     2"	"  491"	"  5922"	"  116"	"   197"	"  58"	"   28"	"63118"	"   757"	"   12"	"    98"	"  421"	"    0"	"    48"	"   63"	"  873"	" 1177"	"    68"	"   24"	"   46"	"    7"	"    0"	"  108"	"     1"
"Cluster_10452"	"  215"	"   915"	"118262"	" 11708"	"   38"	"     8"	"    9"	" 1796"	"  103"	"    36"	"  347"	"    5"	" 157"	"45431"	"233755"	"   609"	"     3"	" 2742"	"   654"	"  359"	"   177"	"   1"	"92904"	" 6760"	"   434"	"   34"	"   132"	" 5626"	"   38"	"    38"	" 3943"	" 3227"	"  344"	"   334"	"  788"	" 6960"	"  391"	"   74"	"    0"	"  3073"
"Cluster_11565"	" 1206"	"  2419"	"     0"	"   279"	"27975"	"  9903"	"  259"	"    0"	"    0"	"   857"	"    6"	"   56"	"  13"	"    0"	"   651"	"   694"	"     0"	"  270"	"    82"	"    0"	"   120"	"  48"	"    1"	" 3028"	"  1126"	"  110"	"     1"	"  156"	" 2942"	"    69"	" 1068"	"   95"	"  728"	"    50"	"   28"	"  341"	"    4"	" 1729"	"   51"	"     4"
"Cluster_12081"	" 1206"	" 33376"	"     0"	"   947"	"    7"	"   639"	"  551"	" 3376"	"   21"	"     7"	"    0"	"   50"	"  28"	"45431"	"   113"	"  2851"	"    79"	"  206"	"    50"	" 8999"	"   709"	" 151"	"  802"	" 2854"	"   893"	"   34"	"  2749"	"   37"	"    4"	"     1"	"   50"	" 4988"	"  414"	"     1"	"   12"	"  306"	"    9"	"   10"	"   78"	"    15"
"Cluster_12083"	"36976"	"  2048"	"   186"	"    65"	"   38"	"   639"	"  115"	"  721"	"   36"	"  2001"	" 1416"	"  132"	" 223"	"   88"	"   652"	"    70"	"    56"	" 1140"	"   888"	"    0"	"  2334"	"   9"	"   47"	"  479"	"  3537"	"   54"	"     3"	" 5626"	"    1"	"     2"	"    1"	"   54"	"    3"	"  4958"	"   52"	"   24"	"    0"	" 3332"	"  171"	"    56"
"Cluster_12087"	" 5943"	"   115"	"   409"	"    65"	"  407"	"     3"	"    9"	"  240"	"  685"	"  3544"	"  155"	"  188"	"  14"	"  614"	" 23614"	"   694"	"     5"	"    0"	"     4"	"  178"	"    23"	"   1"	"  130"	" 5310"	"     1"	" 2080"	"     0"	"    0"	"    0"	"   488"	"    6"	"  907"	"  584"	"  6141"	" 1596"	"  196"	"    0"	"  100"	"  202"	"   319"
"Cluster_13327"	"  299"	"   968"	"    18"	" 12478"	"  491"	"   182"	"53912"	" 3376"	"   30"	"  3474"	" 5974"	"  252"	"  14"	"  149"	"   939"	"   282"	"     5"	" 1069"	"   155"	"    0"	"  1326"	"   0"	"    0"	"  789"	"   329"	" 2080"	"  1234"	" 1059"	"  439"	"     0"	"  442"	"    9"	"  508"	"    65"	" 1104"	"    0"	"  204"	"    1"	"   15"	"    91"
"Cluster_13647"	"   44"	"   103"	"   231"	"  4687"	"  464"	"     3"	"   55"	" 2837"	"   53"	"     9"	"   61"	"   73"	"9257"	"  503"	" 23614"	"  9853"	"112301"	"  688"	"  7570"	" 2839"	"  2334"	"  82"	"   99"	"   93"	"     0"	"  173"	"  1261"	"  610"	" 2451"	"  1714"	"  251"	"   28"	"   53"	"  9305"	"    3"	"   54"	"   28"	"  100"	" 1147"	"    15"
"Cluster_14146"	"  216"	"    23"	"   203"	"     6"	"   74"	"   689"	"   16"	" 1085"	" 1627"	"    48"	"    7"	"  829"	" 223"	"  149"	"   605"	"     1"	"  1601"	"  645"	"  7570"	"  501"	"   989"	"  95"	"    1"	"   21"	"  1890"	"   34"	"     3"	"    0"	"    9"	"     0"	" 3943"	"  421"	"    1"	"   495"	"  788"	"   11"	"   63"	" 3332"	"  107"	"   952"
"Cluster_14165"	"36976"	"  7704"	"    37"	"   139"	"    7"	"   340"	"    1"	"   18"	"    0"	"    93"	"   57"	"  136"	"  10"	"    1"	"  1492"	"   227"	"    29"	"   31"	"     1"	"  325"	"   646"	"   2"	"    0"	"  510"	"   280"	"  343"	"   147"	"  429"	"    2"	"   347"	"   32"	"    1"	"  236"	"  1041"	" 1104"	"  450"	" 2295"	"   27"	"   78"	"    15"
"Cluster_14532"	"   26"	"  2048"	"    18"	"    58"	" 3529"	"   101"	"   16"	"  119"	" 5750"	"     9"	"    0"	" 1904"	"   0"	"  237"	"     1"	"     1"	"    56"	"  725"	"  5922"	" 8999"	"    10"	" 747"	"   44"	"  247"	"   196"	"   22"	"    89"	"    1"	"    3"	"    11"	"    6"	"    0"	"    1"	"    48"	" 3558"	" 1847"	"   63"	"  150"	"   34"	"119998"
"Cluster_14605"	" 3318"	"    13"	"   413"	"    77"	" 5116"	"    83"	"   14"	" 6824"	"  103"	"   649"	"    0"	"  359"	"   2"	"  503"	"  2271"	"  2851"	"   126"	"   85"	"   155"	"  116"	"  1685"	"   0"	"  790"	"  487"	"  1076"	"   53"	"  2107"	"   23"	"    2"	"   868"	"  217"	"    0"	"  584"	"  3801"	"   74"	"   41"	"  391"	"    0"	"    0"	"   397"
"Cluster_14610"	"   12"	"     1"	"  1435"	"   849"	" 8001"	"     0"	"  549"	" 1964"	"  343"	"  5320"	"    0"	"  229"	"   2"	"    7"	"  2743"	" 10196"	"   126"	"  645"	"   654"	"    0"	"  3294"	"   0"	"  264"	"  222"	"     1"	"   53"	"   445"	"   37"	"   65"	" 18193"	"  172"	"  208"	" 1177"	"     0"	"   57"	" 1328"	"    4"	"    0"	"  656"	"  1436"
"Cluster_14633"	"  168"	"    23"	"   539"	"     0"	"   50"	"  5905"	"   14"	"    6"	" 1627"	"   617"	"    5"	"  219"	"  94"	"  614"	"    66"	"   420"	"  7588"	"   18"	" 13094"	"    1"	"  1188"	"   2"	"  802"	"   10"	"   118"	"   14"	"   658"	"  650"	"   65"	"  5225"	" 4668"	"  506"	"  728"	"    65"	"  135"	" 3620"	" 2530"	"   11"	"    0"	"     1"
"Cluster_14692"	"   63"	"     0"	"    24"	"    30"	"  377"	"  5898"	"  753"	"   18"	"    0"	"    24"	"  229"	"   79"	"  11"	"    0"	"   805"	"    41"	"    29"	" 3532"	"    24"	"  283"	" 20120"	"  15"	"  130"	"   30"	"   329"	"   22"	"   445"	"  190"	"  199"	"  1072"	"  805"	"    8"	"  290"	"   495"	"  253"	"   98"	"  204"	"   33"	"    1"	"   777"
"Cluster_15097"	"    0"	"  7704"	"   866"	"108037"	" 1238"	"    10"	"   86"	" 2837"	" 1577"	"  1257"	"   70"	"25021"	"9257"	"    0"	" 23614"	"    70"	"  1043"	"    3"	"    17"	"16937"	"   589"	"   0"	"  802"	"   96"	"    56"	"  287"	"   983"	"    7"	"  147"	"    82"	"    1"	"    1"	"   11"	" 57639"	"    0"	"47323"	"  135"	"   56"	"   67"	"  1099"
"Cluster_16354"	"    0"	"   299"	"  1929"	"     6"	"  154"	"    10"	"   63"	"  247"	"   42"	"     1"	"  223"	"    7"	"  10"	" 1002"	"  2271"	"     1"	"  8094"	"   45"	"   888"	"  501"	"   120"	"  82"	"   40"	" 2854"	"     1"	"   12"	"  2762"	" 5626"	" 2451"	"   182"	" 1059"	"  873"	"   82"	"   365"	"  788"	"  450"	" 1356"	"   11"	"  107"	"    15"
"Cluster_17173"	"   14"	" 33376"	"   895"	"  1393"	"  224"	"    10"	"   14"	"  349"	"   73"	"  2001"	" 2685"	"   58"	" 718"	"    1"	"    31"	"   116"	"   402"	"  229"	"   611"	"    1"	"   142"	"   0"	" 8470"	"  247"	"    12"	"  110"	"  1992"	"   26"	"   46"	"  1199"	"   66"	"   84"	"  171"	"    19"	" 3576"	"  335"	"   17"	" 3332"	"    9"	"   319"
"Cluster_17186"	"  286"	"  7704"	"     2"	"  1393"	" 3529"	"   182"	"    1"	"  836"	"  116"	" 15766"	" 1640"	"   10"	"1511"	"12518"	"  1040"	"    24"	"     5"	" 2602"	"    17"	"   19"	"   989"	"   0"	" 2725"	"61561"	"   371"	"  289"	" 54158"	"  190"	"   59"	"    47"	"   11"	"  964"	"  236"	"     0"	"  788"	"    1"	"   17"	"   33"	"   67"	"   866"
"Cluster_17192"	"   44"	"    72"	"   552"	"   279"	"    0"	"  1131"	"   37"	" 3376"	"  541"	"    10"	"   70"	"   73"	"  58"	" 1027"	"  7057"	"     1"	"   117"	"  645"	"    50"	"  102"	"   646"	"  63"	"  130"	"  160"	"   399"	"    0"	"    42"	"    0"	"  243"	"     0"	"  432"	"  179"	"   82"	"     1"	"  427"	" 1178"	"   94"	"  208"	"    6"	"   136"
"Cluster_17245"	" 1071"	"     1"	"   409"	"   198"	"  224"	"     1"	"   31"	"  134"	"    0"	"   649"	"   48"	"  885"	" 187"	"   74"	"     0"	"   717"	"  3587"	" 1140"	"    50"	"   75"	"127140"	"   0"	"  504"	"   20"	"   454"	"  932"	"   308"	"  805"	"  487"	"  6727"	"  388"	" 1625"	"   89"	"    71"	"   57"	" 1328"	"    0"	"   57"	" 2904"	"  1032"
"Cluster_17623"	"36976"	" 33376"	"   807"	"   170"	"  377"	"   208"	"    3"	" 1128"	"  208"	"     7"	"    0"	"   60"	"  14"	" 1027"	"  8078"	"     1"	"   476"	"  345"	"   288"	"  116"	"    23"	"  18"	"   25"	" 1000"	"  2006"	"   23"	"   132"	"    9"	"  487"	"  1604"	"   66"	"    5"	"  728"	"    50"	"  550"	"  596"	"  460"	"  150"	"  192"	"   467"
