"ortho_id","module","MM","GS","MM_p","GS_p","accession","id","protein_name","label"
"OG_06390","brown",0.597626917151794,0.132023245364668,1.13179447152606e-12,0.155917539755567,"Q9Z0V2","KCND2_MOUSE","A-type voltage-gated potassium channel KCND2 (Potassium voltage-gated channel subfamily D member 2) (Voltage-gated potassium channel subunit Kv4.2)","KCND2_MOUSE"
"OG_06405","brown",0.61128781942012,0.228313191505735,2.48003383502089e-13,0.0132914652995606,NA,NA,NA,"OG_06405"
"OG_06430","brown",0.607678854703403,0.251278272160735,3.72995571937173e-13,0.00627984732695015,"P62833","RAP1A_BOVIN","Ras-related protein Rap-1A (EC 3.6.5.2) (GTP-binding protein smg p21A)","RAP1A_BOVIN"
"OG_06493","brown",0.630664340210145,0.310035502435887,2.5297672889141e-14,0.000669520578239474,NA,NA,NA,"OG_06493"
"OG_06723","brown",0.698822963007341,0.237578377982977,1.94198815937487e-18,0.00990144890880248,"O82018",NA,NA,"OG_06723"
"OG_06831","brown",0.721713148032447,0.110115744088821,4.31525740808988e-20,0.237247898431694,NA,NA,NA,"OG_06831"
"OG_07062","brown",0.642945023156043,0.00941420867439976,5.46947719315553e-15,0.919757535537028,"Q6P5E8","DGKQ_MOUSE","Diacylglycerol kinase theta (DAG kinase theta) (EC 2.7.1.107) (EC 2.7.1.93) (Diglyceride kinase theta) (DGK-theta)","DGKQ_MOUSE"
"OG_07114","brown",0.594653969245475,0.13186622033174,1.56009746936664e-12,0.156414550404854,"Q54MZ4",NA,NA,"OG_07114"
"OG_07332","brown",0.654202528409853,0.283187002174002,1.2624345026572e-15,0.0019758540144118,NA,NA,NA,"OG_07332"
"OG_07429","brown",0.67472599303868,0.0606389729714209,7.3839485975837e-17,0.516036859434556,"E7EY42","PTSS2_DANRE","Phosphatidylserine synthase 2 (PSS-2) (PtdSer synthase 2) (EC 2.7.8.29) (Serine-exchange enzyme II)","PTSS2_DANRE"
"OG_07483","brown",0.652461177112747,0.159488077639373,1.59022301300856e-15,0.0858663565584723,"P46023",NA,NA,"OG_07483"
"OG_07512","brown",0.734441064816561,0.173697683169521,4.3903795133799e-21,0.0610795897543948,"O08873","MADD_RAT","MAP kinase-activating death domain protein (Rab3 GDP/GTP exchange factor) (RabGEF) (Rab3 GDP/GTP exchange protein) (RabGEP)","MADD_RAT"
"OG_07622","brown",0.667450155861299,0.0756281088493364,2.07264607351251e-16,0.41769792513251,"Q6IV56",NA,NA,"OG_07622"
"OG_07699","brown",0.713042728300822,0.266729822344451,1.9062279391655e-19,0.00364906131719209,NA,NA,NA,"OG_07699"
"OG_07753","brown",0.645168657655461,0.182124379330713,4.11410976027051e-15,0.0493801508934678,NA,NA,NA,"OG_07753"
"OG_07952","brown",0.747810500946922,0.0083558732751657,3.44115130652765e-22,0.928753106889738,"P08487",NA,NA,"OG_07952"
"OG_07998","brown",0.651937695011385,0.224583855174596,1.70399001467424e-15,0.0149187143129493,NA,NA,NA,"OG_07998"
"OG_08074","brown",0.589443671508587,0.137253572940944,2.71654672697182e-12,0.140030372895004,"Q9CWL8","CTBL1_MOUSE","Beta-catenin-like protein 1 (Nuclear-associated protein) (NAP)","CTBL1_MOUSE"
"OG_08180","brown",0.795177893402477,0.211025489139064,9.62494616347887e-27,0.0223794475647254,"Q6YI46",NA,NA,"OG_08180"
"OG_08304","brown",0.621590922823627,0.0918064386106579,7.51355659861154e-14,0.324890634608881,"Q8BYI6","PCAT2_MOUSE","Lysophosphatidylcholine acyltransferase 2 (LPC acyltransferase 2) (LPCAT-2) (LysoPC acyltransferase 2) (EC 2.3.1.23) (1-acylglycerol-3-phosphate O-acyltransferase 11) (1-AGP acyltransferase 11) (1-AGPAT 11) (EC 2.3.1.51) (1-acylglycerophosphocholine O-acyltransferase) (1-alkenylglycerophosphocholine O-acyltransferase) (EC 2.3.1.25) (1-alkylglycerophosphocholine O-acetyltransferase) (EC 2.3.1.67) (Acetyl-CoA:lyso-platelet-activating factor acetyltransferase) (Acetyl-CoA:lyso-PAF acetyltransferase) (Lyso-PAF acetyltransferase) (LysoPAFAT) (Acyltransferase-like 1)","PCAT2_MOUSE"
"OG_08350","brown",0.646147170222824,0.137292305011282,3.62686824688694e-15,0.139917492189812,"Q3SYV5","TSN33_BOVIN","Tetraspanin-33 (Tspan-33)","TSN33_BOVIN"
"OG_08485","brown",0.786244181650253,0.150189573824792,8.50560555521209e-26,0.106032001611162,"A4IFE4",NA,NA,"OG_08485"
"OG_08689","brown",0.658587286130332,0.0354406075217058,7.01212731808059e-16,0.704426401124091,"F4KFT7","TENAC_ARATH","Bifunctional TH2 protein, mitochondrial (THIAMINE REQUIRING 2) [Includes: Thiamine phosphate phosphatase (EC 3.1.3.100); Aminopyrimidine aminohydrolase (EC 3.5.99.2)]","TENAC_ARATH"
"OG_08824","brown",0.601860056498438,0.177355701917948,7.12541166647457e-13,0.0557489904535144,"Q8BHY8","SNX14_MOUSE","Sorting nexin-14","SNX14_MOUSE"
"OG_08843","brown",0.635796615612056,0.109414057782847,1.3450283507946e-14,0.240268233896931,"Q94AM1",NA,NA,"OG_08843"
"OG_08906","brown",0.62691180288747,0.22887351982415,3.98542768020285e-14,0.0130608634502351,"Q553D3",NA,NA,"OG_08906"
"OG_09135","brown",0.675043539733695,0.253745200996616,7.05400137425504e-17,0.0057706243781598,NA,NA,NA,"OG_09135"
"OG_09169","brown",0.653701428623849,0.290377259480384,1.34934878540664e-15,0.00149367540924711,NA,NA,NA,"OG_09169"
"OG_09181","brown",0.626244096408144,0.156549659622359,4.31836700117747e-14,0.0918782120293086,"Q9H816","DCR1B_HUMAN","5' exonuclease Apollo (EC 3.1.-.-) (Beta-lactamase DCLRE1B) (EC 3.5.2.6) (DNA cross-link repair 1B protein) (SNM1 homolog B) (SNMIB) (hSNM1B)","DCR1B_HUMAN"
"OG_09304","brown",0.749000130593967,0.320424593879785,2.72237849817375e-22,0.000428227208857903,"Q6NZ18",NA,NA,"OG_09304"
"OG_09485","brown",0.665072777416014,0.0667073072715058,2.88586797883748e-16,0.474856651123178,NA,NA,NA,"OG_09485"
"OG_09554","brown",0.676088281970752,0.271499513019432,6.06657606350574e-17,0.00306628666472164,NA,NA,NA,"OG_09554"
"OG_09711","brown",0.64683382502929,0.0435237209099978,3.31892419271809e-15,0.641253210959868,"Q498F0",NA,NA,"OG_09711"
"OG_10177","brown",0.659055114646371,0.193346944872213,6.58193833708146e-16,0.0367379596849861,NA,NA,NA,"OG_10177"
