go_term,total_occurrences,unique_group_ids,n_components,redundant_occurrences,redundancy_pct,avg_times_per_group
defense response to Gram-positive bacterium,29,2,23,27,93.10344827586206,14.5
homophilic cell adhesion via plasma membrane adhesion molecules,29,3,27,26,89.65517241379311,9.666666666666666
inner cell mass cell proliferation,29,2,23,27,93.10344827586206,14.5
positive regulation of epithelial cell differentiation,29,2,23,27,93.10344827586206,14.5
radial glial cell differentiation,29,1,29,28,96.55172413793103,29
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,28,3,27,25,89.28571428571429,9.333333333333334
mRNA transport,28,3,23,25,89.28571428571429,9.333333333333334
protein polyglutamylation,28,2,27,26,92.85714285714286,14
determination of heart left/right asymmetry,27,1,27,26,96.29629629629629,27
modulation of chemical synaptic transmission,27,2,26,25,92.5925925925926,13.5
notochord morphogenesis,27,1,27,26,96.29629629629629,27
positive regulation of cell motility,27,1,27,26,96.29629629629629,27
positive regulation of feeding behavior,27,1,27,26,96.29629629629629,27
positive regulation of substrate adhesion-dependent cell spreading,27,3,19,24,88.88888888888889,9
regulation of heart looping,27,1,27,26,96.29629629629629,27
regulation of postsynaptic neurotransmitter receptor internalization,27,1,27,26,96.29629629629629,27
regulation of somitogenesis,27,1,27,26,96.29629629629629,27
regulation protein catabolic process at postsynapse,27,1,27,26,96.29629629629629,27
retina homeostasis,27,1,27,26,96.29629629629629,27
specification of axis polarity,27,1,27,26,96.29629629629629,27
G protein-coupled glutamate receptor signaling pathway,26,1,26,25,96.15384615384616,26
MAPK cascade,26,3,25,23,88.46153846153845,8.666666666666666
cellular response to stress,26,1,26,25,96.15384615384616,26
collagen fibril organization,26,4,21,22,84.61538461538461,6.5
inflammatory response,26,4,24,22,84.61538461538461,6.5
postsynaptic modulation of chemical synaptic transmission,26,1,26,25,96.15384615384616,26
"regulation of synaptic transmission, glutamatergic",26,1,26,25,96.15384615384616,26
sensory perception of pain,26,1,26,25,96.15384615384616,26
positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,25,3,20,22,88,8.333333333333334
atrial cardiac muscle cell development,24,1,24,23,95.83333333333334,24
negative regulation of calcineurin-NFAT signaling cascade,24,1,24,23,95.83333333333334,24
osteoblast differentiation,24,1,24,23,95.83333333333334,24
positive regulation of ERK1 and ERK2 cascade,24,3,19,21,87.5,8
protein catabolic process,24,2,19,22,91.66666666666666,12
response to hormone,24,1,24,23,95.83333333333334,24
substrate adhesion-dependent cell spreading,24,3,21,21,87.5,8
ventricular cardiac muscle cell development,24,1,24,23,95.83333333333334,24
MyD88-dependent toll-like receptor signaling pathway,23,1,23,22,95.65217391304348,23
TRIF-dependent toll-like receptor signaling pathway,23,1,23,22,95.65217391304348,23
Wnt signaling pathway,23,3,22,20,86.95652173913044,7.666666666666667
activation of NF-kappaB-inducing kinase activity,23,1,23,22,95.65217391304348,23
cellular response to amyloid-beta,23,1,23,22,95.65217391304348,23
cellular response to diacyl bacterial lipopeptide,23,1,23,22,95.65217391304348,23
cellular response to estradiol stimulus,23,2,22,21,91.30434782608695,11.5
cellular response to heat,23,2,21,21,91.30434782608695,11.5
cellular response to oxidised low-density lipoprotein particle stimulus,23,1,23,22,95.65217391304348,23
detection of diacyl bacterial lipopeptide,23,1,23,22,95.65217391304348,23
immune response,23,1,23,22,95.65217391304348,23
microglial cell activation,23,1,23,22,95.65217391304348,23
negative regulation of epidermal growth factor receptor signaling pathway,23,1,23,22,95.65217391304348,23
negative regulation of interleukin-8 production,23,1,23,22,95.65217391304348,23
negative regulation of toll-like receptor 2 signaling pathway,23,1,23,22,95.65217391304348,23
nitric oxide metabolic process,23,1,23,22,95.65217391304348,23
positive regulation of JUN kinase activity,23,1,23,22,95.65217391304348,23
positive regulation of NLRP3 inflammasome complex assembly,23,1,23,22,95.65217391304348,23
positive regulation of canonical NF-kappaB signal transduction,23,1,23,22,95.65217391304348,23
positive regulation of cytokine production involved in inflammatory response,23,1,23,22,95.65217391304348,23
positive regulation of extrinsic apoptotic signaling pathway,23,1,23,22,95.65217391304348,23
positive regulation of macrophage activation,23,1,23,22,95.65217391304348,23
positive regulation of nitric oxide biosynthetic process,23,1,23,22,95.65217391304348,23
positive regulation of protein localization to nucleus,23,2,21,21,91.30434782608695,11.5
protein localization to nucleus,23,1,23,22,95.65217391304348,23
regulation of cell shape,23,3,21,20,86.95652173913044,7.666666666666667
response to nutrient,23,2,22,21,91.30434782608695,11.5
tight junction organization,23,2,20,21,91.30434782608695,11.5
toll-like receptor TLR6:TLR2 signaling pathway,23,1,23,22,95.65217391304348,23
axon guidance,22,4,19,18,81.81818181818183,5.5
cell population proliferation,22,2,22,20,90.9090909090909,11
immune system process,22,3,19,19,86.36363636363636,7.333333333333333
lymphocyte migration into lymphoid organs,22,2,16,20,90.9090909090909,11
regulation of cell migration,22,3,19,19,86.36363636363636,7.333333333333333
cellular response to L-glutamine,21,1,21,20,95.23809523809523,21
cellular response to angiotensin,21,1,21,20,95.23809523809523,21
cellular response to cadmium ion,21,1,21,20,95.23809523809523,21
cellular response to copper ion,21,1,21,20,95.23809523809523,21
cellular response to diamide,21,1,21,20,95.23809523809523,21
cellular response to gamma radiation,21,1,21,20,95.23809523809523,21
cellular response to hydrogen peroxide,21,1,21,20,95.23809523809523,21
cellular response to lipopolysaccharide,21,1,21,20,95.23809523809523,21
cellular response to nitroglycerin,21,1,21,20,95.23809523809523,21
cellular response to potassium ion,21,1,21,20,95.23809523809523,21
cellular response to sodium arsenite,21,1,21,20,95.23809523809523,21
cellular response to unfolded protein,21,1,21,20,95.23809523809523,21
cellular response to xenobiotic stimulus,21,1,21,20,95.23809523809523,21
defense response,21,1,21,20,95.23809523809523,21
embryonic placenta development,21,1,21,20,95.23809523809523,21
embryonic process involved in female pregnancy,21,1,21,20,95.23809523809523,21
female meiotic nuclear division,21,1,21,20,95.23809523809523,21
heart development,21,5,17,16,76.19047619047619,4.2
heart looping,21,3,16,18,85.71428571428571,7
negative regulation of double-strand break repair via nonhomologous end joining,21,1,21,20,95.23809523809523,21
negative regulation of epithelial cell proliferation,21,1,21,20,95.23809523809523,21
negative regulation of inclusion body assembly,21,1,21,20,95.23809523809523,21
negative regulation of protein-containing complex assembly,21,1,21,20,95.23809523809523,21
positive regulation of DNA-templated transcription,21,6,15,15,71.42857142857143,3.5
positive regulation of apoptotic DNA fragmentation,21,1,21,20,95.23809523809523,21
positive regulation of apoptotic signaling pathway,21,1,21,20,95.23809523809523,21
positive regulation of cold-induced thermogenesis,21,1,21,20,95.23809523809523,21
positive regulation of inclusion body assembly,21,1,21,20,95.23809523809523,21
positive regulation of macrophage differentiation,21,1,21,20,95.23809523809523,21
positive regulation of mesenchymal stem cell proliferation,21,2,21,19,90.47619047619048,10.5
positive regulation of mitotic cell cycle,21,1,21,20,95.23809523809523,21
positive regulation of multicellular organism growth,21,1,21,20,95.23809523809523,21
positive regulation of stress granule assembly,21,1,21,20,95.23809523809523,21
regulation of cellular response to heat,21,1,21,20,95.23809523809523,21
response to activity,21,1,21,20,95.23809523809523,21
response to heat,21,1,21,20,95.23809523809523,21
response to hypobaric hypoxia,21,1,21,20,95.23809523809523,21
response to peptide,21,1,21,20,95.23809523809523,21
response to psychosocial stress,21,1,21,20,95.23809523809523,21
response to testosterone,21,1,21,20,95.23809523809523,21
focal adhesion assembly,20,2,19,18,90,10
integrin-mediated signaling pathway,20,2,19,18,90,10
positive regulation of epithelial to mesenchymal transition,20,2,19,18,90,10
regulation of translation,20,2,17,18,90,10
sensory perception of sound,20,4,15,16,80,5
transforming growth factor beta receptor signaling pathway,20,2,19,18,90,10
adherens junction maintenance,19,1,19,18,94.73684210526315,19
cell adhesion mediated by integrin,19,2,17,17,89.47368421052632,9.5
cell fate commitment,19,2,15,17,89.47368421052632,9.5
cell-matrix adhesion,19,1,19,18,94.73684210526315,19
fibroblast growth factor receptor signaling pathway,19,2,15,17,89.47368421052632,9.5
integrin activation,19,1,19,18,94.73684210526315,19
limb development,19,1,19,18,94.73684210526315,19
mesoderm development,19,2,17,17,89.47368421052632,9.5
negative regulation of fat cell differentiation,19,1,19,18,94.73684210526315,19
negative regulation of vascular permeability,19,1,19,18,94.73684210526315,19
positive regulation of Rho protein signal transduction,19,1,19,18,94.73684210526315,19
positive regulation of focal adhesion assembly,19,1,19,18,94.73684210526315,19
positive regulation of integrin activation,19,1,19,18,94.73684210526315,19
positive regulation of osteoblast differentiation,19,1,19,18,94.73684210526315,19
positive regulation of stress fiber assembly,19,1,19,18,94.73684210526315,19
"positive regulation of wound healing, spreading of epidermal cells",19,1,19,18,94.73684210526315,19
protein localization to cell junction,19,1,19,18,94.73684210526315,19
protein localization to membrane,19,1,19,18,94.73684210526315,19
chloride transport,18,1,18,17,94.44444444444444,18
ossification,18,4,14,14,77.77777777777779,4.5
regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion,18,1,18,17,94.44444444444444,18
regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,18,1,18,17,94.44444444444444,18
response to virus,18,2,18,16,88.88888888888889,9
actin nucleation,17,2,17,15,88.23529411764706,8.5
antibacterial innate immune response,17,2,16,15,88.23529411764706,8.5
canonical Wnt signaling pathway,17,2,17,15,88.23529411764706,8.5
defense response to virus,17,2,16,15,88.23529411764706,8.5
epithelial tube branching involved in lung morphogenesis,17,2,16,15,88.23529411764706,8.5
CDP biosynthetic process,16,1,16,15,93.75,16
RIG-I signaling pathway,16,1,16,15,93.75,16
UDP biosynthetic process,16,1,16,15,93.75,16
antiviral innate immune response,16,1,16,15,93.75,16
cellular response to exogenous dsRNA,16,1,16,15,93.75,16
cranial skeletal system development,16,2,15,14,87.5,8
cytoplasmic pattern recognition receptor signaling pathway,16,1,16,15,93.75,16
detection of virus,16,1,16,15,93.75,16
determination of left/right symmetry,16,2,14,14,87.5,8
glomerular basement membrane development,16,2,16,14,87.5,8
microtubule bundle formation,16,1,16,15,93.75,16
multicellular organism growth,16,2,16,14,87.5,8
negative regulation of DNA-templated transcription,16,5,13,11,68.75,3.2
positive regulation of defense response to virus by host,16,1,16,15,93.75,16
positive regulation of granulocyte macrophage colony-stimulating factor production,16,1,16,15,93.75,16
positive regulation of insulin secretion,16,2,14,14,87.5,8
positive regulation of interferon-alpha production,16,1,16,15,93.75,16
positive regulation of interferon-beta production,16,1,16,15,93.75,16
positive regulation of interleukin-8 production,16,1,16,15,93.75,16
positive regulation of myeloid dendritic cell cytokine production,16,1,16,15,93.75,16
positive regulation of response to cytokine stimulus,16,1,16,15,93.75,16
positive regulation of tumor necrosis factor production,16,1,16,15,93.75,16
protein modification process,16,1,16,15,93.75,16
regulation of type III interferon production,16,1,16,15,93.75,16
response to exogenous dsRNA,16,1,16,15,93.75,16
BMP signaling pathway,15,1,15,14,93.33333333333333,15
antigen processing and presentation,15,1,15,14,93.33333333333333,15
blood vessel remodeling,15,1,15,14,93.33333333333333,15
bone resorption,15,1,15,14,93.33333333333333,15
cartilage development involved in endochondral bone morphogenesis,15,1,15,14,93.33333333333333,15
cellular response to virus,15,1,15,14,93.33333333333333,15
chondrocyte hypertrophy,15,1,15,14,93.33333333333333,15
chondrocyte proliferation,15,1,15,14,93.33333333333333,15
dendrite self-avoidance,15,1,15,14,93.33333333333333,15
dendritic cell migration,15,1,15,14,93.33333333333333,15
developmental growth involved in morphogenesis,15,1,15,14,93.33333333333333,15
embryonic skeletal joint development,15,1,15,14,93.33333333333333,15
endochondral bone growth,15,1,15,14,93.33333333333333,15
endochondral ossification,15,1,15,14,93.33333333333333,15
endoderm development,15,1,15,14,93.33333333333333,15
fear response,15,1,15,14,93.33333333333333,15
fluid transport,15,1,15,14,93.33333333333333,15
gastrulation,15,1,15,14,93.33333333333333,15
glandular epithelial cell differentiation,15,1,15,14,93.33333333333333,15
glycosaminoglycan biosynthetic process,15,1,15,14,93.33333333333333,15
hair follicle morphogenesis,15,1,15,14,93.33333333333333,15
heart contraction,15,1,15,14,93.33333333333333,15
heart field specification,15,1,15,14,93.33333333333333,15
hematopoietic stem cell differentiation,15,1,15,14,93.33333333333333,15
hematopoietic stem cell homeostasis,15,1,15,14,93.33333333333333,15
hematopoietic stem cell migration to bone marrow,15,1,15,14,93.33333333333333,15
heparan sulfate proteoglycan biosynthetic process,15,1,15,14,93.33333333333333,15
heparin proteoglycan biosynthetic process,15,1,15,14,93.33333333333333,15
hypersensitivity,15,1,15,14,93.33333333333333,15
leukocyte tethering or rolling,15,1,15,14,93.33333333333333,15
limb joint morphogenesis,15,1,15,14,93.33333333333333,15
lymphocyte adhesion to endothelial cell of high endothelial venule,15,1,15,14,93.33333333333333,15
mesenchymal cell differentiation involved in bone development,15,1,15,14,93.33333333333333,15
motor behavior,15,1,15,14,93.33333333333333,15
multicellular organismal-level water homeostasis,15,1,15,14,93.33333333333333,15
negative regulation of neuron apoptotic process,15,2,15,13,86.66666666666667,7.5
neural crest cell differentiation,15,1,15,14,93.33333333333333,15
olfactory bulb development,15,1,15,14,93.33333333333333,15
optic nerve development,15,1,15,14,93.33333333333333,15
ossification involved in bone maturation,15,1,15,14,93.33333333333333,15
perichondral bone morphogenesis,15,1,15,14,93.33333333333333,15
podocyte differentiation,15,1,15,14,93.33333333333333,15
polysaccharide biosynthetic process,15,1,15,14,93.33333333333333,15
protein glycosylation,15,1,15,14,93.33333333333333,15
regulation of blood pressure,15,1,15,14,93.33333333333333,15
regulation of tumor necrosis factor-mediated signaling pathway,15,1,15,14,93.33333333333333,15
response to heparin,15,1,15,14,93.33333333333333,15
response to leukemia inhibitory factor,15,1,15,14,93.33333333333333,15
response to light intensity,15,1,15,14,93.33333333333333,15
sebaceous gland development,15,1,15,14,93.33333333333333,15
smoothened signaling pathway involved in lung development,15,1,15,14,93.33333333333333,15
social behavior,15,1,15,14,93.33333333333333,15
sodium ion homeostasis,15,1,15,14,93.33333333333333,15
stem cell division,15,1,15,14,93.33333333333333,15
stomach development,15,1,15,14,93.33333333333333,15
sulfation,15,1,15,14,93.33333333333333,15
sweat gland development,15,1,15,14,93.33333333333333,15
"synaptic transmission, glutamatergic",15,1,15,14,93.33333333333333,15
ubiquitin-dependent protein catabolic process,15,4,12,11,73.33333333333333,3.75
vacuole organization,15,1,15,14,93.33333333333333,15
vasodilation,15,1,15,14,93.33333333333333,15
vocalization behavior,15,1,15,14,93.33333333333333,15
wound healing,15,1,15,14,93.33333333333333,15
RNA splicing,14,3,11,11,78.57142857142857,4.666666666666667
hemopoiesis,14,3,13,11,78.57142857142857,4.666666666666667
inner ear development,14,1,14,13,92.85714285714286,14
intracellular triglyceride homeostasis,14,1,14,13,92.85714285714286,14
negative regulation of mitochondrial calcium ion concentration,14,1,14,13,92.85714285714286,14
negative regulation of mitochondrial membrane potential,14,1,14,13,92.85714285714286,14
positive regulation of cell population proliferation,14,1,14,13,92.85714285714286,14
post-embryonic development,14,2,13,12,85.71428571428571,7
regulation of D-glucose import,14,1,14,13,92.85714285714286,14
regulation of gene expression,14,2,14,12,85.71428571428571,7
response to cold,14,1,14,13,92.85714285714286,14
NADPH regeneration,13,2,12,11,84.61538461538461,6.5
apoptotic process,13,2,12,11,84.61538461538461,6.5
bradykinin catabolic process,13,1,13,12,92.3076923076923,13
cardiac muscle cell proliferation,13,2,12,11,84.61538461538461,6.5
intracellular iron ion homeostasis,13,2,13,11,84.61538461538461,6.5
negative regulation of programmed cell death,13,1,13,12,92.3076923076923,13
regulation of cardiac muscle cell proliferation,13,2,12,11,84.61538461538461,6.5
DNA double-strand break processing,12,1,12,11,91.66666666666666,12
chitin catabolic process,12,1,12,11,91.66666666666666,12
citrate metabolic process,12,1,12,11,91.66666666666666,12
double-strand break repair,12,1,12,11,91.66666666666666,12
double-strand break repair via homologous recombination,12,1,12,11,91.66666666666666,12
intestinal absorption,12,1,12,11,91.66666666666666,12
motile cilium assembly,12,2,12,10,83.33333333333334,6
nucleic acid metabolic process,12,1,12,11,91.66666666666666,12
polysaccharide catabolic process,12,1,12,11,91.66666666666666,12
positive regulation of chemokine production,12,1,12,11,91.66666666666666,12
positive regulation of receptor internalization,12,2,10,10,83.33333333333334,6
production of molecular mediator involved in inflammatory response,12,1,12,11,91.66666666666666,12
replication fork processing,12,1,12,11,91.66666666666666,12
response to iron(II) ion,12,1,12,11,91.66666666666666,12
translation,12,2,12,10,83.33333333333334,6
tricarboxylic acid cycle,12,1,12,11,91.66666666666666,12
auditory receptor cell stereocilium organization,11,1,11,10,90.9090909090909,11
circadian regulation of gene expression,11,2,11,9,81.81818181818183,5.5
epithelial cell differentiation,11,2,9,9,81.81818181818183,5.5
heart jogging,11,1,11,10,90.9090909090909,11
hematopoietic stem cell proliferation,11,2,11,9,81.81818181818183,5.5
liver development,11,4,9,7,63.63636363636363,2.75
negative regulation of translation,11,3,11,8,72.72727272727273,3.6666666666666665
nervous system development,11,4,10,7,63.63636363636363,2.75
outflow tract septum morphogenesis,11,3,10,8,72.72727272727273,3.6666666666666665
positive regulation of epithelial cell proliferation,11,2,9,9,81.81818181818183,5.5
regulation of angiogenesis,11,2,9,9,81.81818181818183,5.5
sprouting angiogenesis,11,2,9,9,81.81818181818183,5.5
atrial cardiac muscle tissue development,10,2,10,8,80,5
cell migration,10,3,10,7,70,3.3333333333333335
cellular response to glucose stimulus,10,1,10,9,90,10
cellular response to tumor necrosis factor,10,1,10,9,90,10
cilium movement involved in cell motility,10,3,9,7,70,3.3333333333333335
collagen catabolic process,10,2,10,8,80,5
endocytic recycling,10,2,9,8,80,5
extracellular matrix organization,10,4,8,6,60,2.5
gluconeogenesis,10,1,10,9,90,10
negative regulation of gene expression,10,2,10,8,80,5
oxaloacetate metabolic process,10,1,10,9,90,10
protein processing,10,2,10,8,80,5
pyruvate metabolic process,10,1,10,9,90,10
regulation of actin cytoskeleton organization,10,2,10,8,80,5
response to dexamethasone,10,1,10,9,90,10
vasculogenesis,10,2,10,8,80,5
Purkinje myocyte differentiation,9,1,9,8,88.88888888888889,9
adult heart development,9,1,9,8,88.88888888888889,9
apoptotic process involved in heart morphogenesis,9,1,9,8,88.88888888888889,9
atrial septum morphogenesis,9,1,9,8,88.88888888888889,9
atrioventricular node cell development,9,1,9,8,88.88888888888889,9
atrioventricular node cell fate commitment,9,1,9,8,88.88888888888889,9
blood circulation,9,1,9,8,88.88888888888889,9
bundle of His development,9,1,9,8,88.88888888888889,9
camera-type eye development,9,1,9,8,88.88888888888889,9
cardiac muscle contraction,9,1,9,8,88.88888888888889,9
cardiac ventricle formation,9,1,9,8,88.88888888888889,9
cartilage development,9,1,9,8,88.88888888888889,9
cell surface receptor protein tyrosine kinase signaling pathway,9,2,9,7,77.77777777777779,4.5
cellular response to nerve growth factor stimulus,9,1,9,8,88.88888888888889,9
embryonic heart tube left/right pattern formation,9,1,9,8,88.88888888888889,9
embryonic retina morphogenesis in camera-type eye,9,1,9,8,88.88888888888889,9
embryonic viscerocranium morphogenesis,9,1,9,8,88.88888888888889,9
epithelial cell apoptotic process,9,1,9,8,88.88888888888889,9
kidney development,9,5,9,4,44.44444444444444,1.8
learning or memory,9,2,9,7,77.77777777777779,4.5
lipid droplet formation,9,1,9,8,88.88888888888889,9
lipid ubiquitination,9,1,9,8,88.88888888888889,9
negative regulation of canonical Wnt signaling pathway,9,1,9,8,88.88888888888889,9
negative regulation of epithelial cell apoptotic process,9,1,9,8,88.88888888888889,9
negative regulation of myotube differentiation,9,1,9,8,88.88888888888889,9
negative regulation of non-canonical Wnt signaling pathway,9,1,9,8,88.88888888888889,9
pattern recognition receptor signaling pathway,9,1,9,8,88.88888888888889,9
pharyngeal system development,9,1,9,8,88.88888888888889,9
positive regulation of cardioblast differentiation,9,1,9,8,88.88888888888889,9
positive regulation of cartilage development,9,1,9,8,88.88888888888889,9
positive regulation of heart contraction,9,1,9,8,88.88888888888889,9
positive regulation of neuron differentiation,9,1,9,8,88.88888888888889,9
positive regulation of sodium ion transport,9,1,9,8,88.88888888888889,9
positive regulation of transcription initiation by RNA polymerase II,9,1,9,8,88.88888888888889,9
proepicardium development,9,1,9,8,88.88888888888889,9
programmed cell death,9,1,9,8,88.88888888888889,9
protein K63-linked ubiquitination,9,1,9,8,88.88888888888889,9
pulmonary myocardium development,9,1,9,8,88.88888888888889,9
pyroptotic inflammatory response,9,1,9,8,88.88888888888889,9
regulation of apoptotic process,9,1,9,8,88.88888888888889,9
regulation of cardiac conduction,9,1,9,8,88.88888888888889,9
regulation of cardiac muscle contraction,9,1,9,8,88.88888888888889,9
regulation of dendrite development,9,1,9,8,88.88888888888889,9
regulation of lipid metabolic process,9,1,9,8,88.88888888888889,9
response to BMP,9,1,9,8,88.88888888888889,9
retina layer formation,9,1,9,8,88.88888888888889,9
right ventricular cardiac muscle tissue morphogenesis,9,1,9,8,88.88888888888889,9
septum secundum development,9,1,9,8,88.88888888888889,9
spleen development,9,1,9,8,88.88888888888889,9
thyroid gland development,9,1,9,8,88.88888888888889,9
transcription by RNA polymerase II,9,1,9,8,88.88888888888889,9
ventricular cardiac myofibril assembly,9,1,9,8,88.88888888888889,9
ventricular septum morphogenesis,9,1,9,8,88.88888888888889,9
ventricular trabecula myocardium morphogenesis,9,1,9,8,88.88888888888889,9
xenophagy,9,1,9,8,88.88888888888889,9
Tie signaling pathway,8,1,8,7,87.5,8
cerebellum development,8,2,8,6,75,4
epidermis development,8,1,8,7,87.5,8
lung development,8,3,8,5,62.5,2.6666666666666665
lymph circulation,8,1,8,7,87.5,8
lymph vessel morphogenesis,8,1,8,7,87.5,8
negative regulation of vasoconstriction,8,1,8,7,87.5,8
ovarian follicle development,8,3,7,5,62.5,2.6666666666666665
positive regulation of platelet activation,8,1,8,7,87.5,8
positive regulation of translation,8,2,7,6,75,4
protein homotetramerization,8,2,6,6,75,4
response to xenobiotic stimulus,8,4,6,4,50,2
spermatid development,8,3,6,5,62.5,2.6666666666666665
tight junction assembly,8,1,8,7,87.5,8
unsaturated fatty acid biosynthetic process,8,1,8,7,87.5,8
chaperone cofactor-dependent protein refolding,7,1,7,6,85.71428571428571,7
cilium disassembly,7,1,7,6,85.71428571428571,7
clathrin coat disassembly,7,1,7,6,85.71428571428571,7
male gonad development,7,2,6,5,71.42857142857143,3.5
mesenchymal cell apoptotic process,7,1,7,6,85.71428571428571,7
negative regulation of cell migration,7,1,7,6,85.71428571428571,7
negative regulation of cytoplasmic translation,7,2,6,5,71.42857142857143,3.5
neurogenesis,7,1,7,6,85.71428571428571,7
neuron differentiation,7,3,6,4,57.14285714285714,2.3333333333333335
positive regulation of dendritic spine maintenance,7,1,7,6,85.71428571428571,7
positive regulation of immunological synapse formation,7,1,7,6,85.71428571428571,7
positive regulation of lymphocyte chemotaxis,7,1,7,6,85.71428571428571,7
positive regulation of osteoclast differentiation,7,1,7,6,85.71428571428571,7
positive regulation of protein localization,7,1,7,6,85.71428571428571,7
protein phosphorylation,7,3,7,4,57.14285714285714,2.3333333333333335
protein refolding,7,1,7,6,85.71428571428571,7
protein targeting to lysosome involved in chaperone-mediated autophagy,7,1,7,6,85.71428571428571,7
