go_term,group_id,n_components,components
cell surface receptor signaling pathway,OG_02537,35,"comp1, comp10, comp11, comp12, comp13, comp14, comp15, comp16, comp17, comp18, comp19, comp2, comp20, comp21, comp22, comp23, comp24, comp25, comp26, comp27, comp28, comp29, comp3, comp30, comp31, comp32, comp33, comp34, comp35, comp4, comp5, comp6, comp7, comp8, comp9"
cell surface receptor signaling pathway,OG_02927,29,"comp1, comp10, comp11, comp13, comp14, comp15, comp16, comp18, comp2, comp20, comp21, comp22, comp23, comp24, comp25, comp26, comp27, comp28, comp29, comp30, comp31, comp32, comp33, comp34, comp4, comp6, comp7, comp8, comp9"
cell surface receptor signaling pathway,OG_09347,2,"comp17, comp30"
cilium assembly,OG_08311,27,"comp1, comp10, comp11, comp13, comp14, comp15, comp16, comp18, comp19, comp2, comp20, comp21, comp22, comp24, comp26, comp27, comp28, comp29, comp3, comp30, comp32, comp33, comp4, comp6, comp7, comp8, comp9"
cilium assembly,OG_08952,11,"comp11, comp13, comp16, comp20, comp21, comp30, comp33, comp34, comp7, comp8, comp9"
cilium assembly,OG_03759,5,"comp1, comp15, comp18, comp20, comp22"
cilium assembly,OG_03163,4,"comp10, comp17, comp31, comp33"
defense response to Gram-negative bacterium,OG_02537,35,"comp1, comp10, comp11, comp12, comp13, comp14, comp15, comp16, comp17, comp18, comp19, comp2, comp20, comp21, comp22, comp23, comp24, comp25, comp26, comp27, comp28, comp29, comp3, comp30, comp31, comp32, comp33, comp34, comp35, comp4, comp5, comp6, comp7, comp8, comp9"
defense response to Gram-negative bacterium,OG_00622,18,"comp1, comp11, comp13, comp16, comp2, comp21, comp24, comp25, comp3, comp30, comp31, comp33, comp34, comp4, comp6, comp7, comp8, comp9"
defense response to Gram-negative bacterium,OG_04538,16,"comp12, comp14, comp17, comp19, comp22, comp23, comp24, comp25, comp26, comp27, comp28, comp29, comp31, comp35, comp4, comp5"
defense response to Gram-negative bacterium,OG_06279,11,"comp1, comp13, comp14, comp24, comp26, comp27, comp28, comp35, comp4, comp7, comp8"
flagellated sperm motility,OG_00264,35,"comp1, comp10, comp11, comp12, comp13, comp14, comp15, comp16, comp17, comp18, comp19, comp2, comp20, comp21, comp22, comp23, comp24, comp25, comp26, comp27, comp28, comp29, comp3, comp30, comp31, comp32, comp33, comp34, comp35, comp4, comp5, comp6, comp7, comp8, comp9"
flagellated sperm motility,OG_03759,5,"comp1, comp15, comp18, comp20, comp22"
flagellated sperm motility,OG_06271,4,"comp10, comp18, comp25, comp31"
flagellated sperm motility,OG_09806,2,"comp12, comp5"
gene expression,OG_02341,26,"comp1, comp11, comp13, comp14, comp15, comp16, comp17, comp18, comp19, comp2, comp20, comp21, comp22, comp23, comp24, comp25, comp26, comp27, comp28, comp3, comp30, comp35, comp6, comp7, comp8, comp9"
gene expression,OG_05198,16,"comp1, comp13, comp14, comp16, comp19, comp22, comp24, comp26, comp27, comp28, comp29, comp31, comp35, comp4, comp7, comp8"
gene expression,OG_02338,15,"comp11, comp13, comp15, comp16, comp2, comp20, comp21, comp28, comp30, comp34, comp4, comp6, comp7, comp8, comp9"
gene expression,OG_10186,8,"comp18, comp21, comp3, comp31, comp32, comp33, comp34, comp6"
in utero embryonic development,OG_08098,21,"comp1, comp11, comp13, comp14, comp16, comp18, comp20, comp21, comp22, comp24, comp25, comp26, comp27, comp28, comp30, comp31, comp35, comp4, comp7, comp8, comp9"
in utero embryonic development,OG_03457,6,"comp14, comp26, comp28, comp29, comp32, comp35"
in utero embryonic development,OG_08126,5,"comp10, comp13, comp2, comp4, comp7"
in utero embryonic development,OG_09625,4,"comp14, comp27, comp29, comp32"
in utero embryonic development,OG_09806,2,"comp12, comp5"
innate immune response,OG_02537,35,"comp1, comp10, comp11, comp12, comp13, comp14, comp15, comp16, comp17, comp18, comp19, comp2, comp20, comp21, comp22, comp23, comp24, comp25, comp26, comp27, comp28, comp29, comp3, comp30, comp31, comp32, comp33, comp34, comp35, comp4, comp5, comp6, comp7, comp8, comp9"
innate immune response,OG_04437,23,"comp1, comp11, comp13, comp14, comp15, comp16, comp18, comp19, comp2, comp20, comp21, comp22, comp23, comp26, comp27, comp28, comp29, comp3, comp35, comp4, comp6, comp7, comp8"
innate immune response,OG_05198,16,"comp1, comp13, comp14, comp16, comp19, comp22, comp24, comp26, comp27, comp28, comp29, comp31, comp35, comp4, comp7, comp8"
innate immune response,OG_07887,9,"comp13, comp15, comp16, comp17, comp19, comp2, comp22, comp3, comp6"
innate immune response,OG_08126,5,"comp10, comp13, comp2, comp4, comp7"
mRNA processing,OG_08098,21,"comp1, comp11, comp13, comp14, comp16, comp18, comp20, comp21, comp22, comp24, comp25, comp26, comp27, comp28, comp30, comp31, comp35, comp4, comp7, comp8, comp9"
mRNA processing,OG_07200,8,"comp12, comp16, comp21, comp25, comp26, comp31, comp34, comp5"
mRNA processing,OG_01396,7,"comp18, comp26, comp27, comp35, comp4, comp7, comp9"
mRNA processing,OG_06305,6,"comp10, comp13, comp22, comp27, comp33, comp4"
muscle organ development,OG_02537,35,"comp1, comp10, comp11, comp12, comp13, comp14, comp15, comp16, comp17, comp18, comp19, comp2, comp20, comp21, comp22, comp23, comp24, comp25, comp26, comp27, comp28, comp29, comp3, comp30, comp31, comp32, comp33, comp34, comp35, comp4, comp5, comp6, comp7, comp8, comp9"
muscle organ development,OG_00729,3,"comp12, comp17, comp34"
muscle organ development,OG_01995,2,"comp18, comp26"
negative regulation of angiogenesis,OG_02537,35,"comp1, comp10, comp11, comp12, comp13, comp14, comp15, comp16, comp17, comp18, comp19, comp2, comp20, comp21, comp22, comp23, comp24, comp25, comp26, comp27, comp28, comp29, comp3, comp30, comp31, comp32, comp33, comp34, comp35, comp4, comp5, comp6, comp7, comp8, comp9"
negative regulation of angiogenesis,OG_00676,4,"comp15, comp16, comp4, comp6"
negative regulation of apoptotic process,OG_02998,25,"comp1, comp10, comp11, comp13, comp14, comp15, comp16, comp18, comp2, comp20, comp21, comp22, comp24, comp25, comp26, comp27, comp28, comp30, comp31, comp34, comp4, comp6, comp7, comp8, comp9"
negative regulation of apoptotic process,OG_02929,24,"comp1, comp10, comp11, comp12, comp13, comp15, comp16, comp18, comp2, comp20, comp21, comp22, comp23, comp25, comp3, comp30, comp31, comp32, comp34, comp4, comp6, comp7, comp8, comp9"
negative regulation of apoptotic process,OG_00676,4,"comp15, comp16, comp4, comp6"
negative regulation of apoptotic process,OG_05069,4,"comp29, comp3, comp30, comp9"
negative regulation of apoptotic process,OG_00729,3,"comp12, comp17, comp34"
negative regulation of cell population proliferation,OG_02537,35,"comp1, comp10, comp11, comp12, comp13, comp14, comp15, comp16, comp17, comp18, comp19, comp2, comp20, comp21, comp22, comp23, comp24, comp25, comp26, comp27, comp28, comp29, comp3, comp30, comp31, comp32, comp33, comp34, comp35, comp4, comp5, comp6, comp7, comp8, comp9"
negative regulation of cell population proliferation,OG_00676,4,"comp15, comp16, comp4, comp6"
negative regulation of transcription by RNA polymerase II,OG_02929,24,"comp1, comp10, comp11, comp12, comp13, comp15, comp16, comp18, comp2, comp20, comp21, comp22, comp23, comp25, comp3, comp30, comp31, comp32, comp34, comp4, comp6, comp7, comp8, comp9"
negative regulation of transcription by RNA polymerase II,OG_08098,21,"comp1, comp11, comp13, comp14, comp16, comp18, comp20, comp21, comp22, comp24, comp25, comp26, comp27, comp28, comp30, comp31, comp35, comp4, comp7, comp8, comp9"
negative regulation of transcription by RNA polymerase II,OG_04857,9,"comp12, comp17, comp21, comp3, comp30, comp33, comp34, comp5, comp9"
negative regulation of transcription by RNA polymerase II,OG_02805,4,"comp15, comp4, comp7, comp9"
negative regulation of transcription by RNA polymerase II,OG_00729,3,"comp12, comp17, comp34"
negative regulation of transcription by RNA polymerase II,OG_07762,2,"comp12, comp17"
negative regulation of transforming growth factor beta receptor signaling pathway,OG_01636,34,"comp1, comp11, comp12, comp13, comp14, comp15, comp16, comp17, comp18, comp19, comp2, comp20, comp21, comp22, comp23, comp24, comp25, comp26, comp27, comp28, comp29, comp3, comp30, comp31, comp32, comp33, comp34, comp35, comp4, comp5, comp6, comp7, comp8, comp9"
negative regulation of transforming growth factor beta receptor signaling pathway,OG_00676,4,"comp15, comp16, comp4, comp6"
negative regulation of transforming growth factor beta receptor signaling pathway,OG_10007,3,"comp3, comp31, comp33"
negative regulation of tumor necrosis factor production,OG_04437,23,"comp1, comp11, comp13, comp14, comp15, comp16, comp18, comp19, comp2, comp20, comp21, comp22, comp23, comp26, comp27, comp28, comp29, comp3, comp35, comp4, comp6, comp7, comp8"
negative regulation of tumor necrosis factor production,OG_08098,21,"comp1, comp11, comp13, comp14, comp16, comp18, comp20, comp21, comp22, comp24, comp25, comp26, comp27, comp28, comp30, comp31, comp35, comp4, comp7, comp8, comp9"
positive regulation of gene expression,OG_04437,23,"comp1, comp11, comp13, comp14, comp15, comp16, comp18, comp19, comp2, comp20, comp21, comp22, comp23, comp26, comp27, comp28, comp29, comp3, comp35, comp4, comp6, comp7, comp8"
positive regulation of gene expression,OG_08098,21,"comp1, comp11, comp13, comp14, comp16, comp18, comp20, comp21, comp22, comp24, comp25, comp26, comp27, comp28, comp30, comp31, comp35, comp4, comp7, comp8, comp9"
positive regulation of gene expression,OG_05198,16,"comp1, comp13, comp14, comp16, comp19, comp22, comp24, comp26, comp27, comp28, comp29, comp31, comp35, comp4, comp7, comp8"
positive regulation of gene expression,OG_04857,9,"comp12, comp17, comp21, comp3, comp30, comp33, comp34, comp5, comp9"
positive regulation of gene expression,OG_00676,4,"comp15, comp16, comp4, comp6"
positive regulation of gene expression,OG_05069,4,"comp29, comp3, comp30, comp9"
positive regulation of gene expression,OG_07659,4,"comp24, comp26, comp35, comp9"
positive regulation of gene expression,OG_06500,2,"comp34, comp6"
positive regulation of gene expression,OG_09806,2,"comp12, comp5"
positive regulation of reactive oxygen species biosynthetic process,OG_02537,35,"comp1, comp10, comp11, comp12, comp13, comp14, comp15, comp16, comp17, comp18, comp19, comp2, comp20, comp21, comp22, comp23, comp24, comp25, comp26, comp27, comp28, comp29, comp3, comp30, comp31, comp32, comp33, comp34, comp35, comp4, comp5, comp6, comp7, comp8, comp9"
positive regulation of reactive oxygen species biosynthetic process,OG_04437,23,"comp1, comp11, comp13, comp14, comp15, comp16, comp18, comp19, comp2, comp20, comp21, comp22, comp23, comp26, comp27, comp28, comp29, comp3, comp35, comp4, comp6, comp7, comp8"
positive regulation of transcription by RNA polymerase II,OG_02998,25,"comp1, comp10, comp11, comp13, comp14, comp15, comp16, comp18, comp2, comp20, comp21, comp22, comp24, comp25, comp26, comp27, comp28, comp30, comp31, comp34, comp4, comp6, comp7, comp8, comp9"
positive regulation of transcription by RNA polymerase II,OG_08098,21,"comp1, comp11, comp13, comp14, comp16, comp18, comp20, comp21, comp22, comp24, comp25, comp26, comp27, comp28, comp30, comp31, comp35, comp4, comp7, comp8, comp9"
positive regulation of transcription by RNA polymerase II,OG_05198,16,"comp1, comp13, comp14, comp16, comp19, comp22, comp24, comp26, comp27, comp28, comp29, comp31, comp35, comp4, comp7, comp8"
positive regulation of transcription by RNA polymerase II,OG_04999,9,"comp14, comp19, comp24, comp26, comp28, comp30, comp35, comp5, comp9"
positive regulation of transcription by RNA polymerase II,OG_09440,7,"comp16, comp18, comp23, comp3, comp33, comp6, comp8"
positive regulation of transcription by RNA polymerase II,OG_02805,4,"comp15, comp4, comp7, comp9"
positive regulation of transcription by RNA polymerase II,OG_06782,4,"comp24, comp28, comp35, comp9"
positive regulation of transcription by RNA polymerase II,OG_06416,3,"comp25, comp26, comp9"
proteolysis,OG_03269,29,"comp1, comp11, comp12, comp14, comp16, comp17, comp18, comp19, comp2, comp20, comp21, comp22, comp23, comp24, comp25, comp26, comp27, comp28, comp29, comp3, comp30, comp31, comp32, comp34, comp35, comp4, comp5, comp7, comp8"
proteolysis,OG_00643,22,"comp1, comp11, comp12, comp14, comp17, comp18, comp2, comp20, comp21, comp23, comp24, comp25, comp26, comp27, comp29, comp30, comp31, comp32, comp34, comp35, comp5, comp7"
proteolysis,OG_07963,13,"comp1, comp14, comp17, comp19, comp20, comp22, comp24, comp26, comp27, comp28, comp29, comp31, comp35"
proteolysis,OG_07887,9,"comp13, comp15, comp16, comp17, comp19, comp2, comp22, comp3, comp6"
proteolysis,OG_08392,9,"comp11, comp16, comp2, comp22, comp3, comp4, comp6, comp7, comp8"
proteolysis,OG_09625,4,"comp14, comp27, comp29, comp32"
proteolysis,OG_01680,2,"comp21, comp23"
proteolysis,OG_02974,2,"comp10, comp33"
proteolysis,OG_06998,2,"comp4, comp9"
regulation of transcription by RNA polymerase II,OG_08952,11,"comp11, comp13, comp16, comp20, comp21, comp30, comp33, comp34, comp7, comp8, comp9"
regulation of transcription by RNA polymerase II,OG_04857,9,"comp12, comp17, comp21, comp3, comp30, comp33, comp34, comp5, comp9"
regulation of transcription by RNA polymerase II,OG_04999,9,"comp14, comp19, comp24, comp26, comp28, comp30, comp35, comp5, comp9"
regulation of transcription by RNA polymerase II,OG_02805,4,"comp15, comp4, comp7, comp9"
regulation of transcription by RNA polymerase II,OG_06782,4,"comp24, comp28, comp35, comp9"
regulation of transcription by RNA polymerase II,OG_07659,4,"comp24, comp26, comp35, comp9"
regulation of transcription by RNA polymerase II,OG_06416,3,"comp25, comp26, comp9"
regulation of transcription by RNA polymerase II,OG_07340,2,"comp13, comp17"
response to bacterium,OG_01645,26,"comp1, comp11, comp13, comp14, comp15, comp16, comp18, comp2, comp20, comp21, comp22, comp24, comp25, comp26, comp27, comp28, comp3, comp30, comp31, comp32, comp34, comp4, comp6, comp7, comp8, comp9"
response to bacterium,OG_00622,18,"comp1, comp11, comp13, comp16, comp2, comp21, comp24, comp25, comp3, comp30, comp31, comp33, comp34, comp4, comp6, comp7, comp8, comp9"
response to bacterium,OG_06279,11,"comp1, comp13, comp14, comp24, comp26, comp27, comp28, comp35, comp4, comp7, comp8"
response to lipopolysaccharide,OG_02998,25,"comp1, comp10, comp11, comp13, comp14, comp15, comp16, comp18, comp2, comp20, comp21, comp22, comp24, comp25, comp26, comp27, comp28, comp30, comp31, comp34, comp4, comp6, comp7, comp8, comp9"
response to lipopolysaccharide,OG_08098,21,"comp1, comp11, comp13, comp14, comp16, comp18, comp20, comp21, comp22, comp24, comp25, comp26, comp27, comp28, comp30, comp31, comp35, comp4, comp7, comp8, comp9"
response to lipopolysaccharide,OG_07947,10,"comp11, comp12, comp2, comp21, comp30, comp34, comp4, comp5, comp6, comp7"
signal transduction,OG_02537,35,"comp1, comp10, comp11, comp12, comp13, comp14, comp15, comp16, comp17, comp18, comp19, comp2, comp20, comp21, comp22, comp23, comp24, comp25, comp26, comp27, comp28, comp29, comp3, comp30, comp31, comp32, comp33, comp34, comp35, comp4, comp5, comp6, comp7, comp8, comp9"
signal transduction,OG_04437,23,"comp1, comp11, comp13, comp14, comp15, comp16, comp18, comp19, comp2, comp20, comp21, comp22, comp23, comp26, comp27, comp28, comp29, comp3, comp35, comp4, comp6, comp7, comp8"
signal transduction,OG_03122,18,"comp1, comp10, comp11, comp13, comp14, comp18, comp20, comp22, comp23, comp24, comp26, comp27, comp28, comp32, comp35, comp4, comp7, comp8"
toll-like receptor signaling pathway,OG_02998,25,"comp1, comp10, comp11, comp13, comp14, comp15, comp16, comp18, comp2, comp20, comp21, comp22, comp24, comp25, comp26, comp27, comp28, comp30, comp31, comp34, comp4, comp6, comp7, comp8, comp9"
toll-like receptor signaling pathway,OG_04437,23,"comp1, comp11, comp13, comp14, comp15, comp16, comp18, comp19, comp2, comp20, comp21, comp22, comp23, comp26, comp27, comp28, comp29, comp3, comp35, comp4, comp6, comp7, comp8"
visual perception,OG_01620,35,"comp1, comp10, comp11, comp12, comp13, comp14, comp15, comp16, comp17, comp18, comp19, comp2, comp20, comp21, comp22, comp23, comp24, comp25, comp26, comp27, comp28, comp29, comp3, comp30, comp31, comp32, comp33, comp34, comp35, comp4, comp5, comp6, comp7, comp8, comp9"
visual perception,OG_01645,26,"comp1, comp11, comp13, comp14, comp15, comp16, comp18, comp2, comp20, comp21, comp22, comp24, comp25, comp26, comp27, comp28, comp3, comp30, comp31, comp32, comp34, comp4, comp6, comp7, comp8, comp9"
visual perception,OG_03163,4,"comp10, comp17, comp31, comp33"
