gene_id,hit,evalue,score,group_id
FUN_016646-T1,XP_022795459.1,8.369999999999999e-94,299,OG_04165
FUN_016791-T1,XP_022790556.1,1.1999999999999999e-52,190,OG_04209
FUN_017759-T1,XP_022780694.1,1.88e-46,164,OG_04238
FUN_017765-T1,XP_022788270.1,0,1765,OG_04243
FUN_017773-T1,XP_022788307.1,0,1470,OG_04247
FUN_017932-T1,XP_022777933.1,2.24e-86,262,OG_04327
FUN_017939-T1,XP_022789932.1,0,746,OG_04331
FUN_018031-T1,XP_022779335.1,4.39e-21,90.5,OG_04372
FUN_018864-T3,XP_022798902.1,4.899999999999999e-144,476,OG_04443
FUN_019433-T2,XP_022803207.1,1.13e-24,102,OG_04467
FUN_022047-T1,XP_022803207.1,1.8599999999999998e-125,437,OG_04514
FUN_022048-T1,XP_022782704.1,3.0599999999999997e-72,265,OG_04515
FUN_022093-T1,XP_022806326.1,5.359999999999999e-43,149,OG_04537
FUN_022094-T1,XP_022806326.1,3.95e-35,129,OG_04538
FUN_022170-T1,XP_022804012.1,0,987,OG_04547
FUN_022199-T1,XP_022779335.1,7.77e-57,208,OG_04560
FUN_022386-T3,XP_022780694.1,2.1e-102,309,OG_04651
FUN_022486-T1,XP_022806928.1,3.89e-28,112,OG_04694
FUN_022495-T1,XP_022803207.1,6.84e-28,117,OG_04698
FUN_022586-T1,XP_022806928.1,8.97e-26,106,OG_04723
FUN_022642-T1,XP_022798258.1,1.68e-25,108,OG_04756
FUN_022703-T1,XP_022792212.1,1.69e-23,87.8,OG_04789
FUN_022718-T3,XP_022780694.1,5.2e-38,139,OG_04799
FUN_023162-T1,XP_022780694.1,3.0299999999999997e-57,181,OG_05010
FUN_023324-T2,XP_022806326.1,1.0899999999999999e-32,124,OG_05087
FUN_023383-T1,XP_022803524.1,1.39e-47,165,OG_05121
FUN_023597-T1,XP_022788730.1,1.48e-38,129,OG_05210
FUN_023641-T1,XP_022784623.1,0,1379,OG_05228
FUN_023697-T1,XP_022797021.1,7.429999999999999e-47,148,OG_05250
FUN_023974-T2,XP_022803207.1,5.16e-24,101,OG_05303
FUN_023976-T1,XP_022803207.1,3.41e-22,99,OG_05304
FUN_023982-T1,XP_022806928.1,2.01e-31,121,OG_05308
FUN_024155-T1,XP_022803207.1,5.83e-23,96.3,OG_05366
FUN_024160-T1,XP_022803207.1,9.63e-34,135,OG_05367
FUN_024557-T1,XP_022809269.1,0,976,OG_05498
FUN_024614-T1,XP_022788227.1,0,1704,OG_05514
FUN_024804-T1,XP_022786582.1,0,706,OG_05568
FUN_025338-T2,XP_022808163.1,1.8599999999999999e-93,267,OG_05637
FUN_025441-T1,XP_022783430.1,1.31e-133,461,OG_05666
FUN_025598-T1,XP_022789591.1,2.6199999999999998e-104,328,OG_05713
FUN_025607-T1,XP_022808089.1,1.5399999999999998e-35,132,OG_05717
FUN_025610-T1,XP_022808089.1,1.65e-62,211,OG_05718
FUN_025681-T1,XP_022780694.1,9.12e-35,128,OG_05749
FUN_025826-T1,XP_022784808.1,0,2110,OG_05819
FUN_025935-T1,XP_022789591.1,1.85e-117,366,OG_05856
FUN_026023-T1,XP_022779335.1,1.81e-123,418,OG_05874
FUN_026024-T1,XP_022779335.1,3.06e-155,505,OG_05875
FUN_026200-T1,XP_022783430.1,0,702,OG_05950
FUN_026214-T1,XP_022806326.1,3.7099999999999996e-31,120,OG_05952
FUN_026494-T1,XP_022806928.1,4.84e-22,97.4,OG_06004
FUN_027779-T1,XP_022810585.1,7.35e-45,173,OG_06101
FUN_027850-T1,XP_022793420.1,4.09e-27,115,OG_06119
FUN_027984-T2,XP_022793420.1,1.2200000000000002e-27,117,OG_06152
FUN_028002-T1,XP_022801359.1,2.33e-44,154,OG_06158
FUN_028088-T1,XP_022785723.1,7.31e-62,223,OG_06181
FUN_028130-T1,XP_022806326.1,7.5e-52,180,OG_06198
FUN_028187-T1,XP_022806326.1,8.69e-52,171,OG_06234
FUN_028192-T1,XP_022806326.1,3.6499999999999994e-52,178,OG_06236
FUN_028242-T1,XP_022789591.1,1.68e-116,363,OG_06247
FUN_028447-T1,XP_022780694.1,5.63e-40,145,OG_06279
FUN_028978-T1,XP_022804608.1,9.04e-25,105,OG_06373
FUN_029014-T1,XP_022804608.1,3.9e-93,314,OG_06384
FUN_029123-T1,XP_022792212.1,4.93e-36,119,OG_06430
FUN_029640-T1,XP_022798902.1,7.08e-160,492,OG_06592
FUN_029673-T1,XP_022798902.1,0,613,OG_06599
FUN_029756-T1,XP_022783044.1,1.38e-120,364,OG_06607
FUN_029760-T1,XP_022783031.1,0,1223,OG_06610
FUN_029772-T1,XP_022783044.1,6.149999999999999e-56,191,OG_06616
FUN_030682-T1,XP_022801359.1,1.15e-62,195,OG_06655
FUN_031070-T1,XP_022803524.1,2.46e-28,108,OG_06670
FUN_031299-T1,XP_022803851.1,3.669999999999999e-119,402,OG_06711
FUN_031304-T1,XP_022803851.1,3.31e-75,271,OG_06712
FUN_031467-T1,XP_022789932.1,3.16e-85,286,OG_06717
FUN_031470-T1,XP_022808646.1,0,2856,OG_06719
FUN_031565-T1,XP_022792788.1,0,1554,OG_06754
FUN_031641-T1,XP_022810585.1,1.5099999999999998e-23,99.8,OG_06775
FUN_031878-T1,XP_022803851.1,2.39e-72,261,OG_06875
FUN_031966-T1,XP_022801359.1,1.44e-58,184,OG_06908
FUN_032012-T1,XP_022794736.1,1.13e-39,149,OG_06922
FUN_032022-T1,XP_022810585.1,1.5e-38,149,OG_06931
FUN_032069-T1,XP_022810585.1,1.12e-44,170,OG_06954
FUN_032074-T1,XP_022810585.1,7.04e-40,155,OG_06955
FUN_032147-T1,XP_022783952.1,4.1099999999999995e-40,142,OG_06998
FUN_032148-T1,XP_022783952.1,1.4599999999999998e-32,120,OG_06999
FUN_032151-T1,XP_022783952.1,1.5999999999999999e-31,117,OG_07000
FUN_032241-T1,XP_022804785.1,9.479999999999999e-40,134,OG_07042
FUN_032503-T1,XP_022794736.1,4.77e-24,102,OG_07150
FUN_032526-T1,XP_022780303.1,5.749999999999999e-40,157,OG_07153
FUN_032641-T1,XP_022798258.1,0,774,OG_07183
FUN_033014-T1,XP_022810585.1,5.090000000000001e-22,95.9,OG_07252
FUN_033056-T1,XP_022803808.1,1.2099999999999999e-61,205,OG_07265
FUN_033731-T1,XP_022780640.1,5.75e-95,273,OG_07330
FUN_033732-T1,XP_022780690.1,2.15e-95,286,OG_07331
FUN_033818-T1,XP_022782398.1,1.23e-93,279,OG_07389
FUN_033824-T1,XP_022782364.1,5.27e-63,192,OG_07394
FUN_033855-T1,XP_022798902.1,9.399999999999999e-67,241,OG_07404
FUN_034050-T2,XP_022790441.1,0,610,OG_07508
FUN_034107-T1,XP_022785805.1,9.76e-31,112,OG_07531
FUN_034361-T1,XP_022785805.1,1.1299999999999998e-31,116,OG_07620
FUN_034420-T1,XP_022801463.1,0,1687,OG_07641
FUN_034983-T1,XP_022782703.1,1.1e-22,99.4,OG_07772
FUN_035052-T1,XP_022792212.1,3.8000000000000005e-21,82,OG_07807
FUN_035089-T1,XP_022804012.1,4.75e-67,236,OG_07821
FUN_035090-T2,XP_022804012.1,2.91e-54,197,OG_07822
FUN_035166-T1,XP_022786918.1,2.01e-32,124,OG_07836
FUN_035271-T1,XP_022785723.1,9.27e-76,259,OG_07892
FUN_035508-T1,XP_022798258.1,5.27e-60,223,OG_07958
FUN_035801-T1,XP_022806664.1,5.19e-28,110,OG_08077
FUN_035810-T1,XP_022784808.1,0,803,OG_08083
FUN_035837-T1,XP_022794736.1,2.9500000000000003e-97,337,OG_08096
FUN_035908-T1,XP_022806664.1,3.08e-90,287,OG_08143
FUN_035913-T1,XP_022806664.1,0,1234,OG_08144
FUN_035914-T1,XP_022798258.1,4.93e-120,410,OG_08145
FUN_036035-T1,XP_022804012.1,2.56e-65,235,OG_08192
FUN_036171-T4,XP_022782704.1,3.1e-51,195,OG_08259
FUN_036183-T1,XP_022788977.1,9.68e-89,313,OG_08271
FUN_036817-T1,XP_022798258.1,1.7799999999999998e-128,445,OG_08331
FUN_036881-T1,XP_022806928.1,9.759999999999999e-32,127,OG_08347
FUN_037097-T1,XP_022807143.1,0,1527,OG_08432
FUN_037377-T1,XP_022795459.1,1.62e-76,237,OG_08497
FUN_037469-T1,XP_022799127.1,3.3699999999999997e-42,144,OG_08528
FUN_037499-T1,XP_022798258.1,2.3e-56,207,OG_08545
FUN_037777-T1,XP_022794736.1,1.34e-85,307,OG_08622
FUN_037812-T1,XP_022794736.1,0,11050,OG_08639
FUN_037870-T1,XP_022792212.1,1.59e-27,97.8,OG_08658
FUN_037896-T1,XP_022782704.1,8.83e-66,243,OG_08663
FUN_037969-T1,XP_022782703.1,1.48e-87,315,OG_08717
FUN_038045-T1,XP_022783044.1,3.29e-40,145,OG_08768
FUN_038089-T1,XP_022792212.1,9.499999999999999e-23,86.3,OG_08793
FUN_038187-T1,XP_022798258.1,9.11e-75,274,OG_08842
FUN_038210-T1,XP_022782703.1,2.68e-68,247,OG_08849
FUN_038241-T1,XP_022804608.1,9.459999999999999e-23,100,OG_08856
FUN_038271-T1,XP_022782704.1,9.25e-71,259,OG_08874
FUN_038277-T1,XP_022780303.1,0,23880,OG_08878
FUN_038348-T1,XP_022782704.1,2.4199999999999997e-56,212,OG_08914
FUN_038376-T1,XP_022806928.1,2.08e-30,120,OG_08920
FUN_038548-T1,XP_022803851.1,2.63e-64,236,OG_09003
FUN_038614-T1,XP_022803851.1,7.02e-78,280,OG_09024
FUN_038933-T1,XP_022784107.1,0,1328,OG_09106
FUN_039850-T1,XP_022810585.1,9.919999999999999e-47,178,OG_09174
FUN_040037-T1,XP_022786918.1,0,1095,OG_09247
FUN_040209-T1,XP_022803207.1,1.7299999999999998e-54,202,OG_09310
FUN_041212-T1,XP_022792212.1,2.35e-30,104,OG_09423
FUN_041213-T1,XP_022810585.1,3.74e-43,163,OG_09424
FUN_041463-T1,XP_022798902.1,2.82e-86,302,OG_09455
FUN_041519-T1,XP_022779335.1,6.76e-43,166,OG_09486
FUN_041521-T2,XP_022779335.1,2.67e-63,232,OG_09487
FUN_041565-T1,XP_022789932.1,5.7e-75,256,OG_09511
FUN_041743-T1,XP_022797264.1,0,3482,OG_09596
FUN_041744-T1,XP_022797264.1,0,905,OG_09597
FUN_041745-T1,XP_022797264.1,1.75e-54,205,OG_09598
FUN_041833-T1,XP_022797264.1,2.02e-62,231,OG_09638
FUN_041862-T1,XP_022789932.1,2.1099999999999998e-43,163,OG_09657
FUN_042604-T1,XP_022792212.1,5.64e-23,90.1,OG_09796
FUN_042624-T1,XP_022799541.1,5.939999999999999e-172,593,OG_09806
FUN_042991-T1,XP_022785805.1,4.1699999999999996e-46,154,OG_09896
FUN_042992-T1,XP_022785805.1,2.4899999999999996e-43,146,OG_09897
FUN_043106-T1,XP_022795459.1,4.6500000000000005e-27,107,OG_09942
FUN_043151-T1,XP_022788977.1,0,1275,OG_09969
FUN_043179-T1,XP_022803207.1,4.51e-34,138,OG_09986
FUN_043236-T1,XP_022779335.1,9.01e-91,317,OG_10002
FUN_043238-T1,XP_022783430.1,2.21e-63,211,OG_10004
FUN_043242-T1,XP_022788977.1,0,1781,OG_10007
FUN_043243-T1,XP_022801334.1,5.06e-36,127,OG_10008
FUN_043309-T1,XP_022798258.1,8.94e-69,248,OG_10039
FUN_043349-T1,XP_022779335.1,3.65e-51,192,OG_10055
FUN_043479-T1,XP_022790555.1,2.28e-34,132,OG_10109
FUN_043499-T1,XP_022810585.1,1.81e-39,155,OG_10121
FUN_043598-T1,XP_022788730.1,2.3100000000000002e-27,106,OG_10183
FUN_043638-T1,XP_022781915.1,4.4900000000000004e-64,202,OG_10205
FUN_044584-T1,XP_022807256.1,2.5199999999999997e-30,121,OG_10251
FUN_044760-T1,XP_022780303.1,7.759999999999999e-56,210,OG_10265
FUN_044779-T1,XP_022794920.1,0,748,OG_10267
FUN_044855-T1,XP_022786864.1,8.470000000000001e-27,104,OG_10274
FUN_045674-T1,XP_022779335.1,9.86e-105,361,OG_10332
FUN_000209-T1,XP_022780694.1,6.599999999999999e-104,302,OG_10350
FUN_000274-T4,XP_022794736.1,2.6399999999999997e-32,123,OG_10355
FUN_000341-T1,XP_022790555.1,5.8e-69,241,OG_10367
FUN_001498-T1,XP_022808082.1,0,719,OG_10450
FUN_001808-T1,XP_022801331.1,4.13e-78,233,OG_10472
FUN_001884-T2,XP_022780694.1,8.17e-91,267,OG_10475
FUN_001932-T1,XP_022780694.1,1.46e-103,305,OG_10480
FUN_002531-T1,XP_022790556.1,4.55e-71,246,OG_10509
FUN_002645-T1,XP_022783430.1,7.279999999999999e-37,141,OG_10515
FUN_002646-T1,XP_022783430.1,2.9e-161,516,OG_10516
FUN_002663-T1,XP_022810585.1,2.4900000000000002e-29,120,OG_10520
FUN_002671-T1,XP_022783415.1,0,982,OG_10522
FUN_002672-T2,XP_022783430.1,0,1464,OG_10523
FUN_002685-T1,XP_022783430.1,2.04e-33,124,OG_10525
FUN_003891-T1,XP_022808048.1,8.969999999999999e-118,335,OG_10579
FUN_003983-T3,XP_022783044.1,2.4499999999999998e-62,213,OG_10584
FUN_004759-T1,XP_022788977.1,1.19e-44,167,OG_10675
FUN_004871-T2,XP_022783430.1,1.5999999999999997e-159,512,OG_10681
FUN_006135-T1,XP_022780694.1,1.02e-83,271,OG_10758
FUN_006140-T1,XP_022794736.1,6.72e-33,132,OG_10759
FUN_006888-T2,XP_022782704.1,6.96e-52,196,OG_10811
FUN_006894-T1,XP_022810585.1,0,786,OG_10812
FUN_006912-T1,XP_022810585.1,3.7299999999999996e-104,329,OG_10814
FUN_006915-T1,XP_022810585.1,0,783,OG_10815
FUN_006930-T1,XP_022810585.1,1.23e-34,139,OG_10818
FUN_007178-T1,XP_022808048.1,1.22e-92,274,OG_10838
FUN_008089-T2,XP_022810585.1,2.37e-24,101,OG_10907
FUN_008461-T1,XP_022782704.1,4.08e-56,210,OG_10936
FUN_008465-T1,XP_022782703.1,3.18e-47,181,OG_10937
FUN_008474-T1,XP_022782703.1,5.34e-57,212,OG_10938
FUN_008998-T1,XP_022780690.1,2.2599999999999998e-30,113,OG_10988
FUN_009387-T1,XP_022808048.1,6.05e-100,295,OG_11017
FUN_009407-T1,XP_022803207.1,1.27e-26,110,OG_11019
FUN_009692-T1,XP_022808646.1,0,1857,OG_11038
FUN_010559-T1,XP_022807807.1,0,808,OG_11074
FUN_010649-T1,XP_022794121.1,6.31e-36,131,OG_11084
FUN_011916-T1,XP_022781364.1,0,876,OG_11156
FUN_012114-T1,XP_022783430.1,2.35e-98,327,OG_11171
FUN_012397-T1,XP_022785540.1,7.95e-154,467,OG_11215
FUN_012572-T1,XP_022782704.1,1.31e-45,175,OG_11234
FUN_012656-T1,XP_022807807.1,1.7999999999999998e-40,156,OG_11245
FUN_013132-T1,XP_022783952.1,2.37e-93,274,OG_11291
FUN_013133-T1,XP_022783952.1,8.070000000000001e-70,214,OG_11292
FUN_013328-T1,XP_022789591.1,1.7399999999999999e-125,387,OG_11296
FUN_013484-T1,XP_022790556.1,1.74e-64,227,OG_11307
FUN_014581-T1,XP_022785540.1,6.31e-35,131,OG_11359
FUN_014582-T1,XP_022783430.1,1.87e-32,127,OG_11360
FUN_014688-T1,XP_022794736.1,2.58e-34,129,OG_11365
FUN_014817-T1,XP_022794736.1,2.9e-115,384,OG_11379
FUN_014830-T1,XP_022785540.1,2.05e-25,108,OG_11380
FUN_014831-T1,XP_022785540.1,7.56e-26,110,OG_11381
FUN_015312-T1,XP_022786917.1,4.4e-32,122,OG_11419
FUN_015320-T1,XP_022782738.1,0,1681,OG_11420
FUN_015348-T1,XP_022803524.1,9.16e-97,298,OG_11423
FUN_015425-T1,XP_022794736.1,3.0899999999999998e-40,152,OG_11429
FUN_016803-T2,XP_022794736.1,5.559999999999999e-23,99.8,OG_11541
FUN_016836-T1,XP_022794736.1,1.5099999999999998e-23,95.5,OG_11543
FUN_018032-T1,XP_022779335.1,1.87e-34,138,OG_11615
FUN_018528-T1,XP_022783430.1,7.74e-127,437,OG_11642
FUN_018547-T1,XP_022783430.1,2.15e-89,296,OG_11644
FUN_018798-T1,XP_022790556.1,2.17e-63,223,OG_11653
FUN_022088-T1,XP_022806326.1,6.89e-37,136,OG_11762
FUN_022418-T1,XP_022783044.1,2.97e-37,132,OG_11794
FUN_022534-T1,XP_022808152.1,5.1499999999999995e-93,288,OG_11812
FUN_022536-T1,XP_022794122.1,4.52e-44,147,OG_11813
FUN_022669-T2,XP_022782704.1,0,1658,OG_11831
FUN_022676-T1,XP_022779335.1,1.4099999999999998e-124,416,OG_11833
FUN_022724-T1,XP_022806326.1,1.9899999999999998e-35,130,OG_11839
FUN_022874-T1,XP_022780694.1,2.77e-81,248,OG_11852
FUN_023107-T1,XP_022788227.1,0,1182,OG_11870
FUN_023403-T2,XP_022780694.1,1.8199999999999998e-56,187,OG_11899
FUN_023404-T1,XP_022780694.1,9.099999999999999e-46,150,OG_11900
FUN_023478-T1,XP_022808048.1,9.84e-52,170,OG_11907
FUN_024159-T1,XP_022803207.1,7.070000000000001e-26,109,OG_11957
FUN_024269-T1,XP_022803207.1,1.25e-35,140,OG_11964
FUN_024514-T1,XP_022794736.1,3.51e-21,94,OG_11983
FUN_024546-T1,XP_022803207.1,1.55e-88,288,OG_11984
FUN_024894-T1,XP_022780303.1,1.6599999999999999e-40,158,OG_12007
FUN_025262-T1,XP_022804012.1,2.53e-25,105,OG_12019
FUN_025345-T1,XP_022783430.1,2.14e-78,286,OG_12031
FUN_025346-T1,XP_022783430.1,7.129999999999999e-87,313,OG_12032
FUN_025476-T1,XP_022803207.1,4.76e-25,107,OG_12046
FUN_025534-T1,XP_022783044.1,9.020000000000001e-27,106,OG_12050
FUN_025942-T1,XP_022782704.1,1.41e-49,187,OG_12102
FUN_026009-T1,XP_022783430.1,0,608,OG_12107
FUN_026011-T1,XP_022779335.1,6.5999999999999996e-136,447,OG_12108
FUN_026016-T2,XP_022779335.1,8.52e-62,227,OG_12109
FUN_026225-T1,XP_022790555.1,2.73e-62,220,OG_12125
FUN_026620-T1,XP_022807807.1,0,776,OG_12160
FUN_026676-T1,XP_022808646.1,0,1284,OG_12162
FUN_026676-T2,XP_022808646.1,0,1813,OG_12163
FUN_026681-T2,XP_022808646.1,0,2004,OG_12165
FUN_026683-T1,XP_022808646.1,0,1973,OG_12166
FUN_027751-T1,XP_022798902.1,3.14e-63,231,OG_12242
FUN_027861-T1,XP_022794121.1,7.56e-31,110,OG_12248
FUN_028190-T1,XP_022806326.1,1.49e-40,147,OG_12286
FUN_028798-T1,XP_022808576.1,1.63e-25,98.6,OG_12318
FUN_028840-T1,XP_022803207.1,6.27e-28,113,OG_12320
FUN_029013-T1,XP_022804608.1,1.1799999999999999e-163,492,OG_12331
FUN_029327-T2,XP_022790556.1,2.93e-63,223,OG_12369
FUN_029365-T1,XP_022807807.1,2.17e-40,156,OG_12371
FUN_029776-T1,XP_022783044.1,8.29e-43,145,OG_12406
FUN_030063-T1,XP_022780303.1,4.03e-41,163,OG_12424
FUN_030674-T1,XP_022794736.1,1.02e-26,111,OG_12447
FUN_031092-T1,XP_022808048.1,4.6999999999999995e-82,248,OG_12475
FUN_031093-T1,XP_022808048.1,2.2599999999999997e-90,267,OG_12476
FUN_031419-T1,XP_022807807.1,1.66e-32,130,OG_12496
FUN_031661-T1,XP_022808646.1,0,5258,OG_12518
FUN_032080-T1,XP_022807807.1,2.04e-31,125,OG_12560
FUN_032150-T2,XP_022783952.1,9.17e-34,124,OG_12568
FUN_032651-T1,XP_022803207.1,4.8599999999999995e-24,102,OG_12611
FUN_032653-T1,XP_022803207.1,8e-27,112,OG_12612
FUN_032659-T1,XP_022803207.1,6.36e-22,92.8,OG_12613
FUN_032684-T1,XP_022808163.1,2.28e-100,284,OG_12616
FUN_033043-T1,XP_022794736.1,5.33e-37,148,OG_12645
FUN_033057-T1,XP_022803207.1,1.2800000000000001e-27,113,OG_12646
FUN_033061-T1,XP_022803808.1,7.569999999999999e-46,162,OG_12647
FUN_033789-T1,XP_022789591.1,1.5999999999999998e-110,347,OG_12683
FUN_034203-T2,XP_022780049.1,0,1713,OG_12722
FUN_034923-T1,XP_022803212.1,2.0999999999999997e-165,464,OG_12785
FUN_035132-T1,XP_022782704.1,9.54e-71,259,OG_12805
