go_term,group_id,n_components,components
regulation of cell cycle,OG_04737,4,"comp1, comp2, comp4, comp5"
regulation of cell cycle,OG_07762,4,"comp1, comp2, comp4, comp5"
regulation of cell cycle,OG_03926,2,"comp4, comp5"
regulation of transcription by RNA polymerase II,OG_02599,4,"comp1, comp2, comp4, comp5"
regulation of transcription by RNA polymerase II,OG_04999,4,"comp1, comp2, comp4, comp5"
regulation of transcription by RNA polymerase II,OG_05395,4,"comp1, comp2, comp4, comp5"
regulation of transcription by RNA polymerase II,OG_07861,4,"comp1, comp2, comp4, comp5"
regulation of transcription by RNA polymerase II,OG_04041,2,"comp3, comp5"
regulation of transcription by RNA polymerase II,OG_07441,2,"comp2, comp5"
retina layer formation,OG_02599,4,"comp1, comp2, comp4, comp5"
retina layer formation,OG_04999,4,"comp1, comp2, comp4, comp5"
roof of mouth development,OG_02599,4,"comp1, comp2, comp4, comp5"
roof of mouth development,OG_04195,3,"comp2, comp4, comp5"
sensory perception of sound,OG_02599,4,"comp1, comp2, comp4, comp5"
sensory perception of sound,OG_06522,4,"comp1, comp2, comp4, comp5"
sensory perception of sound,OG_08842,2,"comp3, comp5"
sprouting angiogenesis,OG_01210,4,"comp1, comp2, comp4, comp5"
sprouting angiogenesis,OG_04737,4,"comp1, comp2, comp4, comp5"
