go_term,total_occurrences,unique_group_ids,n_components,redundant_occurrences,redundancy_pct,avg_times_per_group
negative regulation of metalloendopeptidase activity,4,1,4,3,75,4
negative regulation of non-canonical Wnt signaling pathway,4,1,4,3,75,4
negative regulation of reactive oxygen species metabolic process,4,1,4,3,75,4
negative regulation of transcription by competitive promoter binding,4,1,4,3,75,4
negative regulation of vascular permeability,4,2,4,2,50,2
nephron development,4,1,4,3,75,4
neural tube closure,4,1,4,3,75,4
neurogenesis,4,1,4,3,75,4
neuromuscular process controlling balance,4,1,4,3,75,4
neuron apoptotic process,4,1,4,3,75,4
oculomotor nerve formation,4,1,4,3,75,4
optic cup structural organization,4,1,4,3,75,4
optic vesicle morphogenesis,4,1,4,3,75,4
outflow tract morphogenesis,4,1,4,3,75,4
oxalate transport,4,1,4,3,75,4
peptide catabolic process,4,1,4,3,75,4
plasma membrane organization,4,1,4,3,75,4
pore complex assembly,4,1,4,3,75,4
positive regulation of apoptotic process,4,2,4,2,50,2
positive regulation of bleb assembly,4,1,4,3,75,4
positive regulation of bone mineralization,4,1,4,3,75,4
positive regulation of dendrite development,4,1,4,3,75,4
positive regulation of extracellular matrix assembly,4,2,4,2,50,2
positive regulation of fat cell differentiation,4,1,4,3,75,4
positive regulation of fibroblast migration,4,1,4,3,75,4
positive regulation of filopodium assembly,4,2,4,2,50,2
positive regulation of isotype switching to IgA isotypes,4,1,4,3,75,4
positive regulation of neuron apoptotic process,4,1,4,3,75,4
positive regulation of stress fiber assembly,4,2,4,2,50,2
positive regulation of tooth mineralization,4,1,4,3,75,4
positive regulation of transcription by transcription factor localization,4,1,4,3,75,4
postsynaptic modulation of chemical synaptic transmission,4,1,4,3,75,4
protein K63-linked ubiquitination,4,1,4,3,75,4
"protein localization to chromosome, telomeric region",4,1,4,3,75,4
protein localization to plasma membrane,4,1,4,3,75,4
protein maturation,4,1,4,3,75,4
regulation of canonical Wnt signaling pathway,4,1,4,3,75,4
regulation of cardiac muscle cell proliferation,4,2,4,2,50,2
regulation of cell migration,4,3,2,1,25,1.3333333333333333
regulation of cell migration involved in sprouting angiogenesis,4,1,4,3,75,4
regulation of double-strand break repair via nonhomologous end joining,4,1,4,3,75,4
regulation of endocytosis,4,1,4,3,75,4
regulation of establishment of blood-brain barrier,4,1,4,3,75,4
regulation of establishment of protein localization,4,1,4,3,75,4
regulation of gene expression,4,2,3,2,50,2
regulation of lipid metabolic process,4,1,4,3,75,4
regulation of membrane potential,4,1,4,3,75,4
regulation of metanephric nephron tubule epithelial cell differentiation,4,1,4,3,75,4
regulation of microvillus assembly,4,1,4,3,75,4
regulation of mitotic nuclear division,4,1,4,3,75,4
regulation of neuron differentiation,4,1,4,3,75,4
regulation of protein localization,4,1,4,3,75,4
regulation of protein ubiquitination,4,2,3,2,50,2
response to bacterium,4,2,4,2,50,2
response to corticosterone,4,1,4,3,75,4
response to cytokine,4,1,4,3,75,4
response to estradiol,4,1,4,3,75,4
response to lipoic acid,4,1,4,3,75,4
response to methylamine,4,1,4,3,75,4
response to methylmercury,4,1,4,3,75,4
response to progesterone,4,1,4,3,75,4
response to purine-containing compound,4,1,4,3,75,4
response to steroid hormone,4,1,4,3,75,4
response to virus,4,2,3,2,50,2
response to vitamin E,4,1,4,3,75,4
satellite cell activation involved in skeletal muscle regeneration,4,1,4,3,75,4
sensory organ development,4,1,4,3,75,4
septin ring organization,4,1,4,3,75,4
skeletal muscle satellite cell differentiation,4,1,4,3,75,4
skin development,4,1,4,3,75,4
spermatogenesis,4,2,3,2,50,2
sphingolipid biosynthetic process,4,1,4,3,75,4
sulfate transmembrane transport,4,1,4,3,75,4
sympathetic nervous system development,4,1,4,3,75,4
trigeminal nerve development,4,1,4,3,75,4
triglyceride catabolic process,4,2,4,2,50,2
ubiquitin-dependent protein catabolic process,4,1,4,3,75,4
vasculature development,4,1,4,3,75,4
ventricular septum morphogenesis,4,2,4,2,50,2
very long-chain fatty acid biosynthetic process,4,1,4,3,75,4
xenophagy,4,1,4,3,75,4
DNA replication,3,2,3,1,33.33333333333333,1.5
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway,3,1,3,2,66.66666666666666,3
angiogenesis involved in coronary vascular morphogenesis,3,1,3,2,66.66666666666666,3
aorta development,3,1,3,2,66.66666666666666,3
blastocyst development,3,1,3,2,66.66666666666666,3
blastocyst hatching,3,1,3,2,66.66666666666666,3
cAMP-mediated signaling,3,1,3,2,66.66666666666666,3
cGMP biosynthetic process,3,1,3,2,66.66666666666666,3
cGMP catabolic process,3,1,3,2,66.66666666666666,3
cardiac epithelial to mesenchymal transition,3,1,3,2,66.66666666666666,3
cell adhesion,3,3,2,0,0,1
cell-matrix adhesion,3,2,2,1,33.33333333333333,1.5
"cellular response to 2,3,7,8-tetrachlorodibenzodioxine",3,1,3,2,66.66666666666666,3
cellular response to cAMP,3,1,3,2,66.66666666666666,3
cellular response to cGMP,3,1,3,2,66.66666666666666,3
cellular response to granulocyte macrophage colony-stimulating factor stimulus,3,1,3,2,66.66666666666666,3
cellular response to lipoprotein particle stimulus,3,1,3,2,66.66666666666666,3
cellular response to macrophage colony-stimulating factor stimulus,3,1,3,2,66.66666666666666,3
cellular response to mechanical stimulus,3,1,3,2,66.66666666666666,3
cellular response to nitric oxide,3,1,3,2,66.66666666666666,3
cellular response to xenobiotic stimulus,3,1,3,2,66.66666666666666,3
cholesterol efflux,3,1,3,2,66.66666666666666,3
cholesterol homeostasis,3,1,3,2,66.66666666666666,3
cholesterol metabolic process,3,1,3,2,66.66666666666666,3
cholesterol transport,3,1,3,2,66.66666666666666,3
coronary artery morphogenesis,3,1,3,2,66.66666666666666,3
defense response to Gram-negative bacterium,3,2,2,1,33.33333333333333,1.5
deoxyribonucleotide biosynthetic process,3,1,3,2,66.66666666666666,3
endothelial cell migration,3,1,3,2,66.66666666666666,3
endothelial cell proliferation,3,1,3,2,66.66666666666666,3
epicardium morphogenesis,3,1,3,2,66.66666666666666,3
establishment of endothelial barrier,3,1,3,2,66.66666666666666,3
establishment of localization in cell,3,1,3,2,66.66666666666666,3
fertilization,3,1,3,2,66.66666666666666,3
filopodium assembly,3,1,3,2,66.66666666666666,3
flagellated sperm motility,3,1,3,2,66.66666666666666,3
germ cell migration,3,1,3,2,66.66666666666666,3
heart valve development,3,1,3,2,66.66666666666666,3
lens development in camera-type eye,3,1,3,2,66.66666666666666,3
lipid catabolic process,3,1,3,2,66.66666666666666,3
lipid metabolic process,3,1,3,2,66.66666666666666,3
lipoprotein biosynthetic process,3,1,3,2,66.66666666666666,3
lipoprotein catabolic process,3,1,3,2,66.66666666666666,3
lipoprotein metabolic process,3,1,3,2,66.66666666666666,3
lipoprotein transport,3,1,3,2,66.66666666666666,3
low-density lipoprotein particle clearance,3,1,3,2,66.66666666666666,3
low-density lipoprotein particle remodeling,3,1,3,2,66.66666666666666,3
lung development,3,2,3,1,33.33333333333333,1.5
male gamete generation,3,1,3,2,66.66666666666666,3
mesenchymal cell differentiation,3,1,3,2,66.66666666666666,3
mitotic nuclear membrane reassembly,3,1,3,2,66.66666666666666,3
myofibroblast differentiation,3,1,3,2,66.66666666666666,3
negative regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway,3,1,3,2,66.66666666666666,3
negative regulation of cGMP-mediated signaling,3,1,3,2,66.66666666666666,3
negative regulation of cell migration,3,1,3,2,66.66666666666666,3
negative regulation of chondrocyte differentiation,3,1,3,2,66.66666666666666,3
negative regulation of endothelial cell proliferation,3,1,3,2,66.66666666666666,3
negative regulation of extrinsic apoptotic signaling pathway,3,1,3,2,66.66666666666666,3
negative regulation of phosphorylation,3,1,3,2,66.66666666666666,3
negative regulation of translation,3,2,3,1,33.33333333333333,1.5
neuron fate commitment,3,1,3,2,66.66666666666666,3
nitric oxide-cGMP-mediated signaling,3,1,3,2,66.66666666666666,3
olfactory bulb development,3,2,3,1,33.33333333333333,1.5
ovarian follicle development,3,2,2,1,33.33333333333333,1.5
parathyroid gland development,3,1,3,2,66.66666666666666,3
pharyngeal system development,3,1,3,2,66.66666666666666,3
positive regulation of apoptotic signaling pathway,3,1,3,2,66.66666666666666,3
positive regulation of cholesterol storage,3,1,3,2,66.66666666666666,3
positive regulation of endothelial cell proliferation,3,1,3,2,66.66666666666666,3
positive regulation of epithelial to mesenchymal transition involved in endocardial cushion formation,3,1,3,2,66.66666666666666,3
positive regulation of inflammatory response,3,1,3,2,66.66666666666666,3
positive regulation of macrophage derived foam cell differentiation,3,1,3,2,66.66666666666666,3
positive regulation of osteoblast differentiation,3,3,3,0,0,1
positive regulation of tight junction disassembly,3,1,3,2,66.66666666666666,3
positive regulation of vascular permeability,3,1,3,2,66.66666666666666,3
positive regulation of vasculature development,3,1,3,2,66.66666666666666,3
protein localization,3,2,2,1,33.33333333333333,1.5
regulation of cGMP-mediated signaling,3,1,3,2,66.66666666666666,3
regulation of catalytic activity,3,1,3,2,66.66666666666666,3
regulation of cholesterol biosynthetic process,3,1,3,2,66.66666666666666,3
regulation of cilium assembly,3,1,3,2,66.66666666666666,3
regulation of cytokinesis,3,2,3,1,33.33333333333333,1.5
regulation of epithelial to mesenchymal transition,3,1,3,2,66.66666666666666,3
regulation of mitochondrion organization,3,1,3,2,66.66666666666666,3
regulation of systemic arterial blood pressure,3,1,3,2,66.66666666666666,3
response to cholesterol,3,1,3,2,66.66666666666666,3
response to hypoxia,3,2,3,1,33.33333333333333,1.5
response to oxygen levels,3,1,3,2,66.66666666666666,3
spinal cord development,3,2,3,1,33.33333333333333,1.5
thymus development,3,1,3,2,66.66666666666666,3
triglyceride mobilization,3,1,3,2,66.66666666666666,3
trophoblast cell migration,3,1,3,2,66.66666666666666,3
ventricular compact myocardium morphogenesis,3,1,3,2,66.66666666666666,3
ventricular septum development,3,1,3,2,66.66666666666666,3
ventricular trabecula myocardium morphogenesis,3,1,3,2,66.66666666666666,3
wound healing,3,2,2,1,33.33333333333333,1.5
B cell differentiation,2,1,2,1,50,2
BMP signaling pathway,2,2,1,0,0,1
DNA damage response,2,1,2,1,50,2
Golgi to plasma membrane protein transport,2,1,2,1,50,2
MAPK cascade,2,2,1,0,0,1
T cell differentiation,2,1,2,1,50,2
adenylate cyclase-activating G protein-coupled receptor signaling pathway,2,1,2,1,50,2
adult walking behavior,2,1,2,1,50,2
anatomical structure morphogenesis,2,2,2,0,0,1
antibacterial innate immune response,2,1,2,1,50,2
associative learning,2,1,2,1,50,2
autophagosome maturation,2,1,2,1,50,2
autophagy,2,2,1,0,0,1
brain development,2,1,2,1,50,2
cartilage development,2,2,1,0,0,1
cell adhesion mediated by integrin,2,2,1,0,0,1
cell migration,2,1,2,1,50,2
cellular response to glucose starvation,2,1,2,1,50,2
cellular response to luteinizing hormone stimulus,2,1,2,1,50,2
cellular response to phorbol 13-acetate 12-myristate,2,1,2,1,50,2
cellular response to retinoic acid,2,2,2,0,0,1
cellular response to virus,2,2,1,0,0,1
central nervous system neuron development,2,1,2,1,50,2
cloaca development,2,1,2,1,50,2
cortical microtubule organization,2,1,2,1,50,2
definitive hemopoiesis,2,1,2,1,50,2
dentate gyrus development,2,1,2,1,50,2
determination of heart left/right asymmetry,2,1,2,1,50,2
determination of left/right asymmetry in lateral mesoderm,2,1,2,1,50,2
double-strand break repair via break-induced replication,2,1,2,1,50,2
early endosome to late endosome transport,2,1,2,1,50,2
embryonic digit morphogenesis,2,2,2,0,0,1
embryonic skeletal system development,2,1,2,1,50,2
enucleate erythrocyte differentiation,2,1,2,1,50,2
establishment of mitotic spindle orientation,2,1,2,1,50,2
establishment or maintenance of cell polarity,2,1,2,1,50,2
fibroblast proliferation,2,2,2,0,0,1
granulocyte differentiation,2,1,2,1,50,2
heart looping,2,1,2,1,50,2
hematopoietic stem cell differentiation,2,2,2,0,0,1
hemopoiesis,2,2,2,0,0,1
hippocampus development,2,1,2,1,50,2
hormone-mediated signaling pathway,2,1,2,1,50,2
intermediate filament cytoskeleton organization,2,1,2,1,50,2
late endosome to vacuole transport,2,1,2,1,50,2
lipid homeostasis,2,2,2,0,0,1
luteinizing hormone signaling pathway,2,1,2,1,50,2
maintenance of cell number,2,1,2,1,50,2
megakaryocyte differentiation,2,1,2,1,50,2
mesoderm formation,2,1,2,1,50,2
mitotic DNA replication,2,1,2,1,50,2
myeloid progenitor cell differentiation,2,1,2,1,50,2
natural killer cell differentiation,2,1,2,1,50,2
negative regulation of Ras protein signal transduction,2,1,2,1,50,2
negative regulation of cell growth,2,2,1,0,0,1
negative regulation of hippo signaling,2,1,2,1,50,2
negative regulation of neuroblast proliferation,2,1,2,1,50,2
negative regulation of protein localization to plasma membrane,2,1,2,1,50,2
negative regulation of stress fiber assembly,2,1,2,1,50,2
neural crest cell differentiation,2,2,1,0,0,1
neuroblast proliferation,2,1,2,1,50,2
neuron projection development,2,1,2,1,50,2
osteoblast differentiation,2,2,1,0,0,1
ovulation cycle process,2,1,2,1,50,2
pattern specification process,2,1,2,1,50,2
peripheral nervous system neuron development,2,2,2,0,0,1
pexophagy,2,1,2,1,50,2
phosphatidylinositol 3-kinase/protein kinase B signal transduction,2,1,2,1,50,2
phosphatidylinositol-3-phosphate biosynthetic process,2,1,2,1,50,2
phospholipase C-activating G protein-coupled receptor signaling pathway,2,1,2,1,50,2
platelet activation,2,1,2,1,50,2
positive regulation of MAPK cascade,2,2,1,0,0,1
positive regulation of Wnt signaling pathway,2,1,2,1,50,2
positive regulation of miRNA transcription,2,2,1,0,0,1
positive regulation of nuclear-transcribed mRNA poly(A) tail shortening,2,1,2,1,50,2
positive regulation of protein import into nucleus,2,1,2,1,50,2
post-translational protein targeting to endoplasmic reticulum membrane,2,1,2,1,50,2
protein phosphorylation,2,1,2,1,50,2
protein targeting to lysosome,2,1,2,1,50,2
protein targeting to vacuole,2,1,2,1,50,2
protein transport,2,2,2,0,0,1
receptor catabolic process,2,1,2,1,50,2
regulation of DNA-templated DNA replication initiation,2,1,2,1,50,2
regulation of autophagy,2,1,2,1,50,2
regulation of cardiac muscle contraction by calcium ion signaling,2,1,2,1,50,2
regulation of cell adhesion,2,2,1,0,0,1
regulation of cell morphogenesis,2,1,2,1,50,2
regulation of epithelial cell migration,2,1,2,1,50,2
regulation of focal adhesion assembly,2,1,2,1,50,2
regulation of macroautophagy,2,1,2,1,50,2
regulation of microtubule-based process,2,1,2,1,50,2
regulation of neuron projection arborization,2,1,2,1,50,2
regulation of postsynaptic membrane neurotransmitter receptor levels,2,1,2,1,50,2
regulation of smoothened signaling pathway,2,1,2,1,50,2
response to electrical stimulus,2,1,2,1,50,2
response to mechanical stimulus,2,1,2,1,50,2
response to peptide hormone,2,1,2,1,50,2
sebaceous gland development,2,2,1,0,0,1
skeletal muscle cell differentiation,2,1,2,1,50,2
substrate adhesion-dependent cell spreading,2,2,1,0,0,1
synapse organization,2,1,2,1,50,2
ureteric bud development,2,2,2,0,0,1
visceral serous pericardium development,2,1,2,1,50,2
DNA damage checkpoint signaling,1,1,1,0,0,1
DNA-templated transcription,1,1,1,0,0,1
ERK1 and ERK2 cascade,1,1,1,0,0,1
G protein-coupled receptor signaling pathway,1,1,1,0,0,1
GDF15-GFRAL signaling pathway,1,1,1,0,0,1
Peyer's patch morphogenesis,1,1,1,0,0,1
actin filament-based movement,1,1,1,0,0,1
actin nucleation,1,1,1,0,0,1
adenohypophysis development,1,1,1,0,0,1
adherens junction maintenance,1,1,1,0,0,1
adrenal gland development,1,1,1,0,0,1
amacrine cell differentiation,1,1,1,0,0,1
anatomical structure homeostasis,1,1,1,0,0,1
animal organ morphogenesis,1,1,1,0,0,1
antibacterial humoral response,1,1,1,0,0,1
antifungal humoral response,1,1,1,0,0,1
antigen processing and presentation,1,1,1,0,0,1
antimicrobial humoral immune response mediated by antimicrobial peptide,1,1,1,0,0,1
antiviral innate immune response,1,1,1,0,0,1
apical constriction,1,1,1,0,0,1
atrial cardiac muscle cell development,1,1,1,0,0,1
atrioventricular canal development,1,1,1,0,0,1
atrioventricular valve formation,1,1,1,0,0,1
bicellular tight junction assembly,1,1,1,0,0,1
blood vessel remodeling,1,1,1,0,0,1
body morphogenesis,1,1,1,0,0,1
brainstem development,1,1,1,0,0,1
camera-type eye morphogenesis,1,1,1,0,0,1
cardiac conduction system development,1,1,1,0,0,1
cardiac muscle hypertrophy in response to stress,1,1,1,0,0,1
cardiac muscle tissue development,1,1,1,0,0,1
cardiac muscle tissue regeneration,1,1,1,0,0,1
cartilage development involved in endochondral bone morphogenesis,1,1,1,0,0,1
cell communication,1,1,1,0,0,1
cell cycle comprising mitosis without cytokinesis,1,1,1,0,0,1
cell fate commitment,1,1,1,0,0,1
cell fate specification,1,1,1,0,0,1
cell migration in hindbrain,1,1,1,0,0,1
cell morphogenesis involved in neuron differentiation,1,1,1,0,0,1
cell-cell signaling,1,1,1,0,0,1
cellular response to BMP stimulus,1,1,1,0,0,1
cellular response to arsenic-containing substance,1,1,1,0,0,1
cellular response to glucose stimulus,1,1,1,0,0,1
cellular response to osmotic stress,1,1,1,0,0,1
centrosome localization,1,1,1,0,0,1
cerebellum development,1,1,1,0,0,1
chitin biosynthetic process,1,1,1,0,0,1
chondrocyte differentiation,1,1,1,0,0,1
chondrocyte hypertrophy,1,1,1,0,0,1
chondrocyte proliferation,1,1,1,0,0,1
chordate pharyngeal muscle development,1,1,1,0,0,1
chorionic trophoblast cell differentiation,1,1,1,0,0,1
chromatin remodeling,1,1,1,0,0,1
clathrin-dependent endocytosis,1,1,1,0,0,1
cranial skeletal system development,1,1,1,0,0,1
cytoplasmic pattern recognition receptor signaling pathway,1,1,1,0,0,1
cytosolic ribosome assembly,1,1,1,0,0,1
dendrite development,1,1,1,0,0,1
dendrite self-avoidance,1,1,1,0,0,1
dendritic cell migration,1,1,1,0,0,1
developmental growth,1,1,1,0,0,1
developmental growth involved in morphogenesis,1,1,1,0,0,1
"dorsal trunk growth, open tracheal system",1,1,1,0,0,1
dorsal/ventral axon guidance,1,1,1,0,0,1
dorsal/ventral pattern formation,1,1,1,0,0,1
