Coords	Name	MIRNA	1A11-fastp-adapters-polyG-31bp-merged_condensed	1A7-fastp-adapters-polyG-31bp-merged_condensed	1B3-fastp-adapters-polyG-31bp-merged_condensed	1B4-fastp-adapters-polyG-31bp-merged_condensed	1B6-fastp-adapters-polyG-31bp-merged_condensed	1B7-fastp-adapters-polyG-31bp-merged_condensed	1C11-fastp-adapters-polyG-31bp-merged_condensed	1C12-fastp-adapters-polyG-31bp-merged_condensed	1C5-fastp-adapters-polyG-31bp-merged_condensed	1C6-fastp-adapters-polyG-31bp-merged_condensed	1D12-fastp-adapters-polyG-31bp-merged_condensed	1D1-fastp-adapters-polyG-31bp-merged_condensed	1D2-fastp-adapters-polyG-31bp-merged_condensed	1D5-fastp-adapters-polyG-31bp-merged_condensed	1D7-fastp-adapters-polyG-31bp-merged_condensed	1E7-fastp-adapters-polyG-31bp-merged_condensed	1F10-fastp-adapters-polyG-31bp-merged_condensed	1F12-fastp-adapters-polyG-31bp-merged_condensed	1F1-fastp-adapters-polyG-31bp-merged_condensed	1F3-fastp-adapters-polyG-31bp-merged_condensed	1F6-fastp-adapters-polyG-31bp-merged_condensed	1F7-fastp-adapters-polyG-31bp-merged_condensed	1G10-fastp-adapters-polyG-31bp-merged_condensed	1G1-fastp-adapters-polyG-31bp-merged_condensed	1G3-fastp-adapters-polyG-31bp-merged_condensed	1H1-fastp-adapters-polyG-31bp-merged_condensed	1H2-fastp-adapters-polyG-31bp-merged_condensed	1H3-fastp-adapters-polyG-31bp-merged_condensed	2A3-fastp-adapters-polyG-31bp-merged_condensed	2B1-fastp-adapters-polyG-31bp-merged_condensed	2D1-fastp-adapters-polyG-31bp-merged_condensed	2D3-fastp-adapters-polyG-31bp-merged_condensed	2E1-fastp-adapters-polyG-31bp-merged_condensed	2E3-fastp-adapters-polyG-31bp-merged_condensed	2F2-fastp-adapters-polyG-31bp-merged_condensed	2H1-fastp-adapters-polyG-31bp-merged_condensed	2H2-fastp-adapters-polyG-31bp-merged_condensed
Porites_evermani_scaffold_2:1389632-1390119	Cluster_48	N	0	0	0	78	0	1	0	13	0	0	0	6	379	0	0	1	0	209	0	428	298	12	0	0	0	7	0	28	0	88	115	0	0	0	0	0	0
Porites_evermani_scaffold_2:1390448-1390902	Cluster_49	N	0	0	0	649	0	0	0	64	0	0	0	44	1499	5	1	5	0	2113	0	1146	1665	50	2	4	0	8	0	31	0	933	348	0	0	0	0	0	6
Porites_evermani_scaffold_2:1419199-1419625	Cluster_50	N	5	12	0	55	1	0	0	6	34	0	0	3	39	6	16	0	1	271	0	278	9	25	24	18	3	1	1	12	0	87	16	0	18	0	0	0	32
Porites_evermani_scaffold_2:1419957-1420384	Cluster_51	N	8	9	0	18	0	0	0	7	383	0	0	0	13	3	18	0	1	114	2	38	10	6	12	16	3	4	1	0	0	30	27	0	17	0	0	0	42
Porites_evermani_scaffold_2:1420407-1420973	Cluster_52	N	20	38	0	172	2	0	0	30	173	0	1	1	65	11	55	0	8	852	1	610	44	42	62	35	6	2	1	12	0	311	36	0	28	0	0	0	87
Porites_evermani_scaffold_2:1480046-1480463	Cluster_53	N	0	0	0	19	10	0	0	17	0	0	0	20	0	102	0	0	1	0	0	72	1	0	0	5	3	0	0	0	0	147	0	0	32	0	0	0	1
Porites_evermani_scaffold_2:1492856-1493284	Cluster_54	N	10	10	0	2	0	0	0	4	82	0	0	0	190	12	37	0	56	100	1	28	27	7	23	192	6	5	0	0	0	9	15	0	8	0	0	0	19
Porites_evermani_scaffold_2:1533597-1535130	Cluster_55	N	1283	633	0	1895	52	2	0	255	5600	0	6	34	6062	574	1071	2	595	7802	25	2944	3371	103	1003	9197	65	91	35	22	0	3382	683	0	945	0	1	0	4902
Porites_evermani_scaffold_2:1709749-1710174	Cluster_56	N	0	1	0	0	0	0	0	1	192	0	0	0	300	4	2	0	2	2	0	0	0	0	3	9	0	0	0	0	0	0	1	0	0	0	0	0	0
Porites_evermani_scaffold_3:4107-4534	Cluster_57	N	8	0	0	44	1	0	0	1	25	0	1	0	225	6	2	0	16	121	0	33	7	0	8	394	3	0	0	0	0	8	0	0	10	0	0	0	82
Porites_evermani_scaffold_3:25381-26347	Cluster_58	N	90	125	0	218	26	0	0	21	1635	0	0	1	1901	132	202	0	243	2060	0	351	551	12	155	1133	3	12	4	0	0	332	465	0	92	0	0	0	356
Porites_evermani_scaffold_3:79008-79416	Cluster_59	N	0	0	0	25	1	0	0	1	57	0	0	0	81	10	1	0	47	77	0	9	3	0	1	132	0	0	0	0	0	15	0	0	4	0	0	0	1
Porites_evermani_scaffold_3:183981-184535	Cluster_60	N	1	0	0	72	0	0	0	11	0	0	0	0	0	36	185	15	50	514	0	2	6137	0	759	380	50	0	1	0	0	115	0	0	0	0	0	0	0
Porites_evermani_scaffold_3:265183-265604	Cluster_61	N	6	0	0	53	1	0	0	0	74	0	0	1	11	27	2	0	1	261	0	61	65	0	0	67	1	0	1	0	0	70	7	0	29	0	0	0	0
Porites_evermani_scaffold_3:267295-268207	Cluster_62	N	8	412	0	76	0	0	0	5	4879	0	0	3	303	3	32	1	4	423	5	87	421	0	43	276	12	2	2	0	0	107	579	0	77	0	0	0	130
Porites_evermani_scaffold_3:326908-327332	Cluster_63	N	1	6	0	34	1	0	0	0	1	0	0	2	5	5	100	2	1	53	0	42	200	0	1	7	0	1	0	0	0	625	9	0	3	0	0	0	30
Porites_evermani_scaffold_3:331986-332413	Cluster_64	N	0	0	0	0	0	0	0	6	127	0	0	0	81	0	1	0	20	373	0	0	9	1	0	20	0	0	0	0	0	0	0	0	2	0	0	0	0
Porites_evermani_scaffold_3:346075-346533	Cluster_65	N	2	40	0	6	1	0	0	0	360	0	0	0	0	0	1	0	8	70	0	66	61	0	0	925	0	2	1	0	0	0	58	0	1	0	0	0	18
Porites_evermani_scaffold_3:377444-378112	Cluster_66	N	32	27	0	70	15	3	0	9	19	0	1	1	175	70	23	1	46	77	1	257	116	19	31	140	7	1	9	7	1	184	20	0	71	0	1	0	146
Porites_evermani_scaffold_3:378181-378609	Cluster_67	N	42	81	0	93	30	5	0	21	0	1	4	17	0	1	3	3	61	0	6	926	0	47	0	50	31	10	12	14	0	1	389	0	111	0	1	0	6
Porites_evermani_scaffold_3:379543-379970	Cluster_68	N	4	4	0	14	1	1	0	7	20	0	0	1	347	15	14	2	27	47	0	53	17	1	10	18	2	4	0	1	0	26	7	0	8	0	0	0	28
Porites_evermani_scaffold_3:379989-380493	Cluster_69	N	47	33	0	41	6	0	0	10	143	0	0	4	361	50	75	1	65	186	1	247	82	11	105	149	10	5	2	6	0	54	36	0	61	0	0	0	123
Porites_evermani_scaffold_3:410557-410985	Cluster_70	N	11	72	0	1	1	0	0	1	464	0	0	0	59	8	1	0	4	74	0	8	0	0	34	15	0	0	2	0	0	23	0	0	0	0	0	0	11
Porites_evermani_scaffold_3:442534-442975	Cluster_71	N	2	46	0	431	1	0	0	93	20	0	0	0	0	6	23	0	12	388	0	266	581	2	47	221	1	0	0	2	0	630	0	0	4	0	0	0	63
Porites_evermani_scaffold_3:492575-493003	Cluster_72	N	0	0	0	133	0	1	0	18	0	0	0	0	666	0	0	0	0	641	0	0	0	0	0	75	0	2	0	0	0	35	0	0	0	0	0	0	0
Porites_evermani_scaffold_3:512601-513024	Cluster_73	N	14	0	0	0	0	0	0	0	31	0	0	1	130	0	1	0	1	30	0	59	1	1	1	112	0	1	0	0	0	25	24	0	0	0	0	0	80
Porites_evermani_scaffold_3:616082-616520	Cluster_74	N	0	1	0	10	0	0	0	7	20	0	0	1	0	0	0	0	0	501	0	135	1	14	1	286	0	1	0	0	0	4	23	0	0	0	0	0	0
Porites_evermani_scaffold_3:707903-708329	Cluster_75	N	0	0	0	0	2	0	0	5	1	0	0	3	4	9	1	0	3	12	1	8	18	0	3	282	3	0	2	1	0	3	4	0	315	0	0	0	21
Porites_evermani_scaffold_3:884817-885315	Cluster_76	N	1	1	0	21	2	0	0	2	8	0	1	1	0	28	50	0	4	118	0	18	711	0	96	941	3	7	0	0	0	34	59	0	0	0	0	0	3
Porites_evermani_scaffold_3:1030336-1030764	Cluster_77	N	3	5	0	1	6	0	0	0	12	0	3	1	65	76	0	0	16	29	1	123	13	18	1	27	0	18	0	0	0	11	66	0	24	0	0	0	4
Porites_evermani_scaffold_3:1049000-1049427	Cluster_78	N	43	0	0	21	2	0	0	9	20	0	2	0	283	99	1	0	135	244	0	2	7	0	9	135	0	15	0	0	0	25	29	0	18	0	0	0	128
Porites_evermani_scaffold_3:1058105-1058532	Cluster_79	N	0	1	0	0	0	0	0	0	222	0	0	0	62	1	0	0	2	56	0	28	0	0	0	42	0	0	0	0	0	5	6	0	0	0	0	0	0
Porites_evermani_scaffold_3:1069556-1069983	Cluster_80	N	4	20	0	8	0	0	0	2	76	0	0	7	43	3	4	0	6	145	0	194	26	19	1	141	0	2	0	0	0	33	9	0	0	0	0	0	18
Porites_evermani_scaffold_3:1071717-1072144	Cluster_81	N	0	2	0	1	0	0	0	0	595	0	0	0	27	0	1	0	0	5	0	7	28	0	0	53	0	3	0	0	0	0	11	0	0	0	0	0	0
Porites_evermani_scaffold_3:1093422-1095688	Cluster_82	N	16	645	0	796	153	0	0	167	10432	0	20	48	1309	889	1111	15	1291	6124	30	3492	2492	101	1391	1298	115	85	25	23	0	1590	736	0	32	0	0	0	45
Porites_evermani_scaffold_3:1105280-1105878	Cluster_83	N	8	101	0	29	2	0	0	2	1440	0	0	2	38	29	19	0	14	141	4	85	36	5	34	274	0	8	7	1	0	30	42	0	26	0	0	0	26
Porites_evermani_scaffold_3:1106693-1107100	Cluster_84	N	4	13	0	31	3	0	0	2	86	0	0	1	36	11	45	1	13	151	2	67	90	3	46	237	2	3	0	3	0	60	11	0	6	0	0	0	25
Porites_evermani_scaffold_3:1111075-1111837	Cluster_85	N	5	40	0	9	0	0	0	2	464	0	0	0	132	41	14	0	9	243	0	62	53	1	20	439	0	0	0	0	0	25	19	0	0	0	0	0	17
Porites_evermani_scaffold_3:1113096-1113523	Cluster_86	N	0	6	0	1	0	0	0	1	89	0	1	0	61	29	4	0	1	683	0	36	11	0	29	109	0	1	0	0	0	62	14	0	2	0	0	0	26
Porites_evermani_scaffold_3:1116580-1117020	Cluster_87	N	70	73	0	25	0	0	0	3	378	0	0	0	66	36	28	0	3	170	0	9	44	0	5	348	1	0	0	0	0	43	27	0	53	0	0	0	114
Porites_evermani_scaffold_3:1146039-1146467	Cluster_88	N	21	5	0	0	3	0	0	0	83	0	0	0	179	26	2	0	30	10	0	48	62	4	8	417	4	0	0	0	0	4	0	0	0	0	0	0	48
Porites_evermani_scaffold_3:1150140-1150632	Cluster_89	N	16	13	0	8	3	0	0	2	269	0	0	1	515	29	32	0	60	30	1	7	2	2	330	154	6	2	4	0	0	1	0	0	17	0	0	0	35
Porites_evermani_scaffold_3:1151163-1151593	Cluster_90	N	22	25	0	3	9	0	0	0	128	0	4	0	207	88	12	0	37	5	1	80	1	9	24	211	0	0	1	0	0	2	0	0	0	0	0	0	67
Porites_evermani_scaffold_3:1157895-1159439	Cluster_91	N	627	982	0	501	119	3	0	49	9160	0	10	2	867	596	225	2	504	1187	54	1524	1263	46	403	3929	6	36	24	11	0	624	483	0	406	0	0	0	3964
Porites_evermani_scaffold_3:1190666-1191221	Cluster_92	N	1	1	0	5	0	0	0	0	230	0	0	5	609	11	0	1	0	0	1	324	35	2	0	149	0	23	2	9	0	0	3	0	31	0	0	0	1
Porites_evermani_scaffold_3:1197278-1197756	Cluster_93	N	14	97	1	64	0	0	0	9	6580	0	0	0	22	0	9	0	0	2393	5	4	0	0	0	4587	0	0	6	0	0	91	1	0	20	0	0	0	92
Porites_evermani_scaffold_3:1198606-1199033	Cluster_94	N	1	25	0	9	0	0	0	0	453	0	0	0	20	0	0	0	0	39	0	0	0	0	0	38	0	0	0	0	0	3	0	0	0	0	0	0	5
Porites_evermani_scaffold_3:1207853-1208333	Cluster_95	N	19	17	0	42	0	0	0	6	183	0	0	0	143	10	14	0	21	258	1	107	41	2	15	89	3	2	0	0	0	62	26	0	16	0	0	0	63
Porites_evermani_scaffold_3:1213994-1214423	Cluster_96	N	15	16	0	90	0	0	0	8	121	0	0	0	27	0	19	0	0	445	1	182	107	7	59	217	0	2	0	0	0	176	76	0	2	0	0	0	91
Porites_evermani_scaffold_3:1214605-1215343	Cluster_97	N	11	32	0	42	5	0	0	12	406	0	0	0	196	31	17	0	42	757	0	100	76	6	34	398	2	23	3	1	0	99	18	0	7	0	0	0	72
Porites_evermani_scaffold_3:1215988-1218604	Cluster_98	N	363	417	0	829	83	1	0	101	4063	0	9	14	4372	751	288	1	976	3734	16	751	1323	21	347	2714	17	45	36	7	0	1254	282	0	302	0	1	0	1118
Porites_evermani_scaffold_3:1219496-1220022	Cluster_99	N	19	24	0	80	28	0	0	4	117	0	4	2	82	110	57	4	48	281	1	77	257	5	54	248	4	2	2	0	0	151	26	0	63	0	0	0	105
Porites_evermani_scaffold_3:1220312-1221454	Cluster_100	N	1429	1141	0	2370	22	13	0	611	13733	2	8	77	12072	796	1744	8	239	14305	44	4285	5854	188	2795	13287	105	230	47	32	3	3230	1664	0	1442	0	1	0	3790
Porites_evermani_scaffold_3:1221574-1222517	Cluster_101	N	93	109	0	238	15	1	0	21	494	0	2	8	1256	143	256	3	139	939	4	640	638	12	198	817	11	28	12	10	0	462	286	0	176	0	0	0	361
Porites_evermani_scaffold_3:1222664-1223097	Cluster_102	N	34	5	0	54	1	0	0	1	155	0	0	0	816	4	7	0	7	558	0	49	1	1	5	740	0	0	0	0	0	88	8	0	8	0	0	0	53
Porites_evermani_scaffold_3:1226559-1227282	Cluster_103	N	85	256	0	656	1	0	0	30	1349	0	0	10	52	0	14	0	14	1137	7	537	309	33	6	103	0	4	24	11	0	711	33	0	183	0	0	0	1568
Porites_evermani_scaffold_3:1229445-1230420	Cluster_104	N	77	36	0	256	0	1	0	59	1591	0	0	7	35	5	4	0	0	2073	0	1354	21	41	3	111	1	4	5	24	0	902	0	0	348	0	0	0	20
Porites_evermani_scaffold_3:1237587-1238765	Cluster_105	N	200	46	0	358	11	0	0	45	247	0	0	4	3204	152	30	0	83	1735	1	536	157	18	34	521	1	1	1	4	0	790	30	0	673	0	0	0	125
Porites_evermani_scaffold_3:1238862-1239266	Cluster_106	N	7	12	0	27	4	0	0	3	48	0	0	0	93	18	2	0	9	112	0	186	15	5	11	80	1	5	0	1	0	51	3	0	34	0	0	0	28
Porites_evermani_scaffold_3:1239576-1240186	Cluster_107	N	15	31	0	27	4	0	0	4	300	0	0	4	235	53	4	0	44	93	1	55	58	6	15	518	0	0	10	0	0	36	15	0	20	0	0	0	64
Porites_evermani_scaffold_3:1240254-1240683	Cluster_108	N	8	8	0	32	1	0	0	2	41	0	0	2	136	15	6	0	11	121	0	71	34	6	21	70	0	2	0	0	0	63	26	0	13	0	0	0	47
Porites_evermani_scaffold_3:1240709-1241341	Cluster_109	N	25	24	0	80	9	0	0	9	194	0	0	5	390	37	33	0	29	328	0	165	89	10	25	207	0	4	4	0	0	131	40	0	45	0	0	0	72
Porites_evermani_scaffold_3:1241926-1242339	Cluster_110	N	3	1	0	77	0	0	0	15	22	0	0	0	255	27	1	0	2	386	0	7	10	0	5	81	0	0	0	0	0	139	11	0	1	0	0	0	11
Porites_evermani_scaffold_3:1244038-1244461	Cluster_111	N	1	2	0	0	0	0	0	0	5	0	0	0	373	10	0	0	0	17	0	3	2	0	1	109	0	0	0	0	0	4	4	0	0	0	0	0	0
